!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Placenta
!perturbation	Dexamethasone
!disease	0.5 mg/kg
!end_metadata
MAGOH	-0.023423
NFKBIA	0.023421
B4GALT1	0.023325
CAP1	-0.023325
SPINT2	0.023299
SERPING1	0.023217
BAG2	-0.023176
RPL23	-0.023169
RABAC1	0.023145
HADH	-0.023099
SERINC3	0.023099
EIF3G	-0.023042
BSG	-0.022997
SERPINE1	-0.022989
RBP1	0.022926
FAM49B	-0.022919
WBP5	0.022860
EIF4A1	-0.022824
PHLDA2	-0.022785
ATP5H	-0.022715
RND2	-0.022676
S100A10	0.022662
GPX4	-0.022631
NDUFB11	-0.022503
EMP1	0.022468
LARP4B	0.022399
MMP1	-0.022372
HTR2B	0.022183
GZMH	-0.022145
TAF7L	0.022091
TIMP3	0.022064
UQCRB	-0.022031
CTSC	0.021929
SNX17	-0.021832
CDO1	0.021820
MGP	0.021803
CTSS	0.021778
SCEL	0.021694
MAGED1	0.021605
SYAP1	0.021479
PITRM1	-0.021472
ANAPC5	-0.021428
PDIA5	0.021319
IMPDH2	-0.021314
IL1R2	0.021299
SULT1E1	0.021249
CLPTM1L	-0.021236
DAZAP2	0.021234
ARPC4	-0.021196
PEG3	-0.021178
RPS11	-0.021088
ALAS2	0.020979
HEXA	0.020977
DSTN	0.020938
CHIC2	0.020928
FXYD3	0.020878
SYCE2	-0.020866
RGCC	0.020778
LTBP3	0.020752
PDK4	0.020724
UGDH	-0.020709
SSR2	-0.020708
CDK1	-0.020628
SENP3	-0.020609
RBMS1	0.020606
LIMD1	0.020441
PLGRKT	0.020424
COX6B1	-0.020373
TXNIP	0.020325
AP3S1	0.020324
TCP1	-0.020304
CCT6A	-0.020233
PDZK1IP1	0.020230
CLU	0.020223
FAM8A1	0.020186
ARHGDIB	-0.020131
SEP15	-0.020070
SDHB	-0.020048
RPL13	0.020000
PKM	-0.019987
MARC2	0.019851
CLDN3	0.019757
OAF	-0.019709
CLDN4	0.019658
IGFBP3	0.019608
FXYD5	0.019607
MYH9	-0.019513
HIST1H1C	0.019473
RPS10	-0.019383
BAIAP2L1	-0.019324
VDR	0.019317
RPL27A	-0.019227
RPS15	-0.019200
LAPTM4A	-0.019183
CFL1	-0.019146
RAN	-0.019127
LAMA5	-0.019102
BST1	0.019047
CYB5A	-0.019042
SPP1	0.019033
GNB4	-0.019020
SDF2L1	-0.018929
TCN2	0.018928
NDUFB6	0.018897
MID1IP1	0.018858
SEPT9	-0.018775
SLCO2A1	0.018766
ABCG1	0.018755
C11orf31	-0.018737
ATP5C1	-0.018683
ITPK1	0.018638
STX7	0.018549
ATP1B1	0.018497
CHMP5	0.018419
HAGH	0.018414
RPL14	-0.018381
RPL18	-0.018356
RPS25	-0.018258
MPC1	-0.018160
KPNA2	-0.018146
MYL12A	0.018122
FGG	0.018102
ZNF622	0.018096
TGFB3	-0.018044
MCL1	0.018025
APOH	-0.017994
LCN2	0.017974
TSPAN9	0.017948
FGA	0.017922
TMED2	-0.017852
HSPB1	0.017785
GOT2	-0.017739
TGFB2	0.017678
SAMD8	0.017655
PSENEN	0.017654
UBXN1	0.017624
RPS14	-0.017598
AKT1	-0.017487
ABHD4	0.017447
MINOS1	-0.017309
RBM3	-0.017248
LUM	0.017231
UBE2E1	0.017229
TMEM39A	-0.017192
UQCRC2	-0.017175
ADCY7	-0.017132
RPS3	-0.017122
POLR2K	-0.017108
HSP90AA1	-0.017083
ATP6V1A	0.017057
GRB10	0.017045
PCNA	-0.017033
TINAGL1	-0.016999
HDAC1	-0.016972
DAB2	0.016946
CRTAP	-0.016925
TMEM37	0.016896
GABARAP	0.016872
CALML4	-0.016860
ECH1	-0.016858
HSD11B2	-0.016795
IL2RG	-0.016782
PSMD2	-0.016756
COL6A3	-0.016669
SLC7A9	0.016652
PSMA4	-0.016624
TDRP	0.016561
PABPC1	-0.016528
VASP	-0.016525
PSMC2	-0.016525
GOLM1	-0.016484
WDR61	0.016474
CNOT1	-0.016469
UBE2C	-0.016451
TMEM128	-0.016443
PDGFRA	0.016408
PLTP	-0.016394
TMBIM1	0.016373
PLA1A	0.016341
DNAJB11	-0.016327
PLS3	0.016318
PDIA3	-0.016317
NDUFA4	-0.016305
ALDH1A3	-0.016276
ZDHHC12	-0.016265
CYCS	-0.016260
RPL4	-0.016241
RARS	-0.016192
TPRG1L	0.016183
FLNB	-0.016105
DEGS2	0.016096
CALU	-0.016084
SAMM50	-0.016055
ATP7A	0.016023
ESAM	0.015964
SLC20A1	0.015951
IGFBP6	0.015865
ATP6V0E1	0.015728
CD81	0.015716
FABP5	0.015711
PPP1CB	0.015684
RRM2	-0.015661
KRTCAP2	-0.015630
FNDC3A	0.015624
LAMTOR1	0.015614
FMO1	0.015584
VDAC1	-0.015584
ITIH3	0.015574
SEPT4	0.015557
RPS21	-0.015539
MYEOV2	-0.015527
HINT3	0.015524
TP53INP1	0.015516
PDCD5	-0.015492
VDAC2	-0.015426
SQLE	-0.015422
EDN2	0.015417
NME1	-0.015365
SCPEP1	-0.015363
CFDP1	-0.015351
SLC51A	0.015341
EBPL	-0.015304
TNNC1	0.015272
AMOT	0.015249
EHD4	0.015181
TKT	-0.015152
TRPV2	-0.015114
ATP5G1	-0.015095
SLC2A1	0.015084
XBP1	0.015048
PSMA2	-0.014986
UPP1	-0.014968
SFMBT2	-0.014966
ACVRL1	0.014952
SERPINE2	0.014918
PROM1	-0.014914
PLAT	-0.014904
SERPINF2	-0.014861
MPZL2	-0.014800
TECR	-0.014679
CLDN2	0.014655
MORF4L1	0.014637
MSLN	0.014631
UAP1L1	0.014599
LMO7	0.014597
C11orf86	0.014540
APOA2	-0.014525
TAGLN	0.014516
ATP5G2	-0.014493
FBLN1	0.014489
TMEM140	0.014467
GNG12	0.014462
C17orf103	0.014457
SRP68	-0.014449
INHBA	0.014389
UBALD2	0.014343
NDUFV2	-0.014317
PDCD6	0.014256
GSN	0.014252
RAP1A	-0.014213
GLIPR1	-0.014206
IFITM2	0.014190
HNRNPA2B1	-0.014137
