!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Lung
!perturbation	Dexamethasone
!disease	1 mg/kg - (AIN-76A diet)
!end_metadata
FIBIN	0.033043
HLA-DOA	-0.032859
STAT4	-0.032843
FAM26F	-0.032786
CYP3A7	0.032646
COL3A1	-0.032632
S1PR5	-0.032627
FABP2	0.032524
IGFBP6	0.032481
MCTP1	0.032474
STAP1	-0.032395
GLB1L3	0.032379
WAS	-0.032332
CD5L	0.032262
MYLIP	0.032253
CD244	-0.032191
HLA-DQB1	-0.032043
MAP4K1	-0.031994
PPY	0.031952
SH3D21	0.031743
DOC2B	0.031562
CORO1A	-0.031468
SLC26A4	-0.031433
IDO1	-0.031346
CYP26B1	0.031294
SASH3	-0.031267
TIMP4	0.031252
SLC10A6	0.031158
NID2	0.031028
HPX	0.030981
SPIB	-0.030919
CD3G	-0.030909
RASL11A	0.030807
C1QTNF2	-0.030712
HEPH	0.030679
MYO1G	-0.030650
PTGS1	0.030585
APOA2	0.030520
RGS5	0.030417
DGAT2	0.030366
ADM	0.030260
LONRF3	0.030259
AZGP1	0.030188
ADAMTS1	-0.030184
NDNF	-0.030125
ATP2A1	0.030005
AIF1	-0.029926
MMP12	-0.029873
KRT13	0.029870
COL6A3	-0.029824
CD48	-0.029806
GRIA3	0.029561
CYBB	-0.029472
CXCL2	0.029365
HEY1	0.029336
LRTM2	0.029277
HCLS1	-0.029235
EGFL6	-0.029203
WNT2	-0.029193
THY1	-0.029186
ALDH3A1	0.029168
CDO1	0.029165
ABCA4	0.029160
SEC14L4	0.029153
CTSH	0.029080
PLA1A	0.028852
HCK	-0.028778
SELPLG	-0.028773
FGA	0.028743
GC	0.028733
SSTR4	-0.028679
H19	0.028654
SPN	-0.028636
CR2	-0.028563
PLD4	-0.028531
GBP4	-0.028456
ACSM3	0.028431
B3GNT9	-0.028423
APLNR	-0.028314
KDELR3	-0.028309
TLR1	-0.028305
SRPX2	-0.028284
PIK3R5	-0.028255
IFI44	-0.028239
PSMB9	-0.028217
CCL13	0.028132
HLA-DMA	-0.028100
SFRP2	-0.028094
SLC27A3	-0.028082
NREP	-0.028042
EVI2B	-0.027982
PLCG2	-0.027954
LAMC3	0.027911
ITGAL	-0.027873
GBP7	-0.027863
LRMP	-0.027716
LECT1	0.027612
KCNK1	0.027599
AHSG	0.027578
MLXIPL	0.027459
GSTZ1	0.027437
TNFSF10	-0.027397
SPRR3	0.027336
CLEC12B	0.027306
LEP	0.027294
CCR2	-0.027261
CDK5RAP1	-0.027235
IRGM	-0.027216
CPS1	0.027161
IFRD1	0.027142
DPEP1	0.027078
IL2RG	-0.027033
TMCC2	-0.026947
AGPAT2	0.026946
PSTPIP1	-0.026929
GRP	-0.026907
WFDC1	-0.026801
IGSF6	-0.026703
USHBP1	-0.026699
IER3	0.026625
CSF3R	-0.026510
RADIL	-0.026416
CXCL12	-0.026377
GYG1	-0.026321
SLC6A14	0.026241
MRC2	-0.026235
NCR1	-0.026166
TMEM232	0.026058
NOP58	-0.026049
KLF15	0.026017
BNIP1	-0.025963
PRKCB	-0.025930
IMPDH1	-0.025888
HAS1	0.025854
TDGF1	0.025844
ASB11	0.025833
EGR2	0.025818
PERP	0.025746
PILRA	-0.025734
TMEM132C	-0.025729
VSIG4	0.025609
SCN7A	-0.025608
GLUL	0.025540
KLF2	-0.025502
RSAD2	-0.025408
CD300A	-0.025407
NCKAP5	-0.025404
RASGEF1B	0.025359
LOXL1	-0.025355
BPIFB1	0.025278
TK1	-0.025254
EPHX2	0.025201
IRF5	-0.025183
HLA-DRB5	-0.025168
LBH	-0.025135
GSTA3	0.025003
SPHK1	0.024990
TUBB2B	-0.024948
SMOC1	0.024930
TXK	-0.024918
CXCL17	0.024890
DEPDC7	0.024857
C9orf116	0.024809
PLBD1	-0.024697
TSHZ3	0.024605
BMP2	0.024576
ANKRD37	0.024557
BHLHE40	0.024531
CTHRC1	-0.024527
IL2RB	-0.024523
P2RY10	-0.024445
NPNT	-0.024442
CALML3	0.024400
BLK	-0.024384
PTPRO	-0.024305
CA5B	0.024293
FASN	0.024280
CD300LD	-0.024277
MMRN2	-0.024226
ZBP1	-0.024155
OVOL2	0.024141
LRRC26	0.024101
PIK3R6	-0.024052
CD5	-0.024043
MBD1	0.023899
CXCL14	-0.023883
METTL24	-0.023881
FKBP5	0.023863
XDH	0.023810
SCN3A	-0.023795
FES	-0.023742
PILRB	-0.023719
PTPLB	0.023718
RAB3C	0.023718
DUSP6	0.023699
FGB	0.023649
ITGAX	-0.023633
HIPK3	0.023577
HLA-DMB	-0.023572
PTPRCAP	-0.023539
MAPK13	0.023495
SLC2A4	0.023434
CD69	-0.023425
AOC3	0.023422
SMARCA2	-0.023422
NCF2	-0.023406
C16orf93	0.023336
TUBB2A	-0.023325
GAMT	-0.023286
PCOLCE	-0.023265
PLTP	-0.023258
SLFN12L	-0.023230
TMEM116	0.023226
FCER1G	-0.023209
MMP2	-0.023205
KRT15	0.023176
MRAP	0.023128
TYROBP	-0.023044
TNNI2	0.023032
SULT1E1	0.023023
PTPRC	-0.022911
ACOXL	-0.022893
RNASE6	-0.022892
CLEC3B	-0.022849
ST3GAL2	-0.022808
PRRG3	0.022806
IGF1	-0.022788
HLA-DQA1	-0.022764
MARCH1	-0.022745
TNFAIP8L2	-0.022729
GPR97	-0.022722
CYP2B6	0.022717
FCRL1	-0.022656
RTDR1	0.022653
SERINC3	0.022589
MMP8	0.022587
NPAS2	0.022580
HS3ST1	0.022544
VSTM5	-0.022477
HLX	-0.022465
DYSF	-0.022458
SPI1	-0.022444
PFKFB1	0.022422
BMPER	-0.022396
PRMT8	0.022386
GIMAP1-GIMAP5	-0.022254
ADRB1	-0.022246
SIRPB1	-0.022224
FGFR4	-0.022222
P2RY6	-0.022200
FABP4	0.022133
RASGRP4	-0.022129
DDAH1	-0.022059
G0S2	-0.022055
SPRR1A	0.021982
TOX3	0.021935
EAF2	0.021929
DHCR7	-0.021899
KLHL6	-0.021873
KHK	0.021854
PADI2	-0.021780
CNFN	0.021747
CIDEC	0.021716
AQP4	0.021702
CCBL2	0.021686
TNFRSF13C	-0.021684
CCL3L3	0.021647
LAIR1	-0.021643
GADD45G	0.021640
MICAL1	-0.021638
IL1R2	0.021607
C9	0.021599
SLC6A2	0.021597
TULP1	0.021564
OAS1	-0.021516
STK10	-0.021515
ARMC7	-0.021513
LCP1	-0.021465
SLC15A2	0.021446
EXOC3L4	-0.021444
PGLYRP1	-0.021429
FAM46B	0.021409
GPR35	-0.021396
TIMP3	0.021351
NOV	0.021338
GFPT2	0.021328
IVD	0.021288
TUBD1	0.021286
PLSCR3	-0.021273
ESM1	0.021266
GBP2	-0.021215
ITM2A	0.021211
GSTO1	0.021184
ANGPTL4	0.021164
IGFBP2	-0.021126
MYL3	0.021114
PCDHB14	-0.021106
ADH7	0.021091
GPR65	-0.021090
KLRG1	-0.021087
HS2ST1	-0.021077
ITGB7	-0.021050
NDRG2	0.021042
FBLIM1	-0.021033
ITGB2	-0.021013
NPTX1	-0.020966
CARKD	0.020944
RAC2	-0.020928
ADAMTSL2	0.020918
CCBE1	0.020868
HMHA1	-0.020863
AKNA	-0.020804
FERMT3	-0.020790
PXDC1	0.020789
TIFAB	-0.020774
PREX1	-0.020759
DEF6	-0.020751
MUC5B	0.020718
EGR3	0.020695
TSPAN11	0.020694
GAP43	-0.020658
CD74	-0.020640
PXMP2	0.020628
NR1D1	-0.020620
C1QTNF9B	0.020616
BNIP3	0.020601
SELENBP1	0.020570
AMZ1	-0.020558
HPGD	0.020554
TUSC5	0.020553
TMOD1	0.020546
ABCG2	0.020540
CX3CR1	-0.020540
NFAM1	-0.020505
STMN2	-0.020503
TMPRSS13	0.020500
MN1	0.020494
BTK	-0.020480
EPPK1	0.020462
GPR171	-0.020391
IRF7	-0.020391
IRF8	-0.020384
PBK	-0.020334
HCAR2	0.020303
IL17RA	-0.020264
PCDHB11	-0.020237
PYCR1	-0.020151
SLURP1	-0.020118
CNR2	-0.020111
PLXDC2	-0.020107
ID4	0.020103
CST7	-0.020047
MSC	0.020020
C11orf52	0.020012
ITGBL1	0.019997
TUBB1	-0.019991
KCNH1	-0.019966
KLK8	-0.019945
TMEM237	-0.019923
PEA15	-0.019918
CALML5	0.019906
EPSTI1	-0.019842
ATP2C2	0.019841
CD274	-0.019840
LSP1	-0.019819
PTPRE	-0.019765
DCK	-0.019756
BIK	0.019744
GNAI2	-0.019710
RTP4	-0.019703
FAM212A	-0.019702
CACNA1C	-0.019658
FKBP1B	0.019655
LRRC3B	-0.019605
SEMA4D	-0.019589
