!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform D)
!perturbation	Dexamethasone
!disease	hGRalpha-D - 100nM - 12 hrs
!end_metadata
C9orf47	0.019640
MYLK	-0.019637
ABCD2	0.019614
MYL10	-0.019595
EFNA3	0.019594
NTM	-0.019572
PCLO	-0.019517
CACNA2D3	0.019503
ANKRD1	-0.019487
LTB	-0.019485
HSD3B1	0.019464
USP27X	0.019463
SNAI1	0.019461
FAM135B	0.019459
GZMA	0.019419
FAM110C	0.019398
TXNRD1	-0.019388
MAP3K14-AS1	0.019387
PARP4	0.019383
SLAMF7	-0.019268
RGS20	-0.019261
LINC00261	-0.019210
MC3R	-0.019170
IDI1	0.019136
KREMEN2	-0.019132
PDGFRB	0.019106
GRM2	0.019073
RADIL	0.019068
FAM3B	-0.019048
CCL26	-0.019034
GJA1	-0.019020
ID3	-0.019014
THBD	0.018972
RAB7B	-0.018930
ABCG1	-0.018913
FLNC	-0.018874
GOLT1A	-0.018860
KDR	0.018835
PLEKHA7	0.018819
GAREM	0.018815
EVA1A	-0.018814
NFKBIA	0.018812
TMED6	-0.018810
PSG1	-0.018808
KIF19	0.018805
IL11	-0.018804
IFI44	-0.018796
DST	-0.018787
SLPI	0.018756
LAT	-0.018691
COL16A1	-0.018685
UBASH3B	-0.018672
SERPINF2	0.018667
ELK1	0.018658
AKR1C1	0.018653
C8orf12	0.018651
RNF165	-0.018648
TSPYL2	0.018637
