!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform B)
!perturbation	Dexamethasone
!disease	hGRalpha-B - 100nM - 6 hrs
!end_metadata
TMEM37	0.037946
ITIH3	0.037793
SGK1	0.037693
HSD11B2	0.037675
SOD3	0.037627
ARHGAP9	0.037566
CLCN2	0.037188
HOXD1	0.037155
GUCY2F	0.037056
ARC	0.036988
AGT	0.036860
CEBPD	0.036703
NR0B1	0.036630
TKTL1	0.036595
TF	0.036588
SLITRK3	0.036399
F11	0.036393
LOC642620	0.035894
TERT	0.035744
TMEM100	0.035475
ZCCHC5	0.035441
PIWIL1	0.035431
ERV9-1	0.035419
FRK	0.035188
CRISPLD2	0.035107
TMEM204	0.034942
KRTAP2-3	-0.034764
MYO15A	0.034736
HSD17B2	0.034657
BBOX1	0.034586
TSC22D3	0.034540
CSF2	-0.034404
MYEOV	-0.034209
MRVI1	0.034056
GPIHBP1	0.033990
SNN	0.033950
FABP6	0.033939
NXPH1	0.033886
CACNA1I	0.033661
CRYGC	0.033589
TFCP2L1	0.033366
SIPA1L2	0.033231
PCSK5	0.033106
HLA-DPB1	0.033003
EDN3	0.032836
LOC100507053	0.032805
CTCFL	0.032797
PMEPA1	-0.032703
CNIH3	-0.032446
IGFBP1	0.032291
TIGD3	0.032288
KCTD4	-0.032239
KCNJ4	0.032213
SEC14L2	0.032042
KBTBD11	0.032025
INSL4	0.031991
HAS2	-0.031843
EFCC1	0.031805
SLAMF8	0.031754
NOS2	0.031672
SCGN	0.031587
PAG1	0.031578
OVGP1	0.031468
S1PR1	0.031383
COL18A1	0.031376
GPRIN2	0.031282
IER3	-0.031222
TRG-AS1	0.031060
C5orf66	0.030887
CDX1	0.030826
HDAC4	0.030772
ART3	0.030735
BTLA	0.030633
KRT71	0.030629
IER2	-0.030548
PTH1R	0.030546
SNAI1	0.030505
VIT	0.030413
NEB	0.030339
FAM20C	0.030209
FAM189A2	0.030181
PRKCQ	0.030003
SERPINF2	0.029979
KCNH2	0.029930
SLC9A2	0.029904
BCL2L14	0.029899
ENC1	-0.029794
GZMA	0.029712
LOC283278	0.029711
ZNF57	0.029663
NLRP8	0.029639
SLN	0.029432
COLGALT2	0.029358
TG	0.029256
DUSP5	-0.028926
CAMK2B	0.028900
SHOX	0.028847
TMEM130	-0.028828
LAIR1	0.028814
PTPRR	-0.028777
MYH7	0.028738
LRRC56	0.028637
VDR	0.028540
MFSD6L	0.028532
MTTP	0.028495
TGFB2	-0.028464
ARSE	0.028358
ATP2C2	0.028339
NET1	0.028291
OR52K3P	0.028285
TRIM63	0.028259
KIF19	0.028245
SCGB2A1	0.028122
RYR3	0.027914
IL22RA1	0.027842
GIMAP1	0.027781
C11orf97	0.027667
NKD1	0.027624
PTGES	0.027597
VPREB1	0.027587
MYH13	0.027570
CNKSR3	0.027553
LPL	0.027542
SWT1	0.027539
PLAU	-0.027489
BCL3	-0.027463
CAPN8	0.027442
ALDH1A1	-0.027437
SLC19A2	0.027367
LIF	-0.027317
TEX11	0.027256
PLCB4	0.027220
PGPEP1L	0.027181
FAM213A	0.027145
DNAH10	0.027090
TLR4	-0.026999
CASR	0.026971
PTX3	0.026965
CLCA4	0.026940
CLDN1	-0.026927
LIMS3	-0.026909
PHACTR3	0.026877
CHIA	0.026816
TNFRSF11B	-0.026739
TNFAIP6	-0.026705
CHRNA7	0.026562
ARMC12	0.026539
NFKBIA	0.026524
DNM3OS	0.026523
ZFP36	0.026463
PIK3IP1	-0.026334
BHLHE40	-0.026265
NSDHL	0.026221
DAPP1	0.026186
PRKCB	0.026138
TRIM54	0.026137
BCR	0.026137
PCYOX1L	0.026123
PGF	0.026017
RADIL	0.025998
SGK223	-0.025962
RUNDC3B	0.025909
FAM117A	0.025908
MAT1A	0.025897
BATF	0.025891
KDR	0.025859
NFE2	-0.025831
NAV3	-0.025797
HES1	-0.025791
ARL4C	-0.025791
PKNOX2	0.025739
UNC45B	0.025734
CPT1A	0.025639
CLIP4	-0.025629
FAM135B	0.025621
MUM1L1	0.025539
SSR4P1	0.025446
FLVCR2	0.025414
FGD6	-0.025389
FRMD5	-0.025377
THBS2	0.025374
KCTD3	0.025342
RGL1	0.025312
RHOU	0.025293
LGALS9	0.025223
CERS3	0.025212
ST3GAL5	-0.025191
CHST3	0.025191
MAP1A	0.025111
PDE1A	0.025097
NAT1	0.025079
IRF8	0.025045
PSCA	0.025042
PDCD1LG2	-0.025028
AMZ1	0.024939
ELMOD1	0.024815
PIP5K1B	0.024725
MAGEB3	0.024722
CADPS	0.024715
CHST15	0.024654
C1QL2	0.024635
LRRC4C	-0.024552
MISP	-0.024479
ADPRH	0.024377
NLRC4	0.024370
OLFML3	0.024312
LIN28B	-0.024285
C3orf70	0.024278
NOSTRIN	0.024268
MAL	0.024256
LCE3D	0.024252
PRB1	0.024251
ID2	0.024180
GPRC5A	-0.024160
ELSPBP1	0.024123
LOC643355	-0.024088
ABCD1	0.024064
ATP12A	0.024039
KRT72	0.024022
EMP1	-0.024014
SLC26A9	0.023993
NLRP5	0.023990
PSAPL1	0.023890
G0S2	-0.023881
TLE3	0.023857
SHISA6	0.023799
SYT2	0.023795
NR1H4	0.023781
NRG2	0.023766
PEX6	0.023762
SLA	0.023746
ADORA3	0.023631
FAM49A	0.023489
PIWIL4	0.023412
KLF15	0.023401
SLCO4A1	0.023354
JUNB	-0.023341
CRYBA2	0.023200
SPON1	0.023179
RUNX3	0.023144
CYR61	-0.023143
KIF25	0.023067
RASSF4	0.023067
ITGB2	0.023066
CTDSPL	0.022993
IL9R	0.022970
GSC	0.022970
FREM1	0.022962
MIR100HG	0.022895
MAP2K3	-0.022845
SIGLEC5	0.022841
DRD1	-0.022820
IL11	-0.022774
SERTAD4	-0.022767
PLEKHA7	0.022742
BTK	0.022711
TP53I3	0.022673
CDKL5	0.022640
DZIP1L	0.022638
CREB5	-0.022624
TUFT1	-0.022529
DNM3	-0.022520
CD38	0.022476
TBC1D4	-0.022474
DDR1	0.022442
BDKRB1	-0.022435
ZBED2	-0.022433
NPR2	0.022403
ADARB2	0.022399
TBC1D10A	0.022370
CSRNP3	0.022351
MAP4K1	0.022269
LINC01114	0.022239
PERM1	0.022207
GLIS1	0.022166
RNASE2	0.022164
VIPR2	0.022106
P2RY6	0.022102
LOC401317	-0.022087
ARMC2	0.022063
G6PC	0.022046
CR2	0.022025
LOC100506929	-0.021960
KIR2DS2	0.021957
FGF5	-0.021919
MT1JP	0.021918
PRR16	-0.021889
FOXN4	0.021889
CCL20	-0.021856
CCL4	0.021740
MLC1	0.021736
SMCP	0.021701
FAM46A	0.021644
PLEKHB1	-0.021642
MSX1	0.021638
CPM	0.021588
PDGFRB	0.021571
CDC7	0.021550
NLRP10	-0.021525
KCNJ15	-0.021515
TGFBR3	0.021472
KCNN4	-0.021466
KIAA0754	-0.021456
ADAMTS1	-0.021416
NXF5	0.021394
IL36G	0.021331
SHANK3	0.021308
SRD5A2	0.021291
LPAR5	-0.021288
C7orf57	0.021279
TXNRD2	-0.021270
GEM	-0.021237
PPP2R3B	0.021224
KCNE2	0.021222
GDPD1	-0.021211
DIRAS3	-0.021183
WNT4	0.021163
PCDH18	-0.021139
CCDC42	0.021129
C5	0.021128
ETNPPL	0.021093
DOK7	0.021070
TMEM61	0.021051
ARHGEF28	-0.021022
PHYHD1	0.020988
PTPRH	-0.020985
LINC01133	0.020960
FOSL1	-0.020934
ID3	-0.020913
ASB9	0.020906
MFSD7	0.020895
ADAMTS8	0.020890
SHISA2	0.020870
UBASH3B	-0.020826
SERPINB4	0.020825
KREMEN1	0.020810
FAM230B	0.020804
ABCB5	0.020801
LOC100507022	0.020796
LOC100507521	0.020796
TRIM47	-0.020742
RASSF2	0.020718
SYT16	-0.020662
TRIM49	0.020620
SLC6A12	0.020609
WDR60	0.020574
LRRC37A3	0.020546
SLC7A8	0.020528
NXPH3	0.020501
F2RL2	-0.020482
DUSP14	-0.020481
TIAM2	-0.020476
PLEKHG3	-0.020473
C6orf132	0.020469
SALL4	-0.020455
IL1F10	0.020445
LIPH	-0.020410
YTHDF1	0.020409
GREB1	0.020406
BICD1	-0.020387
LPPR4	0.020385
S1PR5	-0.020351
SLC25A48	0.020345
ERBB2IP	-0.020329
CDH15	0.020316
FAM83A	0.020310
C2orf54	0.020307
FAM205A	0.020304
SLC12A3	0.020304
SIGLEC7	0.020300
RASD1	0.020292
ZNF503	-0.020290
TMEM243	0.020279
SCUBE2	0.020262
SLC37A2	0.020234
MS4A7	0.020208
LSM11	0.020183
ABCA7	0.020171
LINC00161	-0.020106
BRS3	0.020103
MYO10	-0.020098
FCGR2B	0.020076
ITPKA	0.020072
KRT32	0.020037
LOC100131532	0.020019
NAB2	-0.020007
MYOM3	0.019994
COLEC11	0.019990
LPA	0.019958
ST3GAL4	0.019919
CEACAM4	0.019903
SLC2A14	0.019897
BATF2	-0.019892
ST6GALNAC5	-0.019874
HOXC11	-0.019859
MLYCD	0.019852
EFCAB6	0.019835
TEKT2	0.019818
EGR4	-0.019818
TNFSF4	0.019816
LRP4	0.019814
C20orf96	-0.019795
KRT23	0.019795
BBS1	0.019792
ODF4	0.019766
HOMEZ	0.019766
HTR1D	-0.019719
NOTCH4	0.019688
TXNRD1	-0.019645
TNFAIP2	-0.019563
DPEP1	0.019540
HSD17B1	0.019528
