!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor)
!perturbation	Dexamethasone
!disease	hGRalpha - 100nM - 12 hrs
!end_metadata
SERTAD4	-0.025704
PPP1R3C	0.025677
LEMD1	0.025622
USP24	0.025581
CCL20	-0.025462
BCL11A	0.025435
ANKRD1	-0.025379
ZNF404	-0.025270
PLIN1	0.025268
RNASET2	0.025256
RGCC	0.025212
MLLT11	-0.025105
SSR4P1	0.025082
NQO2	0.025030
RGS20	-0.024989
KIAA1217	-0.024976
LIMA1	-0.024965
TMEM130	-0.024923
PAGE4	0.024838
PLAC8	-0.024809
C8G	0.024804
BBOX1	0.024751
C15orf52	-0.024686
NKD1	0.024632
TEX11	0.024580
BDKRB1	-0.024563
CADPS	0.024555
C15orf27	0.024500
OR7E5P	0.024486
SLC43A2	0.024451
ZNF556	0.024412
ZNF189	0.024378
TLR4	-0.024345
BCL2L1	-0.024319
CNN3	-0.024272
LPAR5	-0.024218
PHACTR3	0.024082
CRISPLD2	0.024058
ID2	0.024028
PMEPA1	-0.023961
MTTP	0.023907
SOCS1	0.023897
KRT72	0.023887
LINC00880	0.023815
FAM43A	0.023782
PKIB	-0.023751
MISP	-0.023742
KIAA1324	-0.023661
SERTAD4-AS1	-0.023516
TRGV7	0.023502
SYTL3	-0.023425
LINC01114	0.023411
LINC00842	-0.023405
SAMD4A	-0.023372
KCNN2	0.023267
EFCC1	0.023246
ELMOD1	0.023218
ADAMTS6	-0.023206
NPPC	0.023177
FAM20C	0.023163
LINC00707	-0.023154
FAM65B	-0.023153
BHLHE40	-0.023139
TMEM154	-0.023127
DNAJC12	0.023091
TF	0.023042
MLYCD	0.022996
ABCA7	0.022966
CAMK1D	-0.022937
TMEM74B	0.022913
VIPR1	0.022907
FOSB	0.022846
TBC1D10C	-0.022832
HTRA3	0.022820
HSPA1A	-0.022797
RGS16	0.022740
CDH16	0.022700
NTM	-0.022695
SH2D4B	0.022693
SHANK3	0.022648
MFSD7	0.022635
PTGS1	0.022631
WNT11	0.022609
SIRT2	0.022592
ADRA1B	-0.022589
PIEZO1	0.022578
C1QTNF9B	0.022542
CEBPD	0.022529
ATP6V0A1	-0.022483
TBC1D4	-0.022418
TLE3	0.022406
HBA2	0.022369
GPR161	0.022338
PRSS35	0.022305
SCG5	-0.022259
LOC283454	-0.022232
EFCAB6	0.022231
HAS2	-0.022204
ZNF280A	0.022199
LINC00588	0.022185
RPH3AL	0.022151
P2RY6	0.022151
VASN	0.022016
GAL3ST3	0.021997
COL6A1	0.021991
FAM117A	0.021966
FAM9B	-0.021958
EMP1	-0.021956
RELT	0.021933
GDPD2	0.021862
CACNA2D2	0.021828
IL3RA	0.021817
PTP4A3	0.021805
ECHDC2	0.021779
CHIA	0.021749
IGSF9	-0.021741
SREBF1	-0.021726
PGPEP1L	0.021714
PCSK5	0.021713
NDRG1	0.021701
ZDHHC14	0.021671
MYO15A	0.021636
AQPEP	0.021590
DAPL1	0.021586
XDH	0.021576
NCEH1	0.021535
CLDN22	0.021522
CNIH3	-0.021516
MAL	0.021497
ARL4D	0.021485
FAM104A	0.021480
PFN2	-0.021458
ST3GAL5	-0.021449
NAB2	-0.021428
PIWIL4	0.021416
TMEM100	0.021403
PKNOX2	0.021364
TGFA	0.021289
NR1H4	0.021273
PRR16	-0.021268
SLC15A2	0.021241
SYNPO2L	-0.021227
GALNT15	-0.021189
NLRP10	-0.021182
C2orf78	-0.021150
KIAA1522	-0.021139
SYT12	-0.021110
ZIC3	0.021092
KCNG1	0.021091
ATP7B	0.021085
VIPR2	0.021081
CCL2	-0.021051
TNFRSF12A	-0.021045
FGD5	0.021043
PSAPL1	0.021039
SERPINC1	0.021034
NAT1	0.021023
THAP4	0.021000
HSD17B2	0.020987
FGF1	-0.020986
NKD2	0.020971
LOC401317	-0.020970
ZNF114	-0.020951
SPRR2G	0.020871
FAM19A4	0.020865
TRPC3	0.020835
KCNJ16	-0.020803
TSPAN3	0.020793
COL8A2	-0.020710
SMAD3	-0.020672
ZSWIM5	0.020639
CHST15	0.020602
MAST4	0.020588
SCEL	-0.020538
TCEB3C	0.020529
KRT34	-0.020516
C1QTNF9	0.020511
EPHA4	0.020484
NF2	-0.020483
ZPR1	0.020456
F2RL1	-0.020421
SLC2A14	0.020408
CLCN5	0.020400
NSDHL	0.020380
TSC22D3	0.020340
HEXDC	0.020285
IL18RAP	0.020251
TGFBR3	0.020237
BBS1	0.020236
YTHDF1	0.020230
CNN1	-0.020213
SLITRK3	0.020206
CACNA1I	0.020200
IFI44	-0.020179
HTR1D	-0.020175
TRIM8	-0.020148
HHAT	-0.020125
RSRP1	0.020095
NUAK1	-0.020062
FABP6	0.020054
MYEOV	-0.020052
PEX6	0.020035
HSD17B1	0.020004
SPINK7	0.019971
SHC4	0.019900
PRAMEF1	0.019884
CTDP1	0.019880
HOXB9	-0.019877
SLC22A13	0.019862
CPXCR1	-0.019856
RIN1	-0.019838
KRT5	0.019836
IGKC	0.019833
PRKCQ	0.019830
TRIM54	0.019790
ZNF80	0.019763
CCBE1	-0.019759
OBP2B	0.019744
AQP1	-0.019740
DLL4	0.019733
ADCY9	-0.019710
PLD1	-0.019705
EXPH5	-0.019688
ADORA2B	-0.019688
KCNB1	-0.019679
PSPN	0.019669
ARMC12	0.019666
ENO2	-0.019650
ANP32E	-0.019648
POTEG	0.019637
GPR83	0.019632
CPA4	-0.019617
SMOC2	0.019616
METRNL	0.019602
LRCOL1	0.019594
KRT71	0.019581
HEY1	0.019558
FZD8	0.019534
PPP3CC	0.019528
KCNC1	0.019516
GLRX	-0.019503
LINC01111	-0.019498
SCN2B	-0.019497
SLCO1B3	-0.019490
ZFP36	0.019480
OCLN	-0.019473
NTF4	-0.019469
FETUB	0.019424
CLDN10	0.019403
FHOD1	-0.019388
MAF	-0.019351
PRRT2	-0.019331
CSF1R	0.019312
CEACAM4	0.019307
CBLB	0.019286
CX3CR1	0.019274
VPREB1	0.019237
TNFRSF1B	0.019230
CA9	0.019219
AWAT1	0.019217
ZNF259P1	0.019214
ABLIM1	-0.019197
DAW1	-0.019196
CSRP3	-0.019186
TRPC5OS	0.019180
CXCL8	-0.019141
APOBEC2	0.019099
PCYOX1L	0.019095
H1FOO	0.019094
RBP1	0.019046
ANXA3	-0.019033
TRIM63	0.018993
SPAG4	0.018988
PPP1R14C	-0.018934
FBXL16	-0.018922
EBF1	-0.018920
FBXO32	0.018875
INSL4	0.018862
IRF8	0.018854
EP400	0.018827
CFP	0.018813
ALDH8A1	0.018800
AKR1C3	0.018799
LZTS1	-0.018787
PDE2A	-0.018780
C1orf116	-0.018764
MYH7	0.018754
BCAR3	-0.018737
STAT5A	0.018732
SLC29A1	-0.018726
TRAF5	0.018714
ZNF624	-0.018706
MOB3B	-0.018685
OBP2A	0.018661
SEMA3C	-0.018657
GPR20	0.018646
TRIM47	-0.018641
SNAP25	-0.018640
PTRF	-0.018591
SLC45A4	0.018580
TMPRSS3	-0.018511
TPM1	-0.018486
MAT1A	0.018478
