!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Osteosarcoma cells (expressing hGRalpha receptor isoform A)
!perturbation	Dexamethasone
!disease	hGRalpha-A - 100nM - 24 hrs
!end_metadata
PPEF1	0.031376
OR7E5P	0.031129
ANKRD20A9P	0.031081
DNAJC12	0.031059
MISP	-0.030923
TMEM130	-0.030862
PKIB	-0.030798
SOAT2	0.030782
CARD14	0.030624
GUCY2F	0.030528
ID2	0.030464
USP17L2	0.030201
TRIM63	0.030092
EGFLAM	0.029993
MUC3B	-0.029985
FLJ40712	0.029941
SPINK5	0.029605
S1PR1	0.029439
ABCC8	0.029362
TMEM71	-0.029116
CCBE1	-0.029090
CYP2C9	0.029078
MAP3K7CL	-0.029043
AGT	0.029024
BMP5	-0.029003
SCGN	0.028828
PPP1R3C	0.028636
IL1RL1	0.028555
CEBPD	0.028486
MYH7	0.028435
THSD1	0.028224
TGFBI	-0.028175
SLN	0.028119
F11	0.028094
NELL1	0.028068
SHOX	0.027979
SHISA2	0.027932
SERTAD4-AS1	-0.027907
RGCC	0.027825
NTF3	0.027793
C8G	0.027700
TMEM100	0.027684
BAMBI	0.027677
FAM83F	0.027633
VDR	0.027568
NR4A2	0.027554
FOSB	0.027554
NCF1	0.027470
HSPA2	0.027446
CYP24A1	-0.027442
CLEC4G	0.027394
PTX3	0.027375
SLC2A14	0.027373
C5orf66	0.027245
ARHGAP9	0.027243
FAM46A	0.027203
PLIN5	0.027120
LOC642620	0.027117
TMEM200B	0.027112
ZFP36	0.027088
GSTM3	0.027049
PLAC8	-0.027041
FAM49A	0.026985
AQP1	-0.026924
MTTP	0.026860
COL18A1	0.026856
SFTA1P	-0.026788
IFNA21	0.026698
TNNC1	-0.026592
PCSK5	0.026573
B3GAT1	0.026552
THBS2	0.026534
MUM1L1	0.026534
LINC00589	-0.026523
RAB7B	-0.026517
FAM135B	0.026418
MYO10	-0.026360
CYP3A4	0.026154
CA9	0.026109
HBA1	0.026047
RYR3	0.026031
TF	0.026028
DNM3	-0.026027
MYLK	-0.026002
TCEB3C	0.025946
CPM	0.025863
ANXA3	-0.025796
IL2RB	-0.025781
HEY1	0.025739
TRIM6	-0.025700
ZNF57	0.025662
HSPA6	0.025622
ALPK2	-0.025601
ABCG5	0.025577
CDKL5	0.025477
PRB2	0.025354
MAP1A	0.025329
WNT11	0.025278
MYH13	0.025251
LOC101927598	0.025110
EFCAB6	0.025032
DAPL1	0.025020
KIAA1324	-0.024997
LOC101926940	-0.024956
LILRA6	0.024938
HSPB2	-0.024828
SERTAD4	-0.024752
USP24	0.024707
IRX5	0.024701
CALCR	0.024658
KRT80	-0.024633
MLYCD	0.024614
RGAG4	0.024553
C1QTNF2	-0.024544
TMC5	-0.024523
PTGS1	0.024507
GCNT2	-0.024473
LIMS3	-0.024464
GPRIN2	0.024313
ST6GALNAC5	-0.024294
SLC15A2	0.024274
HRCT1	-0.024249
CCL2	-0.024186
DPEP1	0.024170
PIWIL4	0.024157
CLCN2	0.024137
EDNRA	0.024127
KIF19	0.024102
ZNF189	0.024095
CPA4	-0.024033
GPRC5A	-0.023991
SPAG4	0.023990
FAM222A	0.023954
NKD1	0.023953
PSG7	-0.023793
SLPI	0.023773
NAT1	0.023679
FRMD5	-0.023633
PEG10	0.023623
KCNJ4	0.023601
ABCA7	0.023523
SLC16A3	0.023512
TMEM45A	-0.023503
MYL10	-0.023482
SGK223	-0.023445
SYT13	0.023419
CHRNA7	0.023415
IGFBP1	0.023400
ABLIM1	-0.023398
ST3GAL5	-0.023293
CHST8	0.023256
SLC43A2	0.023254
ARSE	0.023227
TRPC3	0.023183
ATP1A2	-0.023161
PHLDA2	0.023153
APOBEC2	0.023131
TBX21	0.023123
OLR1	-0.023121
POTEG	0.023106
SOCS1	0.023100
DLL4	0.023036
AQPEP	0.023035
CST6	-0.022977
SYT2	0.022959
ZFYVE1	0.022928
ZAP70	0.022909
CAPN8	0.022877
CXCL1	0.022862
CWH43	0.022854
LOC100128035	-0.022834
SNN	0.022832
HEXDC	0.022818
AMZ1	0.022786
AMIGO2	-0.022764
CEBPA	0.022705
LINC01136	0.022637
PLD1	-0.022605
IGSF9	-0.022536
CHIA	0.022510
AP1M2	-0.022479
CRISPLD2	0.022436
LINGO2	0.022422
CNN1	-0.022385
ABCD1	0.022376
EFCC1	0.022371
ADRB2	0.022301
ARL4D	0.022218
GSG1	-0.022207
VLDLR-AS1	-0.022178
SOD3	0.022168
TNFSF14	0.022120
MARC1	-0.022113
CLCA4	0.022104
LINC00588	0.022104
TSC22D3	0.022103
GLP2R	-0.022093
CASP1	-0.022077
NXF5	0.022066
F2RL2	-0.022056
LOC100507494	0.022006
IGKC	0.021999
CACNA1I	0.021953
FAM149A	0.021938
LOC100507053	0.021891
TRBC1	0.021853
VWC2	0.021822
SSUH2	0.021773
FAM213A	0.021736
BTN3A3	-0.021710
TGFB2-OT1	-0.021669
SSC4D	-0.021653
RGS20	-0.021637
SLC35F3	-0.021587
FOXJ1	0.021583
RELT	0.021559
NPTX2	0.021447
IYD	0.021446
TNFSF11	0.021420
OLFML3	0.021414
ZSCAN31	-0.021411
NR1H4	0.021379
PLAU	-0.021356
TXNRD1	-0.021349
ELFN2	-0.021324
ENO2	-0.021284
IGK	0.021225
KLRK1	0.021173
OR52K3P	0.021166
LAD1	0.021148
SOX9-AS1	-0.021140
TGFB2	-0.021137
TPO	0.021101
SMIM3	0.021084
LRRC20	-0.021077
YTHDF1	0.021071
ID4	0.021069
TMEM204	0.021048
KREMEN1	0.021042
TNFSF12	-0.021023
CARD10	-0.020980
TSPAN3	0.020925
SLC25A18	0.020920
FAM81A	-0.020897
KCNG1	0.020883
KCNN4	-0.020866
NLRP5	0.020848
ACRC	0.020786
TLE3	0.020775
FAM117A	0.020773
KRTAP2-3	-0.020766
KREMEN2	-0.020744
FAM27E3	0.020731
ZNF280A	0.020716
S1PR5	-0.020711
QPRT	-0.020709
FZD7	0.020677
ZNF80	0.020543
MBOAT4	-0.020539
PCYOX1L	0.020506
TRIM52	0.020488
ADORA2B	-0.020482
WNT16	0.020449
ABCA8	0.020367
FAM20C	0.020347
FAM183B	0.020335
ABCA6	0.020308
SH2D4B	0.020304
HIPK1-AS1	0.020268
CSF1R	0.020244
PNLIPRP2	0.020238
TMPRSS3	-0.020211
NOS2	0.020203
NSDHL	0.020200
CRLF1	0.020189
SLC2A3	0.020162
FAM104A	0.020149
FHL2	-0.020147
KCNE2	0.020110
FAM231D	0.020106
JUP	-0.020104
DNALI1	-0.020094
TGFBR3	0.020059
GRAMD4	0.020056
MAP3K8	0.020056
MAOB	-0.020055
CLCN4	-0.020052
TIGD3	0.020046
SALL4	-0.020037
SGSM1	0.020010
EDIL3	-0.019986
EPB41L3	-0.019970
PIEZO1	0.019961
BCL2L14	0.019900
ADORA3	0.019898
DAW1	-0.019897
ZFP2	0.019837
TEPP	0.019833
CYP26A1	0.019815
AWAT1	0.019801
MTNR1A	0.019774
TCEB3B	0.019765
NUAK1	-0.019752
MAST4	0.019734
IGLL1	0.019716
UPK1B	0.019679
DNER	0.019670
TRERF1	-0.019634
OVGP1	0.019634
TPBG	0.019632
DNAJB9	0.019622
SMCP	0.019601
GPR62	0.019565
C15orf52	-0.019562
NXPH2	-0.019546
RNASE11	0.019533
H1FOO	0.019521
EPHB3	0.019509
RND1	0.019508
PBX1	-0.019492
AK5	-0.019443
SMOC2	0.019420
LOC79160	-0.019418
HSF2BP	-0.019413
SSR4P1	0.019406
PEX2	0.019384
RNF149	0.019373
SORCS2	0.019314
KIAA1522	-0.019314
CPNE7	0.019298
NEURL1	-0.019293
FAM43A	0.019284
CFP	0.019280
VASN	0.019265
KLK1	-0.019250
KIAA1210	-0.019244
AKR1C3	0.019243
KBTBD11	0.019217
RIPPLY3	-0.019199
FCHO1	-0.019168
IL18RAP	0.019166
HSPB3	-0.019118
CNTNAP2	-0.019116
ADAM2	-0.019114
NPPB	-0.019114
FILIP1	-0.019107
FGF1	-0.019104
CAP2	-0.019059
CABP1	0.019035
PBX4	0.019016
IGSF10	0.019009
SGSH	0.019001
TRGV7	0.018984
SLC19A2	0.018978
PGPEP1L	0.018966
INGX	0.018965
C12orf60	0.018955
MMP10	0.018941
PXDNL	0.018939
L3MBTL3	0.018912
PEX6	0.018901
CD19	0.018826
C1orf132	0.018825
TEKT4	0.018813
BAHCC1	-0.018763
SAPCD2	-0.018755
KIR2DS2	0.018742
LIMCH1	-0.018724
TMEM74B	0.018721
TERT	0.018714
ADAMTS8	0.018713
LOC101927811	-0.018713
EFCAB10	0.018708
AXL	-0.018688
FHDC1	0.018645
RGS16	0.018624
HOMEZ	0.018609
LAMA2	0.018593
TPD52	-0.018572
MXRA8	-0.018533
PRRT2	-0.018527
SLC22A3	0.018523
CST1	0.018518
PRTFDC1	-0.018510
LINC00842	-0.018506
NLRP3	0.018503
NDRG1	0.018492
PPP2R3B	0.018488
CACNA1E	0.018473
LOC441666	0.018469
KLRC4	0.018466
DYSF	-0.018431
LOC100131532	0.018427
ISLR2	0.018394
B4GALT4	0.018377
CENPV	-0.018377
ARL6IP5	-0.018355
F2R	-0.018354
WDR60	0.018316
SEMA3C	-0.018312
LOC644450	0.018309
DBNDD1	-0.018304
ATP1A1	0.018302
C4orf26	-0.018299
HBA2	0.018297
KCNJ15	-0.018294
EGR4	0.018283
ZNF599	0.018264
ARMC12	0.018253
KCNV1	0.018234
EDN2	-0.018220
DMXL1	0.018216
BAI1	0.018207
ZP2	0.018199
