!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	MM1R cells  
!perturbation	Dexamethasone
!disease	Multiple myeloma (GC resistance)
!end_metadata
IRAK1	-0.024214
SLC25A20	0.024188
ALG5	-0.024188
TINF2	0.024123
C3orf38	0.024115
PFKFB4	0.024113
PNN	-0.024071
BTBD1	0.023988
FEM1C	-0.023977
RSPRY1	0.023952
GDE1	-0.023913
MIR574	-0.023900
LOC100129055	-0.023877
S100A9	0.023871
NDUFA5	-0.023871
RPL23AP32	-0.023851
CASD1	0.023844
FASN	0.023810
TDRD1	-0.023765
GATM	0.023755
HMGB2	-0.023724
R3HCC1	0.023694
RASA2	0.023680
PELP1	-0.023623
SRSF5	0.023620
GPR89B	0.023603
IKZF3	0.023594
SCD	0.023561
HSPB1	0.023526
DUSP4	0.023506
STAT4	0.023487
CASP10	0.023479
FAM3C	0.023449
RNU1-3	0.023431
SNX5	0.023411
FABP5	-0.023409
PERP	-0.023396
PAPSS2	0.023384
TNFAIP8	0.023329
HIATL1	0.023313
RNASEH2B	-0.023290
VPS51	0.023246
RGS1	0.023243
RNA18S5	0.023239
NMRAL1	0.023151
TP53I13	0.023121
SLC25A40	0.023121
H3F3B	0.022999
UBE4A	-0.022934
MCTS1	-0.022840
MIR1228	0.022838
SNORD87	-0.022807
OPN3	0.022807
ERO1L	0.022776
PAM	0.022756
SPTBN1	0.022691
FAM73B	-0.022634
MCCC2	0.022532
TST	0.022531
CASP8	0.022520
GMDS	0.022513
DTWD2	-0.022408
TSPAN7	0.022389
SNORD14C	0.022378
DAPP1	-0.022337
TUBGCP5	0.022332
TXNDC5	0.022323
LAMP5	0.022240
CAMSAP2	-0.022228
ADI1	-0.022199
CYCS	-0.022196
GTF2I	0.022194
MYCBP2	-0.022159
ZDHHC14	0.022099
RASSF5	0.022093
CCDC88C	-0.022074
NLRP8	-0.022061
LOC100134868	-0.022055
RPA3OS	0.022033
DFNB31	-0.022015
LRRFIP1	-0.021941
FAM162A	-0.021938
TRMT10C	-0.021916
MYOM2	0.021903
MCOLN1	-0.021899
HDGF	-0.021883
C3orf58	-0.021864
DLGAP5	0.021842
ATF2	0.021799
ARID3A	-0.021780
RAB30	0.021772
PCNX	0.021674
IFI30	-0.021632
GUF1	0.021626
BUB1B	-0.021603
RALA	0.021582
RSRC1	0.021539
SLC39A6	0.021521
SNORD13	0.021500
MFSD3	0.021480
MRPL57	-0.021431
TMEM198	-0.021426
SQLE	0.021402
CDC20	0.021362
SEC22B	0.021351
STX5	0.021345
MICAL1	-0.021293
CRTC2	-0.021291
DMC1	-0.021279
FAM175A	-0.021258
PDIA6	0.021254
PREB	-0.021212
PRDM4	0.021192
PRPF19	-0.021184
ST3GAL2	0.021144
ZNF773	-0.021138
LINC01018	-0.021125
TMEM168	0.021055
PDCD4	-0.021052
SNAR-A1	0.021028
AHSA2	-0.021014
AMY1A	-0.021011
ITGB3BP	-0.020955
LOC613037	-0.020926
SPIN4	-0.020913
TCEAL8	0.020896
MYLIP	0.020894
MIR586	0.020879
C5orf28	-0.020879
SAP30	-0.020848
ADAM9	0.020843
RBM15B	-0.020840
LDLR	0.020834
NFE2L1	-0.020811
CLTC	-0.020800
ARL16	-0.020753
NPIPA1	-0.020709
FANCG	0.020686
CGN	-0.020642
TREML1	-0.020621
IER3IP1	-0.020607
ATL2	0.020595
TUBA4A	-0.020561
ITGA4	0.020486
EID2B	-0.020480
NIPA2	0.020470
PIK3R2	0.020367
ZNF367	0.020339
EIF1B	-0.020338
EZR-AS1	0.020332
PM20D2	-0.020319
ESPL1	-0.020301
NSD1	-0.020300
PAXIP1-AS1	-0.020291
LPCAT1	-0.020280
SMNDC1	-0.020260
LRIG1	-0.020254
FAM49B	-0.020240
KIFAP3	0.020214
KLF15	-0.020180
PDCD11	0.020170
SNORA61	-0.020149
SLMO2	0.020146
ZNF586	0.020142
RND3	0.020140
FAM210A	0.020138
EIF3A	-0.020084
FAM73A	-0.020083
SPCS3	0.020074
MBOAT2	-0.020065
KDM2A	-0.020027
ZNF521	-0.020012
KIFC2	-0.020012
SNORD3D	0.020000
TSPAN31	0.019989
LIN37	-0.019977
PRRG2	0.019976
NCAPD3	-0.019966
SSH2	-0.019947
PPP1R21	0.019935
VPS37B	0.019924
SCNN1B	-0.019922
JSRP1	0.019915
TATDN2	-0.019899
VIM	0.019895
CORO1C	-0.019857
ATP6V0A1	0.019856
CCBE1	-0.019852
DDX50	0.019838
IREB2	0.019774
TAF7	0.019771
GK	0.019758
MB21D1	0.019746
ELL2	0.019724
SC5D	0.019708
PABPN1	-0.019688
RHOT1	0.019677
KHNYN	-0.019597
IPO7	0.019587
MYO6	0.019535
GSDMC	-0.019497
CCDC125	-0.019496
ANAPC16	-0.019484
COG5	0.019479
FEM1B	0.019475
NLN	0.019471
BLOC1S1	-0.019461
DKFZP564C152	0.019428
NDUFAF4	-0.019385
FIGNL1	0.019374
UBE2J1	0.019365
GALNT3	-0.019347
RIMS3	-0.019318
FAM72D	-0.019311
UBLCP1	-0.019274
CCDC86	-0.019273
LSM5	-0.019271
FABP5P3	-0.019264
U2SURP	0.019259
DDX21	-0.019258
MCL1	0.019215
LY96	-0.019208
LUC7L3	-0.019192
COPB2	0.019142
OCIAD2	-0.019141
INTS1	0.019124
PMAIP1	-0.019123
GPR1	-0.019115
TCEB3	0.019091
MORC1	0.019090
CSGALNACT2	0.019078
PCNT	-0.019065
SCAF4	-0.019050
HMGCR	0.019045
WDR48	0.018993
UBA6	-0.018980
DHCR24	0.018980
GGH	-0.018979
KIAA0408	-0.018972
BIVM	-0.018965
NDUFS2	-0.018965
MBTD1	-0.018964
PPP2R5E	0.018958
PCDHB9	-0.018953
RPL29	0.018940
STAU2	0.018932
DEDD2	0.018923
ATG7	0.018912
TMPO	0.018891
YME1L1	0.018871
FLOT2	0.018860
PCP4	-0.018854
DHCR7	0.018831
HLA-G	-0.018798
TMED10	0.018764
HSPD1	0.018760
MAPK13	0.018757
TBC1D10B	-0.018756
PEX19	0.018755
PGD	0.018735
CRLF3	0.018717
ATP5J2	-0.018714
WNT10A	-0.018700
ARL14EP	0.018683
SH3BP5L	-0.018672
UQCRHL	-0.018672
S100A6	0.018621
CAPRIN1	0.018592
LIN54	-0.018561
HOTTIP	0.018555
SCAP	0.018540
SLC9A8	-0.018540
MYH9	-0.018533
SNORD36C	-0.018523
CSF2RA	-0.018520
C16orf58	0.018517
MAGEA10	-0.018498
MAP4K3	0.018472
BIRC2	0.018472
SNRPE	-0.018472
SMG8	0.018439
TUBD1	-0.018425
ARPC1B	0.018420
RAB31	0.018416
RUNX2	0.018416
OVOL2	0.018411
BHLHE40	0.018388
SEC24A	-0.018380
SPATS2	0.018377
HIST2H2AC	0.018370
RNU105A	0.018366
SAPCD1	-0.018356
CDC42SE2	0.018352
RXRA	-0.018333
HIRIP3	0.018300
GATC	0.018296
GLDC	0.018288
TUBB2B	0.018288
MIR25	-0.018280
ATHL1	-0.018267
PPP1R2	0.018259
FBRS	-0.018255
ASNSD1	0.018222
RELB	-0.018193
GUCY1A3	0.018172
ENOSF1	-0.018162
EGR1	0.018131
NOP56	-0.018090
RBX1	-0.018054
FKBP4	0.018045
SSFA2	0.018037
ZNF320	-0.018032
BCKDK	0.018015
USP53	0.018015
ME2	0.017967
UBE2NL	-0.017962
WDR1	0.017960
SERINC1	-0.017951
DUSP1	-0.017934
SLC35F5	0.017899
MAN2A2	-0.017893
C14orf142	-0.017889
