!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	MM1R (GC resistant)
!perturbation	Dexamethasone
!disease	1µM
!end_metadata
PTCH1	-0.022803
OR2B2	-0.022802
NMRAL1	0.022797
C19orf54	0.022765
CXXC5	0.022763
DDIT4	-0.022694
NSUN3	0.022649
GPR89B	0.022558
ZNF699	-0.022529
PVRL3	0.022496
ARHGEF9	-0.022464
PRRT2	0.022418
BPNT1	0.022404
WDR1	0.022392
MRPL23-AS1	-0.022387
CHD7	-0.022384
FUT11	-0.022366
WAPAL	-0.022348
PDCL	0.022225
TEX15	-0.022184
ELOVL3	-0.022143
SPARC	-0.022130
NUP210	-0.022062
LIN52	0.022046
UFL1	0.022006
ALG12	-0.021910
TRIM52	0.021898
MNAT1	-0.021848
RBM6	-0.021843
IVD	0.021836
C11orf48	-0.021834
TRAF2	-0.021756
RNVU1-18	0.021743
P2RX1	-0.021732
HS2ST1	-0.021718
TNFRSF13B	-0.021651
PPP2R5E	0.021580
CNTRL	-0.021562
KDM5B	-0.021545
ORMDL3	-0.021512
RAB3GAP1	0.021481
UBE2E2	-0.021451
CMTM6	-0.021412
CSNK2B	-0.021405
MARK1	-0.021379
YME1L1	0.021360
DLG1	0.021347
PAQR3	-0.021326
CORO1B	-0.021315
STXBP2	-0.021300
B4GALT1	-0.021260
MC1R	-0.021232
SPATA2L	0.021159
BTD	-0.021152
BARX2	-0.021140
ZNF562	0.021080
YES1	-0.021074
LYG1	-0.021071
ZNF264	0.021047
C8orf22	-0.021021
MAP3K1	-0.021002
NAB2	0.020999
DIS3	0.020993
NEUROD1	-0.020965
CCDC150	-0.020959
RNU4ATAC	0.020956
CPEB2-AS1	0.020952
GFM2	0.020940
PRAP1	-0.020921
CYP51A1	-0.020895
SCARNA9	0.020807
FAM83F	0.020799
GALNT2	-0.020798
DNAJC24	-0.020772
EDEM1	-0.020742
ECHS1	0.020741
FAM21A	0.020735
ALDH5A1	-0.020725
RBM14	-0.020702
CDS1	0.020698
SSR3	0.020693
ARRDC3	0.020675
PRPF19	-0.020654
TFEB	0.020652
PIPSL	0.020647
RNY3	0.020608
SLC5A8	0.020594
SNORD13	0.020561
ITGA8	0.020555
TRIM43	0.020554
NKTR	-0.020529
MICAL1	-0.020486
C11orf24	0.020457
COL9A2	-0.020418
PCDHB18	0.020406
RNF165	0.020384
ANKRD27	-0.020379
SNORA1	-0.020354
DENND1B	-0.020301
SNCAIP	0.020297
CDK11A	0.020293
FDX1	-0.020290
CTDSP2	-0.020261
CREBL2	-0.020242
CARD8	-0.020147
C8orf59	-0.020146
UGT1A9	0.020091
GCLM	0.020073
RPL7L1	0.020029
APBB1IP	-0.020029
AGAP2-AS1	0.020023
CNOT6	-0.020013
KIAA1456	-0.020012
SIDT1	-0.020009
MIR1228	0.019959
FLVCR1	0.019913
SORT1	-0.019867
KDELC2	-0.019864
MRTO4	0.019864
BOK	-0.019860
CCDC85B	-0.019831
SIRT6	-0.019800
MYH6	-0.019799
CD55	-0.019787
MOGS	0.019774
STK16	0.019723
AKIRIN1	0.019707
MEG8	-0.019687
TECPR1	0.019682
NBPF9	0.019674
ATP7A	-0.019662
RAMP2-AS1	-0.019647
BTBD1	0.019626
CCDC88C	-0.019613
POLR3K	-0.019602
CDC23	0.019595
STX1A	-0.019590
TLR4	0.019588
METTL15	-0.019585
CD99	-0.019506
UBQLN4	0.019504
FNDC3A	-0.019493
RAVER1	0.019476
MXD1	-0.019464
HRASLS2	-0.019454
ANKRD26	0.019450
CNST	0.019431
ZNF281	0.019421
GNRH1	-0.019417
RPL21P28	-0.019403
PPP1R11	0.019393
L2HGDH	0.019356
FAM217B	0.019356
DDAH1	-0.019331
HMGB3	-0.019322
ZNF608	0.019310
CRLF1	-0.019291
LY86	-0.019274
CACNA1S	0.019271
ELMOD2	0.019269
NT5M	-0.019265
BCL2L1	0.019257
CD2AP	-0.019249
PDIK1L	-0.019235
C5orf24	0.019232
GMCL1	0.019227
POLR2E	0.019220
PPIB	-0.019204
LEPROT	0.019199
SF3B1	0.019193
MSN	-0.019192
B3GALNT2	0.019187
RAB30	0.019183
PRTFDC1	0.019168
HOXD12	0.019155
ZBP1	0.019129
LAMTOR5-AS1	0.019076
SLC2A3	-0.019063
CABP7	-0.019017
ZSWIM1	-0.019004
CISD2	-0.018993
PLSCR4	-0.018990
HYDIN	0.018988
TREM2	-0.018986
SNORD33	0.018983
SNX32	-0.018980
RPS21	-0.018980
AFF4	-0.018973
MIR548A2	-0.018960
GTF2H3	0.018934
SLC38A2	-0.018926
ZNF512B	-0.018914
IQSEC1	-0.018905
USP11	-0.018903
LIPE-AS1	-0.018886
ZC3H3	0.018863
NDUFB9	-0.018861
GTF3C5	-0.018857
LEFTY1	0.018841
FAM57A	-0.018810
RNF181	-0.018802
BCL7B	-0.018802
LOC100505715	0.018794
ORAI2	0.018789
NDRG3	0.018766
CDH2	-0.018760
KRT36	0.018756
RSBN1	-0.018751
SRSF7	0.018730
KCNQ1OT1	-0.018723
RNASEH1	0.018720
IBTK	-0.018719
PIK3R3	0.018717
SNORD88B	0.018710
TENM4	-0.018709
HOXD11	0.018691
KIF2A	0.018673
MIR599	-0.018664
SLC9A3	-0.018658
RIC1	0.018652
FAP	-0.018647
TKTL1	0.018642
KIAA0247	-0.018604
RPL26	-0.018602
WDR45B	-0.018569
MIP	0.018557
TELO2	-0.018534
SYK	0.018524
POLR3C	0.018519
BLOC1S4	-0.018508
ATP13A4	-0.018476
FUBP3	-0.018464
TRIM44	-0.018462
RPL23	-0.018448
FANK1	-0.018436
PTPLAD2	0.018427
VAMP8	-0.018418
PCMTD2	-0.018410
MYBBP1A	-0.018384
HNRNPL	0.018380
RASSF4	0.018371
MGC72080	0.018351
CDCA3	-0.018351
FBXW4	-0.018350
DNAAF1	-0.018349
LETM2	0.018344
MBD1	-0.018331
CASP8	0.018325
LRIG1	-0.018292
LBX2-AS1	0.018288
TTC3P1	-0.018276
ITPKA	0.018256
UPK3BL	-0.018253
IER3IP1	-0.018252
INO80E	0.018250
CDT1	0.018243
FBXL12	-0.018242
MYO3A	-0.018242
PRPF6	0.018233
DOHH	-0.018228
MPDU1	0.018194
LYZL6	-0.018181
LMAN1	0.018164
AP5B1	-0.018163
PTRHD1	0.018156
EIF5B	0.018153
STAT5B	-0.018149
M6PR	0.018142
FNTA	0.018139
GABARAP	-0.018130
SPATA24	-0.018124
TCL1A	0.018087
PIAS4	0.018072
LINC00382	0.018057
YTHDF3	-0.018054
GTF2H4	0.018051
NAB1	-0.018042
KLF13	-0.018032
VCPIP1	-0.018029
FAM168B	-0.018017
MIR370	0.018006
COA7	0.017995
TXNL1	-0.017992
OR13C5	0.017987
KDF1	-0.017981
GATAD2B	0.017965
FEM1C	-0.017952
CPNE5	-0.017948
RPL10A	-0.017924
LOC153684	0.017923
CD52	-0.017912
ZMYM6NB	-0.017910
VPS4B	-0.017888
ARID5B	-0.017868
RABIF	-0.017857
C21orf49	0.017846
COX6A1	-0.017846
CUL9	-0.017844
LAX1	0.017815
RGPD8	0.017809
PTTG3P	-0.017767
LIN37	-0.017764
ZC2HC1A	0.017761
FAM111A	-0.017760
TNPO1	0.017755
PIGV	0.017751
CEP350	0.017730
LINC00667	-0.017690
CCDC47	0.017686
SNORD25	0.017683
SNTB2	0.017678
FKBP4	0.017676
BLOC1S1	0.017674
TMX3	-0.017670
IER5	-0.017665
MDFIC	0.017663
WBP1L	0.017660
ZNHIT2	0.017657
ATHL1	-0.017641
GAREM	0.017635
ABCC10	-0.017622
WDR83	-0.017599
BRSK2	0.017598
ZBTB5	-0.017598
TMSB10	-0.017592
TMEM261	-0.017592
PLEKHB2	0.017567
SNRPD3	0.017560
ZNF329	-0.017530
NANS	-0.017529
DAGLB	0.017523
FLYWCH2	-0.017508
PPP2R2D	0.017502
BEX5	-0.017501
MEIS1	-0.017483
MAN2A2	-0.017472
PLP2	-0.017465
NEURL1B	-0.017445
RBX1	-0.017443
VAMP2	-0.017439
CYB561A3	-0.017424
SNORA63	0.017409
SNHG9	-0.017388
RYBP	0.017387
SPHK2	0.017360
TFCP2L1	0.017358
SCRN2	0.017351
CMPK2	0.017349
GPR15	-0.017345
GRASP	0.017341
FKBP1AP1	0.017337
FAM178B	0.017322
LOC100652930	0.017320
ADO	-0.017311
CYP27C1	-0.017309
COL4A3	-0.017291
MSX1	0.017290
ADCY6	-0.017277
GALM	0.017272
HIST1H2AM	0.017264
GNAS-AS1	-0.017262
EIF2AK3	-0.017244
TSKS	0.017225
NQO2	0.017204
WASL	-0.017203
GCM1	0.017202
RHBDL3	-0.017200
HS1BP3	-0.017200
WDR82	0.017164
XPNPEP3	0.017160
REEP3	0.017157
TBC1D23	0.017153
TMEM167B	-0.017152
