!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!organism	Homo sapiens
!cell	sensitive leukemia cell lines CEMC7H2 T-ALL
!perturbation	Dexamethasone
!disease	T-ALL
!end_metadata
PHYH	0.026814
SNAPC1	-0.026707
SLC16A6	-0.026693
IRF9	0.026647
SLC16A9	-0.026602
H1F0	0.026521
FAM174A	-0.026253
OTUD3	0.026099
TRAM2	0.026010
YRDC	-0.025850
SLC25A19	-0.025802
NRROS	-0.025669
PCNXL3	0.025583
CCRL2	-0.025525
TXNIP	0.025440
PABPC4L	-0.025394
RAB33A	-0.025361
CLHC1	0.025292
MED10	-0.024967
LIMK2	0.024964
TNFAIP3	-0.024924
ANP32A-IT1	0.024856
CHST11	-0.024834
MID1IP1	-0.024796
TMEFF1	-0.024739
GLUL	0.024678
PPAPDC2	0.024361
RAB39B	0.024345
UBE2S	-0.024321
MAPK13	0.024206
ARHGEF3	0.024190
C1orf85	0.024134
VEGFB	0.024053
SIPA1L2	-0.023972
FAM134C	0.023927
TSPAN31	0.023878
TRAPPC10	0.023866
VAV3	0.023847
HIST1H3I	0.023843
YIPF3	0.023838
IRF2	0.023748
C20orf197	0.023725
RBM38	0.023708
ASB16-AS1	0.023678
HIVEP3	0.023655
CXCL3	0.023631
GJA3	0.023587
C5orf30	-0.023529
SATB1	-0.023521
RHOBTB3	0.023411
YPEL5	0.023343
TMUB2	0.023338
PAXIP1-AS1	0.023322
INTS6-AS1	0.023171
EPHX1	0.023158
ANKRD35	0.023012
UBL7-AS1	0.022947
MAP2K1	0.022915
KLHL21	-0.022895
SESN1	0.022847
CHFR	0.022740
SUSD4	0.022696
ST3GAL5	0.022663
PPM1M	0.022659
LAIR1	0.022634
RASGRP1	-0.022604
C9	0.022531
LDLRAD4	0.022522
PDCD2L	-0.022498
TMEM243	0.022485
MYPOP	0.022472
TAF8	0.022464
ATP13A2	0.022456
PITX2	0.022327
SF3A2	0.022315
GLRX	0.022299
CEBPA-AS1	-0.022281
GEMIN5	-0.022267
ACRC	0.022232
RAB13	0.022208
MTA3	0.022204
ALDOC	-0.022156
PSMD6-AS2	0.022119
KIF3C	0.022098
TNFAIP8L1	0.022077
DCAF4L1	0.022012
SMG1P5	0.021987
DHRS11	0.021898
CDR2	-0.021897
CBFA2T3	-0.021892
CORO1C	0.021877
HK2	-0.021865
PWAR5	0.021848
SOSTDC1	-0.021837
ADM	0.021645
FAM13A	0.021643
RMI2	0.021641
CABIN1	0.021628
HMGCS1	-0.021605
MALAT1	0.021590
KIAA1551	0.021547
CPOX	0.021541
KIFC2	0.021532
PALD1	0.021520
GALNT4	0.021499
CD8A	0.021480
SEC31B	0.021473
USP35	0.021468
DFNB59	0.021377
TRAM1L1	-0.021290
KRCC1	0.021279
LOC100134822	0.021274
LEF1	0.021269
SCN3A	0.021250
RASAL1	0.021237
CEP135	0.021232
PLEKHA2	0.021227
NPW	0.021186
MYADM	-0.021163
DUSP10	0.021146
WDR89	-0.021123
FGFR3	-0.021122
STAT4	0.021026
FAM226B	0.021012
ARRDC3	0.020992
ATG9A	0.020903
GBA2	0.020891
L3MBTL3	-0.020851
SPRY4	0.020788
SEMA4D	0.020717
SIDT1	0.020677
ABHD15	0.020662
ALDH16A1	0.020643
CD300A	-0.020631
SMPD2	0.020602
SNTA1	0.020575
GAB2	0.020547
NPNT	0.020536
TBC1D10B	0.020519
TSPAN5	0.020516
DLX2	0.020511
ZIC2	-0.020415
ZEB1-AS1	0.020413
SERAC1	0.020401
CH25H	0.020397
FLNB	-0.020380
FDXR	0.020368
MACROD2	0.020367
RPGR	-0.020353
ZSCAN16	0.020305
LOC100132741	0.020297
SLC25A33	-0.020282
CXXC5	-0.020279
LINC00339	0.020198
BHLHE40	-0.020197
NPHP3	0.020186
PRO2852	0.020168
HINT3	0.020153
PER1	0.020134
NUDCD1	-0.020110
ZNF624	-0.020109
FHL1	0.020060
GYPC	0.020048
MGAT1	0.020047
WDFY1	0.020034
CHCHD4	-0.020017
ARSK	0.020012
PAX6	0.019967
CCDC28A	0.019958
GOLGA1	0.019947
LTB	-0.019934
CTNNB1	0.019908
DGKA	0.019906
NKIRAS2	-0.019899
KCNK6	0.019890
PNP	-0.019883
FAM46C	-0.019870
FAM111B	0.019851
HLA-DMB	-0.019845
GRAMD3	0.019843
DGKG	-0.019842
KLF16	-0.019831
CCDC6	0.019823
RAD9A	0.019822
CD47	0.019817
CXorf24	0.019794
GPRASP1	0.019783
LYAR	-0.019754
SMAD3	0.019710
SNX14	0.019699
BIN2	-0.019674
CCR9	0.019660
HBP1	0.019642
TMA16	-0.019626
C15orf61	-0.019598
ONECUT3	-0.019572
TTC30A	0.019567
CD1D	-0.019556
SLFN12	0.019548
USF1	0.019547
CD99P1	0.019542
GRPEL1	-0.019510
PFDN2	-0.019488
POP1	-0.019474
MCAM	0.019468
NKX2-5	-0.019436
ZNF623	0.019398
SMIM14	0.019385
DSPP	-0.019356
RAVER1	0.019353
TMEM68	-0.019345
PAXIP1OS	0.019325
ARHGAP4	0.019314
TRIB3	-0.019287
PIK3CG	0.019269
CROCC	0.019255
PAM16	-0.019219
RYBP	-0.019175
ADIPOR2	-0.019158
PCMTD2	0.019133
MRPL17	-0.019131
GPR68	-0.019127
SRBD1	0.019122
BACH2	-0.019120
SLC25A43	0.019111
POC5	-0.019095
MAPK6	-0.019086
LRRN1	0.019082
ULK1	0.019074
ZNF485	-0.019012
CENPC	0.019010
YTHDF3	0.018987
DCP1A	-0.018974
ARID5A	0.018972
OR7E14P	0.018925
C12orf73	-0.018873
LHFPL2	-0.018859
LOC100130987	0.018859
TGFB1	0.018835
DDIT3	-0.018830
SLC39A11	0.018800
ZNF791	0.018782
BNIP3	0.018748
ABCG1	-0.018715
FZD6	0.018715
BEND3	-0.018692
RAG1	-0.018674
LOC155060	0.018660
YAF2	0.018656
LINC00537	0.018651
POLR3G	-0.018641
WASH3P	0.018638
ALDH8A1	0.018624
TP53	0.018588
ETFB	-0.018572
FAM46A	0.018555
TSPYL2	0.018536
TYK2	0.018506
ZNF415	0.018504
EVI2A	0.018479
PLEKHA4	-0.018478
JAK2	0.018464
PFDN4	-0.018458
USP18	-0.018439
ZFPM2	0.018422
TSLP	-0.018366
MYSM1	0.018350
STK17A	-0.018339
PAFAH2	-0.018336
CERK	0.018330
MTA2	0.018312
CCDC150	0.018297
FBLN2	0.018262
PTK7	0.018210
LOC100505812	0.018188
KLRAP1	0.018180
FARSA	-0.018173
CPD	0.018154
IFFO2	-0.018151
AHSA2	0.018150
DDB2	0.018094
ANKRD39	-0.018087
SEPN1	0.018085
C10orf32	0.018085
TSPAN10	-0.018055
CCNG2	0.018011
NCOA1	-0.018010
C11orf68	0.018002
GOLGA8B	0.018001
HIST1H2BM	0.017975
MXD3	0.017963
FNBP1	0.017942
ENKD1	0.017881
PIP5K1C	0.017847
LOC652276	-0.017817
LOC100505650	0.017798
ATHL1	0.017781
HIST1H2AE	0.017781
IRF1	-0.017778
SAT2	0.017772
LARP1	-0.017768
ATP6V1E1	-0.017758
ATP13A3	-0.017752
LAX1	0.017713
MOB4	-0.017697
PBXIP1	0.017693
LRRC16B	-0.017688
GPR137C	0.017681
PUS1	-0.017675
SOCS2	0.017665
CEBPE	-0.017631
HAS3	-0.017599
TRIM38	0.017594
VAC14-AS1	-0.017590
GPR144	-0.017588
MIR21	0.017575
BTBD3	-0.017570
TRANK1	0.017568
FLJ38379	0.017541
STK17B	0.017503
AEBP1	0.017496
TTC7B	0.017490
DGKH	0.017463
PLCH1	0.017451
NABP1	-0.017450
TMUB1	0.017446
KIR2DS5	0.017429
FBXO16	-0.017403
ABHD17C	0.017397
RASA1	0.017393
ABHD6	-0.017382
SLC16A7	-0.017366
SECISBP2L	0.017365
TNRC6B	0.017343
LOC643072	-0.017337
RNF26	0.017331
RPS6KA1	0.017318
GTF2H2	-0.017290
PRKCH	-0.017233
SRD5A1	0.017225
CELSR3	-0.017225
ARMC12	0.017223
BNIP1	-0.017220
FAM83F	0.017209
ZNF202	-0.017204
TOR1B	0.017189
GNE	-0.017187
TXNDC11	-0.017172
AAGAB	0.017151
ABHD14B	0.017139
SLC9A8	0.017138
APLN	-0.017138
HOMER1	-0.017129
ADORA2B	0.017123
C8orf37	-0.017118
ZFP82	-0.017106
COA4	-0.017096
CCR7	-0.017091
SH2D3C	0.017090
UTRN	0.017085
IFI35	-0.017077
DEPDC7	-0.017066
TADA2B	0.017059
SH2D2A	0.017039
LIMS2	0.017036
FAM110A	0.017016
FAM60A	-0.017014
BOD1L1	0.016997
ZBED8	-0.016990
FBXO46	0.016984
GOLGA6L10	-0.016972
ZNF513	0.016946
ACYP1	-0.016941
CCDC71L	0.016939
HOMER2	-0.016938
LINC00116	-0.016933
LRP12	-0.016929
PAQR8	0.016927
TRIM39	0.016913
