!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!organism	Homo sapiens
!cell	CEMC7H2
!perturbation	Dexamethasone
!disease	T-ALL
!end_metadata
TSHZ3	0.028023
PEX6	0.027980
SLC30A1	0.027969
KIAA0895L	0.027856
ANTXR2	0.027826
CIC	0.027694
NEURL4	0.027640
AIM1	0.027577
DDX11L2	0.027485
MIR210HG	-0.027482
ASXL2	0.027394
TBC1D10C	0.027381
POMZP3	0.027380
GBP3	0.027337
KLF13	0.027307
LRRN1	0.027250
GPRASP1	0.027020
IRF2	0.026821
ZBTB48	0.026724
USP35	0.026720
RHBDD3	0.026602
BBS5	0.026398
CCL17	-0.026323
SLC26A6	0.026269
LY6G5C	0.026255
RUNX2	0.026242
LOC100505650	0.026211
MT1G	0.026176
CKAP2L	-0.026034
SLC16A9	-0.025976
GPR18	0.025912
RAD9A	0.025908
MXI1	-0.025902
HS3ST4	0.025894
MT1HL1	0.025775
CABIN1	0.025705
UBXN11	0.025686
NFIL3	0.025684
MFSD5	0.025661
RLF	-0.025635
SLC7A11	0.025590
MT1H	0.025525
AEBP1	0.025522
STK11IP	0.025458
WDR24	0.025407
TP53	0.025399
LOC100506047	0.025359
ST6GALNAC1	0.025339
GRINA	0.025287
LOC729887	-0.025286
ATHL1	0.025262
EFNA3	-0.025134
HIST1H4C	-0.025081
PGBD1	0.025077
LOC729680	-0.025021
CHRM3-AS2	0.024940
TRIM68	0.024927
NCOA5	0.024869
SLC9A8	0.024776
BRAT1	0.024734
C7orf60	-0.024721
CTSD	0.024654
RNF125	0.024564
GRAP2	0.024559
LOC441124	0.024548
RPAP1	0.024545
CENPE	-0.024478
FAM134C	0.024445
HINT3	0.024424
TMA16	-0.024424
BBS12	0.024361
SPRY4-IT1	0.024328
SRGN	0.024255
ANKRD36C	0.024144
STARD3	0.024085
CCR4	0.024079
CDC42SE1	0.024073
ZNF738	0.024061
SUPT5H	0.024019
NFKBIA	0.024002
KIAA1804	-0.023966
RBM38	0.023961
CABLES1	-0.023912
EIF2B3	-0.023857
RAVER1	0.023816
RSAD2	0.023812
BTG2	0.023803
DMWD	0.023788
STYX	0.023737
FLRT3	0.023710
LDB1	0.023686
PSMD6-AS2	0.023658
LIMD2	0.023599
ID2	0.023508
TRIM39	0.023498
CCS	0.023434
GPR144	-0.023429
IPO13	0.023303
ZNF460	0.023279
TBC1D10B	0.023269
INCENP	0.023254
GADD45B	-0.023133
LOC374443	0.023120
PPP1R9B	0.023084
LOC729839	0.023064
GPAM	0.023042
CHRNA5	-0.023008
STIM1	0.023002
REEP3	0.022994
KCNIP2-AS1	-0.022884
PNPLA6	0.022858
KCNJ14	0.022846
WASH3P	0.022843
ANKRD37	-0.022824
USF2	0.022726
MED18	0.022606
METTL12	-0.022600
MT2A	0.022570
ADAMTS19	0.022553
C17orf58	-0.022552
PLA2G15	0.022471
PRR22	0.022451
ARHGAP4	0.022399
CD300A	-0.022368
LOC729088	0.022300
CD8A	0.022260
UVRAG	-0.022086
C1orf106	0.022061
CCDC186	0.022059
KDELC1	0.022043
RCSD1	0.021997
UBE2F	-0.021990
FBXL15	0.021983
PWAR5	0.021977
C9	0.021953
ACAP3	0.021921
RAB5B	0.021920
RGL2	0.021884
GATA3	0.021864
MAFB	-0.021859
CPT2	0.021834
PILRB	0.021831
KIR2DS5	0.021803
GALNT4	0.021777
CD55	0.021750
SWI5	0.021732
DHX37	0.021679
HNRNPH1	0.021661
DUSP10	0.021661
CAMSAP2	0.021656
WBP1L	0.021567
ZNF628	0.021544
GBP5	0.021536
DHRS3	-0.021507
SHISA7	0.021489
PLA2G6	0.021463
CA9	-0.021448
BMS1P5	0.021388
HAB1	-0.021381
FAM223B	-0.021301
UBE2M	0.021295
ERAL1	0.021267
ZSCAN26	0.021241
DDC	-0.021231
AK4	-0.021170
CHTF18	0.021159
KDM5B	-0.021153
KATNAL1	0.021140
SMG1P1	0.021121
ATP13A2	0.021115
ZFP82	-0.021090
ZBTB6	0.021074
THEMIS	-0.021049
DLX2	0.021028
RASAL3	0.021009
GSTA3	-0.020945
FAM65B	0.020941
SF3A2	0.020921
PTK2B	0.020913
HECTD3	0.020894
LOC284219	0.020887
CTNNB1	0.020831
OTUD6B-AS1	-0.020831
CCDC117	0.020806
HCFC1R1	0.020776
FAT1	0.020761
FAM214A	0.020716
ZNF641	0.020690
ULK1	0.020667
LOC400464	0.020665
CHP1	0.020627
RELB	0.020601
LOC100128288	0.020580
ACTBP9	0.020572
VPS37B	0.020558
STAT4	0.020556
HIST1H1D	0.020541
LOC652276	-0.020517
HNRNPUL2	0.020501
ARID5A	0.020490
CHRNA9	-0.020485
MCM3AP-AS1	-0.020408
ACRC	0.020402
GEMIN5	-0.020386
ZBED6	0.020382
SPAG1	0.020375
OSR2	0.020360
DNAJB2	0.020337
BIRC7	-0.020330
CLK3	-0.020297
NMT2	0.020285
RAB9B	-0.020257
MACROD2	0.020248
ARPC4	0.020140
GRAMD4	0.020089
LRRC45	0.020082
PPM1M	0.020076
TFPI	0.020064
SLFN12	0.020035
PSMA8	0.020018
SCG2	0.020010
ZNF395	-0.019959
TLR9	0.019953
LIX1L	0.019942
ENDOD1	-0.019920
ZNF654	-0.019912
CD226	0.019899
CASP2	0.019894
NCKAP1L	0.019886
NUDT11	-0.019876
VWCE	-0.019876
EFNB2	0.019873
CA11	-0.019861
TCF7	0.019844
ULK3	0.019838
HIST1H1C	0.019838
LOC155060	0.019837
LOC100190986	0.019827
CCRL2	-0.019824
HK2	-0.019797
B3GAT3	0.019793
FRMD6	0.019787
HIST1H1E	0.019784
CCDC92	0.019724
HGH1	0.019714
MOCS3	0.019705
TIGD3	0.019690
SGK223	0.019689
RBM42	0.019689
LOC153684	-0.019679
PCAT18	0.019584
ANAPC2	0.019577
SNRPB2	0.019564
RNF169	-0.019556
ABCC5	0.019543
CLK2	0.019499
KIF21B	0.019478
ZNF30	0.019459
VAC14-AS1	-0.019455
LOC100505812	0.019432
GMIP	0.019425
DTX1	0.019415
SNHG11	0.019410
ARGLU1	0.019408
DCAF17	0.019407
GPSM3	0.019395
ZNF100	0.019374
C12orf73	-0.019373
LOC254896	-0.019350
RYBP	-0.019337
HIST1H3I	0.019324
IER3	-0.019305
KIR3DL3	0.019266
TBC1D19	0.019245
TMEFF1	-0.019244
ZC3H11A	0.019211
KLHL24	0.019174
MGC12488	0.019174
AP5Z1	0.019172
AAAS	0.019136
VASP	0.019116
ATG16L2	0.019114
WDR13	0.019107
TYK2	0.019085
CEP72	-0.019076
HHLA3	0.019075
CASKIN2	0.019064
TRAM2	0.019054
TSPAN11	-0.019046
VEGFB	0.018992
SGMS1	-0.018986
SIDT1	0.018962
KRTAP4-8	-0.018959
EVPL	0.018957
MGC70870	0.018937
B3GNT9	-0.018935
MZT1	-0.018895
IFFO2	-0.018895
FZD6	0.018890
STARD8	-0.018884
SOCS1	0.018860
ANKRD20A11P	0.018851
DHRS11	0.018836
RAG2	-0.018722
ATP5D	0.018720
YTHDF3	0.018716
LOC100127972	0.018714
ENTPD4	0.018693
SLC2A1	-0.018650
RAP1GAP2	-0.018632
FAM222A	0.018618
ABHD15	0.018607
PRRC2A	0.018607
ZNF510	0.018571
LOC91450	-0.018561
ATF6B	0.018549
ARG2	-0.018545
DOCK7	-0.018543
FAM188A	-0.018508
SPRR4	0.018485
LOC389765	0.018475
PAM	-0.018470
LYL1	0.018465
SLC39A10	-0.018454
FBXO46	0.018438
SNPH	-0.018420
NUCB1	0.018419
NELFB	0.018412
VAPB	0.018407
C22orf31	-0.018405
NCEH1	0.018401
USP54	-0.018399
TRAF4	0.018361
CELF2	0.018342
ALDOC	-0.018342
NGFRAP1	-0.018319
TSC2	0.018308
MIEF2	0.018306
LRRC16B	-0.018304
APLN	-0.018304
POLG	-0.018303
NAGPA	0.018258
CORO7	0.018240
EXO5	0.018225
RHOU	0.018186
C16orf58	0.018184
SAC3D1	0.018172
CYP27B1	0.018155
TMEM154	0.018153
SPPL2B	0.018151
KIFC2	0.018141
PAX9	-0.018127
DMAP1	0.018043
FGD3	0.018033
TAPBP	0.018033
RNASEH1	-0.018030
ALDH4A1	0.017988
CKM	0.017987
RPA4	0.017977
KCTD6	0.017930
CLSPN	0.017887
FOXO4	-0.017874
PLD6	-0.017862
C12orf45	-0.017845
PARP12	0.017814
ETS1	0.017790
IGHV1-69	-0.017776
EGFL7	0.017768
KIF9-AS1	-0.017742
KDELR1	0.017740
KLHL6	0.017726
ABHD14B	0.017721
BIRC3	0.017714
TMEM200B	0.017697
COPG1	0.017695
MBD3	0.017647
PROSER2	-0.017617
KIF28P	0.017597
CDC23	-0.017587
MESDC1	0.017569
SMG1P5	0.017562
SLC39A6	-0.017547
TFDP2	-0.017529
LMF2	0.017528
ASF1B	0.017525
ARFIP2	0.017519
LINC00648	0.017518
MAP1S	0.017518
DDX55	-0.017514
LPAR4	-0.017504
NRN1	-0.017504
ZNF782	0.017496
LINC01405	-0.017491
ONECUT3	-0.017489
CDR2	-0.017468
RECQL4	0.017461
TOP3B	0.017459
SMURF2	0.017448
DBNL	0.017432
ARSA	0.017411
DENND1C	0.017404
FLYWCH2	0.017396
METTL21B	0.017388
CPXM1	0.017370
PLEKHG1	0.017368
BBS2	0.017356
LINC00339	0.017356
TPP1	0.017350
DOK2	0.017329
LINC00176	-0.017320
