!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Mus musculus
!cell	Whole cerebellum
!perturbation	Dexamethasone 
!disease	1ug/g
!end_metadata
MAPK4	-0.023074
NPL	-0.022937
C1orf54	-0.022928
PLIN2	-0.022899
IARS	0.022880
ZNF416	0.022869
HBP1	-0.022821
FOS	-0.022803
HEMK1	0.022801
INPP4B	0.022734
PDGFRA	-0.022720
MKI67	-0.022671
WIPF3	0.022670
CIR1	-0.022665
ZNF8	0.022654
MAG	0.022650
TAF5	0.022596
NLRX1	-0.022590
SWT1	0.022583
CCDC3	0.022572
ATOH7	-0.022558
PLXND1	-0.022523
PLP1	0.022517
LRRTM2	0.022465
RPH3A	0.022465
GPD1	0.022450
SLITRK4	0.022370
BHLHA9	0.022344
KCP	-0.022277
EXPH5	0.022248
PREX1	0.022201
MTF2	0.022193
EXOG	0.022172
CENPJ	0.022161
PDE1C	-0.022150
MANSC1	-0.022149
RADIL	0.022137
S100A6	-0.022074
BNIP1	0.022074
HMGB2	-0.022073
SLC47A1	0.021986
DHRS3	-0.021986
NIPAL2	0.021902
PKDCC	-0.021879
MDK	-0.021865
FBXO25	0.021858
IBSP	-0.021843
CIPC	0.021839
LOC100507656	-0.021827
FAM208A	0.021806
VIM	-0.021769
UACA	-0.021762
ELTD1	-0.021742
MYO7A	-0.021730
CAMP	-0.021728
BRIX1	0.021724
PLEKHH3	0.021715
CIAO1	0.021646
NOL8	0.021643
ZBTB11	0.021620
FSTL1	-0.021618
LENG1	0.021556
EEA1	0.021554
MAP3K5	0.021483
DLG3	0.021434
NUP35	0.021422
CEPT1	0.021413
TRIM39	0.021374
IFIH1	-0.021326
KCNK10	0.021304
KCTD8	0.021279
SNED1	-0.021275
KRT18	-0.021260
LRRC4	0.021254
HHEX	-0.021242
FAM19A2	-0.021240
TRAF3IP1	0.021235
ATP6V0A2	0.021232
ABCC9	-0.021229
TMEM129	0.021221
DUSP5	0.021212
GPR22	0.021185
N4BP1	0.021175
FYB	-0.021120
RNF111	0.021105
HTRA1	0.021102
CENPH	-0.021074
AMER2	0.021056
FAM198B	-0.021048
PIEZO1	-0.021031
MIS12	0.020968
CRTAM	0.020965
HPSE	-0.020964
INPP5B	0.020957
LRRC3B	0.020949
ZNF569	0.020948
ZMYND8	0.020945
MFNG	-0.020938
HIST1H1C	-0.020931
TRIP6	-0.020929
HIST1H2BJ	-0.020899
PPP1R14A	0.020896
CDC25B	-0.020868
GPR116	-0.020851
CBLN2	-0.020829
METTL3	0.020810
OPRL1	0.020808
UGT8	0.020768
COG6	0.020751
CMTM6	-0.020744
C17orf53	0.020741
PABPC4L	-0.020740
CBX6	0.020730
WDR63	0.020719
MKKS	0.020706
CDH20	-0.020700
C8orf46	-0.020672
TRMT1L	0.020654
ZMAT1	0.020652
CEBPG	0.020644
SERPINB6	-0.020633
LURAP1	0.020626
MPHOSPH8	0.020614
CAST	-0.020604
ZNF780A	0.020602
ERBB2IP	-0.020592
PNPLA3	0.020577
NOP2	0.020573
ABCC4	-0.020541
EPHA3	0.020508
CYP39A1	-0.020451
APLN	0.020399
SLC7A5	-0.020398
RBM12	-0.020396
RASIP1	-0.020389
SYT1	0.020388
CBR3	0.020387
RAB40B	0.020369
KCNK1	0.020362
C8orf4	-0.020354
ATP1B2	0.020317
ZNF146	0.020309
ANKRD26	0.020305
CPT1A	-0.020301
SHISA4	-0.020295
HEXB	-0.020250
CTH	0.020247
KIAA0586	0.020210
ZNF420	0.020200
LUM	-0.020192
POU3F4	0.020184
FOXC1	-0.020167
FUT10	-0.020156
MAPKAPK2	-0.020124
STARD4	0.020104
SLITRK2	0.020097
FAM105B	-0.020090
HAUS2	-0.020084
IL23A	0.020046
ATR	-0.020045
PHLDB2	-0.019995
UTP20	0.019989
KDM4C	0.019964
HIST1H3G	0.019939
SHANK3	0.019926
CCDC51	0.019924
PRDM4	0.019901
NUP43	0.019896
TMEM194A	0.019861
CRYM	-0.019843
NOC3L	0.019839
FKBP7	-0.019839
CNKSR3	0.019789
ITPRIPL2	-0.019771
PHYHIP	0.019742
HAUS4	-0.019710
CTDSP2	-0.019707
F13A1	0.019704
ENPEP	-0.019678
SLC12A5	0.019666
VTN	-0.019665
CHN2	0.019657
EGR1	-0.019591
KCNJ8	-0.019582
ZNF784	0.019565
DBP	0.019562
PPP1R17	0.019551
UTP14C	-0.019549
LMO2	-0.019547
ZBTB45	0.019530
PI4KB	0.019523
COL18A1	-0.019521
SEMA3G	0.019468
GJA4	-0.019451
CEBPA	-0.019451
ZNF467	0.019441
TMEM194B	-0.019431
INTS12	0.019425
WWTR1	-0.019393
TRIM11	0.019386
CCDC112	0.019383
SEPT4	0.019380
CYBA	-0.019376
TAB3	-0.019332
C12orf4	0.019322
IPO9	0.019319
AGPAT1	0.019278
IL2RG	-0.019245
CDK5RAP1	0.019239
ARHGDIB	-0.019231
RASL11B	-0.019226
MAK16	0.019205
TRAF6	-0.019192
EPHB4	-0.019186
PDGFRB	-0.019181
COL6A1	-0.019174
GLOD4	-0.019169
UBXN7	0.019127
PTH1R	-0.019098
CIRH1A	0.019058
BUB1	-0.019029
HAS3	0.019009
NUP153	0.019007
ELK3	-0.019001
LOXL1	-0.018999
CNEP1R1	0.018994
PCGF6	0.018989
LCP1	-0.018979
CA4	0.018978
OFD1	-0.018933
RABGEF1	0.018919
PLXNA2	0.018914
TFAP4	-0.018905
