!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	HEK293 cells
!perturbation	Dexamethasone
!disease	100nM - 6 hrs
!end_metadata
FOXF2	-0.015494
ZNF70	-0.015477
MLYCD	0.015473
RNASE13	-0.015471
BAMBI	-0.015467
MSRB1	0.015438
KRT17	-0.015436
NAMPT	-0.015435
AGPAT4-IT1	-0.015428
LOC729950	0.015428
TSPAN12	-0.015420
SDHAP2	0.015420
IER2	-0.015402
FIG4	0.015393
CASQ1	0.015376
PACSIN2	0.015370
WNT16	0.015369
MCMBP	0.015368
BCL6	0.015366
RNF138	-0.015339
SLC41A2	0.015315
NPHP4	0.015291
SMAD6	-0.015285
ZMIZ1	-0.015281
HAND1	-0.015277
NEXN	0.015274
PXN	0.015260
SMIM3	0.015258
