id,cas_num,ctrl_ids,dose,drug_name,drugbank_id,geo_id,organism,pert_ids,platform,smiles,timepoint,tissue,vehicle,version
drug:DM1898,120511-73-1,GSM1459346|GSM1459923|GSM1459947|GSM1460001|GSM1460040|GSM1460107|GSM1460116|GSM1460424|GSM1460493|GSM1460507|GSM1460568|GSM1460825|GSM1461250|GSM1461253|GSM1461254|GSM1461324|GSM1461362|GSM1461380|GSM1461390|GSM1461661|GSM1461684,400 mg/kg,Anastrozole,DB01217,GSE59927,rat,GSM1459915|GSM1459935|GSM1459950,GPL5425,CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N,1 d,Liver,CMC,1.2
drug:DM2374,101827-46-7,GSM1456921|GSM1457034|GSM1457105|GSM1457526|GSM1457592|GSM1457934|GSM1458083|GSM1458142|GSM1458887|GSM1459260|GSM1459261|GSM1459864|GSM1459865|GSM1459866|GSM1459954|GSM1459955|GSM1460249|GSM1460301|GSM1460394|GSM1460415|GSM1460573|GSM1460662|GSM1460792|GSM1460838|GSM1460860|GSM1460948|GSM1460960|GSM1461012|GSM1461024|GSM1461044|GSM1461054|GSM1461068|GSM1461400|GSM1461402|GSM1461422|GSM1461444|GSM1461675,150 mg/kg,Butenafine,DB01091,GSE59927,rat,GSM1459841|GSM1459842|GSM1460484,GPL5425,[H+].[Cl-].CN(Cc1ccc(cc1)C(C)(C)C)Cc2cccc3ccccc23,1 d,Liver,Corn Oil,1.2
drug:DM2193,37341-99-4,GSM1459417|GSM1459925|GSM1459949|GSM1459991|GSM1460109|GSM1460144|GSM1460411|GSM1460491|GSM1460514|GSM1460519|GSM1460603|GSM1460791|GSM1460795|GSM1460796|GSM1461082|GSM1461091|GSM1461102|GSM1461214|GSM1461244|GSM1461262|GSM1461275|GSM1461307|GSM1461391,0.25 mg/kg,Warfarin,DB00682,GSE59927,rat,GSM1460418|GSM1460427|GSM1460463,GPL5425,CC(=O)CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O.Nc4ccc(cc4)[S](=O)(=O)Nc5cnc6ccccc6n5,5 d,Liver,CMC,1.2
drug:DM2375,101827-46-7,GSM1456836|GSM1456888|GSM1457035|GSM1457133|GSM1457527|GSM1457593|GSM1457881|GSM1457941|GSM1457944|GSM1458727|GSM1458955|GSM1459878|GSM1459879|GSM1459880|GSM1459956|GSM1459957|GSM1459958|GSM1460302|GSM1460303|GSM1460337|GSM1460416|GSM1460536|GSM1460794|GSM1460839|GSM1460871|GSM1460957|GSM1460961|GSM1460985|GSM1460987|GSM1461045|GSM1461069|GSM1461074|GSM1461083|GSM1461094|GSM1461103|GSM1461113|GSM1461114|GSM1461403|GSM1461423|GSM1461445|GSM1461474|GSM1461476|GSM1461676,150 mg/kg,Butenafine,DB01091,GSE59927,rat,GSM1459843|GSM1459844|GSM1459845,GPL5425,[H+].[Cl-].CN(Cc1ccc(cc1)C(C)(C)C)Cc2cccc3ccccc23,3 d,Liver,Corn Oil,1.2
drug:DM2191,37341-99-4,GSM1459346|GSM1459923|GSM1459947|GSM1460001|GSM1460040|GSM1460107|GSM1460116|GSM1460424|GSM1460493|GSM1460507|GSM1460568|GSM1460825|GSM1461250|GSM1461253|GSM1461254|GSM1461324|GSM1461362|GSM1461380|GSM1461390|GSM1461661|GSM1461684,0.25 mg/kg,Warfarin,DB00682,GSE59927,rat,GSM1460412|GSM1460461,GPL5425,CC(=O)CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O.Nc4ccc(cc4)[S](=O)(=O)Nc5cnc6ccccc6n5,1 d,Liver,CMC,1.2
drug:DM599,59865-13-3,GSM1450564|GSM1450658|GSM1451013|GSM1451038|GSM1451583|GSM1451642|GSM1451670|GSM1451804|GSM1451978|GSM1452012|GSM1452133|GSM1452214,350 mg/kg,Cyclosporin A,,GSE59927,rat,GSM1451677|GSM1451706|GSM1451748,GPL5425,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,1 d,Heart,Corn Oil,1.2
drug:DM598,59865-13-3,GSM1450979|GSM1451001|GSM1451040|GSM1451079|GSM1451132|GSM1451585|GSM1451630|GSM1451645|GSM1451699|GSM1451805|GSM1451925|GSM1451929|GSM1452135|GSM1452195,350 mg/kg,Cyclosporin A,,GSE59927,rat,GSM1451676|GSM1451705|GSM1451747,GPL5426,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,5 d,Heart,Corn Oil,1.2
drug:DM597,59865-13-3,GSM1450563|GSM1450565|GSM1450659|GSM1451000|GSM1451014|GSM1451039|GSM1451584|GSM1451643|GSM1451671|GSM1451774|GSM1451979|GSM1452013|GSM1452134|GSM1452215|GSM1452237,350 mg/kg,Cyclosporin A,,GSE59927,rat,GSM1451675|GSM1451704|GSM1451746,GPL5425,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,3 d,Heart,Corn Oil,1.2
drug:DM596,,GSM1450979|GSM1451001|GSM1451040|GSM1451079|GSM1451132|GSM1451585|GSM1451630|GSM1451645|GSM1451699|GSM1451805|GSM1451925|GSM1451929|GSM1452135|GSM1452195,100 mg/kg,Cobalt(II) Acetylacetonate,,GSE59927,rat,GSM1452162|GSM1452178|GSM1452246,GPL5426,,5 d,Heart,Corn Oil,1.2
drug:DM595,,GSM1450563|GSM1450565|GSM1450659|GSM1451000|GSM1451014|GSM1451039|GSM1451584|GSM1451643|GSM1451671|GSM1451774|GSM1451979|GSM1452013|GSM1452134|GSM1452215|GSM1452237,100 mg/kg,Cobalt(II) Acetylacetonate,,GSE59927,rat,GSM1452161|GSM1452177|GSM1452245,GPL5425,,3 d,Heart,Corn Oil,1.2
drug:DM594,,GSM1450564|GSM1450658|GSM1451013|GSM1451038|GSM1451583|GSM1451642|GSM1451670|GSM1451804|GSM1451978|GSM1452012|GSM1452133|GSM1452214,100 mg/kg,Cobalt(II) Acetylacetonate,,GSE59927,rat,GSM1452160|GSM1452176|GSM1452244,GPL5425,,1 d,Heart,Corn Oil,1.2
drug:DM593,882-09-7,GSM1450979|GSM1451001|GSM1451040|GSM1451079|GSM1451132|GSM1451585|GSM1451630|GSM1451645|GSM1451699|GSM1451805|GSM1451925|GSM1451929|GSM1452135|GSM1452195,448 mg/kg,Clofibric Acid,,GSE59927,rat,GSM1451996|GSM1452056|GSM1452253,GPL5426,CC(C)(Oc1ccc(Cl)cc1)C(O)=O,5 d,Heart,Corn Oil,1.2
drug:DM592,882-09-7,GSM1450563|GSM1450565|GSM1450659|GSM1451000|GSM1451014|GSM1451039|GSM1451584|GSM1451643|GSM1451671|GSM1451774|GSM1451979|GSM1452013|GSM1452134|GSM1452215|GSM1452237,448 mg/kg,Clofibric Acid,,GSE59927,rat,GSM1451983|GSM1451995|GSM1452055,GPL5425,CC(C)(Oc1ccc(Cl)cc1)C(O)=O,3 d,Heart,Corn Oil,1.2
drug:DM591,882-09-7,GSM1450564|GSM1450658|GSM1451013|GSM1451038|GSM1451583|GSM1451642|GSM1451670|GSM1451804|GSM1451978|GSM1452012|GSM1452133|GSM1452214,448 mg/kg,Clofibric Acid,,GSE59927,rat,GSM1451982|GSM1451994|GSM1452054,GPL5425,CC(C)(Oc1ccc(Cl)cc1)C(O)=O,1 d,Heart,Corn Oil,1.2
drug:DM590,59729-32-7,GSM1450563|GSM1450565|GSM1450659|GSM1451000|GSM1451014|GSM1451039|GSM1451584|GSM1451643|GSM1451671|GSM1451774|GSM1451979|GSM1452013|GSM1452134|GSM1452215|GSM1452237,90 mg/kg,Citalopram,DB00215,GSE59927,rat,GSM1451738|GSM1451772|GSM1451814,GPL5425,[H+].[Br-].CN(C)CCCC1(OCc2cc(ccc12)C#N)c3ccc(F)cc3,3 d,Heart,Corn Oil,1.2
drug:DM3634,29701-07-3,GSM1452555|GSM1452566|GSM1452610|GSM1452643|GSM1452663|GSM1452678|GSM1452726|GSM1452749|GSM1452776|GSM1452808|GSM1452820|GSM1452856|GSM1452865|GSM1452888|GSM1452916|GSM1452920|GSM1452940|GSM1452954|GSM1452972|GSM1452987|GSM1452999|GSM1453011|GSM1453033|GSM1453044|GSM1453059|GSM1453084|GSM1453088|GSM1453115|GSM1453150|GSM1453181|GSM1453186|GSM1453195|GSM1453238|GSM1453258|GSM1453279|GSM1453288|GSM1453293|GSM1453313|GSM1453318|GSM1453322,6584 uM,Kanamycin,DB01172,GSE59927,rat,GSM1453018|GSM1453035|GSM1453051,GPL5426,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O.[O-][S]([O-])(=O)=O,0.67 d,Primary rat hepatocytes,DMSO,1.2
drug:DM3447,76-73-3,GSM1457247|GSM1457567|GSM1457767|GSM1458130|GSM1458884|GSM1458999|GSM1460128|GSM1460148|GSM1460184|GSM1460621|GSM1460703|GSM1460799|GSM1460893|GSM1461528|GSM1461540,20 mg/kg,Secobarbital,DB00418,GSE59927,rat,GSM1459013|GSM1459014|GSM1459026,GPL5425,CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,1 d,Liver,Water,1.2
drug:DM2195,551-06-4,GSM1456889|GSM1456922|GSM1457134|GSM1457518|GSM1457554|GSM1457594|GSM1457882|GSM1458040|GSM1458084|GSM1459881|GSM1459882|GSM1459883|GSM1460267|GSM1460277|GSM1460280|GSM1460282|GSM1460338|GSM1460417|GSM1460537|GSM1460554|GSM1460826|GSM1460840|GSM1460887|GSM1460949|GSM1460958|GSM1460986|GSM1460988|GSM1461046|GSM1461055|GSM1461070|GSM1461475|GSM1461686,15 mg/kg,1-Naphthyl Isothiocyanate,,GSE59927,rat,GSM1461490|GSM1461508|GSM1461579,GPL5425,S=C=Nc1cccc2ccccc12,5 d,Liver,Corn Oil,1.2
drug:DM2167,40180-04-9,GSM1459417|GSM1459925|GSM1459949|GSM1459991|GSM1460109|GSM1460144|GSM1460411|GSM1460491|GSM1460514|GSM1460519|GSM1460603|GSM1460791|GSM1460795|GSM1460796|GSM1461082|GSM1461091|GSM1461102|GSM1461214|GSM1461244|GSM1461262|GSM1461275|GSM1461307|GSM1461391,570 mg/kg,Ticrynafen,DB04831,GSE59927,rat,GSM1460837|GSM1460870|GSM1460878,GPL5425,OC(=O)COc1ccc(c(Cl)c1Cl)C(=O)c2sccc2,5 d,Liver,CMC,1.2
drug:DM2166,40180-04-9,GSM1459416|GSM1459924|GSM1459948|GSM1459990|GSM1460108|GSM1460143|GSM1460207|GSM1460410|GSM1460455|GSM1460569|GSM1460767|GSM1460781|GSM1460788|GSM1461081|GSM1461090|GSM1461101|GSM1461255|GSM1461274|GSM1461295|GSM1461306|GSM1461385,570 mg/kg,Ticrynafen,DB04831,GSE59927,rat,GSM1460836|GSM1460869|GSM1460877,GPL5425,OC(=O)COc1ccc(c(Cl)c1Cl)C(=O)c2sccc2,3 d,Liver,CMC,1.2
drug:DM119,97845-62-0,GSM1449514|GSM1450048|GSM1450066|GSM1450070,1200 mg/kg,Penciclovir,DB00299,GSE59927,rat,GSM1450123|GSM1450131,GPL5425,[Na+].NC1=NC(=O)c2ncn(CCC(CO)C[O-])c2N1,3 d,Bone marrow,Corn Oil,1.2
drug:DM118,97845-62-0,GSM1449630|GSM1450047|GSM1450065|GSM1450069,1200 mg/kg,Penciclovir,DB00299,GSE59927,rat,GSM1450122|GSM1450130|GSM1450147,GPL5425,[Na+].NC1=NC(=O)c2ncn(CCC(CO)C[O-])c2N1,1 d,Bone marrow,Corn Oil,1.2
drug:DM2163,55142-85-3,GSM1459416|GSM1459924|GSM1459948|GSM1459990|GSM1460108|GSM1460143|GSM1460207|GSM1460410|GSM1460455|GSM1460569|GSM1460767|GSM1460781|GSM1460788|GSM1461081|GSM1461090|GSM1461101|GSM1461255|GSM1461274|GSM1461295|GSM1461306|GSM1461385,223 mg/kg,Ticlopidine,DB00208,GSE59927,rat,GSM1460366|GSM1460515|GSM1460559,GPL5425,Clc1ccccc1CN2CCc3sccc3C2,3 d,Liver,CMC,1.2
drug:DM2162,55142-85-3,GSM1459346|GSM1459923|GSM1459947|GSM1460001|GSM1460040|GSM1460107|GSM1460116|GSM1460424|GSM1460493|GSM1460507|GSM1460568|GSM1460825|GSM1461250|GSM1461253|GSM1461254|GSM1461324|GSM1461362|GSM1461380|GSM1461390|GSM1461661|GSM1461684,223 mg/kg,Ticlopidine,DB00208,GSE59927,rat,GSM1460348|GSM1460363|GSM1460558,GPL5425,Clc1ccccc1CN2CCc3sccc3C2,1 d,Liver,CMC,1.2
drug:DM2161,50-35-1,GSM1459417|GSM1459925|GSM1459949|GSM1459991|GSM1460109|GSM1460144|GSM1460411|GSM1460491|GSM1460514|GSM1460519|GSM1460603|GSM1460791|GSM1460795|GSM1460796|GSM1461082|GSM1461091|GSM1461102|GSM1461214|GSM1461244|GSM1461262|GSM1461275|GSM1461307|GSM1461391,113 mg/kg,Thalidomide,DB01041,GSE59927,rat,GSM1460435|GSM1460452|GSM1460644,GPL5425,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,5 d,Liver,CMC,1.2
drug:DM2160,50-35-1,GSM1459416|GSM1459924|GSM1459948|GSM1459990|GSM1460108|GSM1460143|GSM1460207|GSM1460410|GSM1460455|GSM1460569|GSM1460767|GSM1460781|GSM1460788|GSM1461081|GSM1461090|GSM1461101|GSM1461255|GSM1461274|GSM1461295|GSM1461306|GSM1461385,113 mg/kg,Thalidomide,DB01041,GSE59927,rat,GSM1460434|GSM1460643|GSM1460705,GPL5425,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,3 d,Liver,CMC,1.2
drug:DM113,13010-47-4,GSM1449750|GSM1450049|GSM1450067|GSM1450071,8.75 mg/kg,Lomustine,DB01206,GSE59927,rat,GSM1449648|GSM1449649|GSM1449792,GPL5425,ClCCN(N=O)C(=O)NC1CCCCC1,5 d,Bone marrow,Corn Oil,1.2
drug:DM112,13010-47-4,GSM1449630|GSM1450047|GSM1450065|GSM1450069,8.75 mg/kg,Lomustine,DB01206,GSE59927,rat,GSM1449644|GSM1449645|GSM1449791,GPL5425,ClCCN(N=O)C(=O)NC1CCCCC1,1 d,Bone marrow,Corn Oil,1.2
drug:DM111,13010-47-4,GSM1449514|GSM1450048|GSM1450066|GSM1450070,8.75 mg/kg,Lomustine,DB01206,GSE59927,rat,GSM1449568|GSM1449646|GSM1449647,GPL5425,ClCCN(N=O)C(=O)NC1CCCCC1,3 d,Bone marrow,Corn Oil,1.2
drug:DM110,13010-47-4,GSM1449514|GSM1450048|GSM1450066|GSM1450070,4.2 mg/kg,Lomustine,DB01206,GSE59927,rat,GSM1449641|GSM1449642|GSM1449643,GPL5425,ClCCN(N=O)C(=O)NC1CCCCC1,3 d,Bone marrow,Corn Oil,1.2
drug:DM117,59-05-2,GSM1449630|GSM1450047|GSM1450065|GSM1450069,27 mg/kg,Methotrexate,DB00563,GSE59927,rat,GSM1449808|GSM1449809|GSM1449810,GPL5425,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O,1 d,Bone marrow,Corn Oil,1.2
drug:DM116,59-05-2,GSM1449218|GSM1449629|GSM1450046|GSM1450064|GSM1450068,0.3 mg/kg,Methotrexate,DB00563,GSE59927,rat,GSM1449724|GSM1449725|GSM1449726,GPL5425,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O,0.25 d,Bone marrow,Corn Oil,1.2
drug:DM115,59-05-2,GSM1449514|GSM1450048|GSM1450066|GSM1450070,0.3 mg/kg,Methotrexate,DB00563,GSE59927,rat,GSM1449702|GSM1449703|GSM1449704,GPL5425,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O,3 d,Bone marrow,Corn Oil,1.2
drug:DM114,59-05-2,GSM1449630|GSM1450047|GSM1450065|GSM1450069,0.3 mg/kg,Methotrexate,DB00563,GSE59927,rat,GSM1449575|GSM1449727|GSM1449728,GPL5425,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O,1 d,Bone marrow,Corn Oil,1.2
drug:DM3635,29701-07-3,GSM1452556|GSM1452567|GSM1452611|GSM1452644|GSM1452724|GSM1452727|GSM1452729|GSM1452750|GSM1452777|GSM1452809|GSM1452821|GSM1452857|GSM1452866|GSM1452889|GSM1452917|GSM1452921|GSM1452941|GSM1452955|GSM1452988|GSM1453000|GSM1453031|GSM1453040|GSM1453069|GSM1453081|GSM1453085|GSM1453086|GSM1453089|GSM1453106|GSM1453182|GSM1453187|GSM1453196|GSM1453212|GSM1453217|GSM1453235|GSM1453259|GSM1453280|GSM1453289|GSM1453294|GSM1453314|GSM1453319|GSM1453323,6584 uM,Kanamycin,DB01172,GSE59927,rat,GSM1453019|GSM1453036|GSM1453052,GPL5426,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O.[O-][S]([O-])(=O)=O,1 d,Primary rat hepatocytes,DMSO,1.2
drug:DM3564,15663-27-1,GSM1452556|GSM1452567|GSM1452611|GSM1452644|GSM1452724|GSM1452727|GSM1452729|GSM1452750|GSM1452777|GSM1452809|GSM1452821|GSM1452857|GSM1452866|GSM1452889|GSM1452917|GSM1452921|GSM1452941|GSM1452955|GSM1452988|GSM1453000|GSM1453031|GSM1453040|GSM1453069|GSM1453081|GSM1453085|GSM1453086|GSM1453089|GSM1453106|GSM1453182|GSM1453187|GSM1453196|GSM1453212|GSM1453217|GSM1453235|GSM1453259|GSM1453280|GSM1453289|GSM1453294|GSM1453314|GSM1453319|GSM1453323,63 uM,Cisplatin,DB00515,GSE59927,rat,GSM1452775|GSM1452805|GSM1452818,GPL5426,N|[Pt](|N)(|[Cl])|[Cl],1 d,Primary rat hepatocytes,DMSO,1.2
drug:DM373,14028-44-5,GSM1450734|GSM1450953|GSM1450954|GSM1451116|GSM1451151|GSM1451174|GSM1451376|GSM1451424|GSM1451594|GSM1451649|GSM1451650|GSM1451651|GSM1451765|GSM1452339|GSM1452341|GSM1452354,313 mg/kg,Amoxapine,DB00543,GSE59927,rat,GSM1451728|GSM1451762|GSM1451803,GPL5425,Clc1ccc2Oc3ccccc3N=C(N4CCNCC4)c2c1,5 d,Heart,CMC,1.2
drug:DM372,14028-44-5,GSM1450681|GSM1450950|GSM1451115|GSM1451149|GSM1451379|GSM1451508|GSM1451593|GSM1451700|GSM1451806|GSM1452337|GSM1452340|GSM1452352,313 mg/kg,Amoxapine,DB00543,GSE59927,rat,GSM1451727|GSM1451761|GSM1451802,GPL5425,Clc1ccc2Oc3ccccc3N=C(N4CCNCC4)c2c1,1 d,Heart,CMC,1.2
drug:DM371,33089-61-1,GSM1450734|GSM1450953|GSM1450954|GSM1451116|GSM1451151|GSM1451174|GSM1451376|GSM1451424|GSM1451594|GSM1451649|GSM1451650|GSM1451651|GSM1451765|GSM1452339|GSM1452341|GSM1452354,75 mg/kg,Amitraz,,GSE59927,rat,GSM1450930|GSM1450963|GSM1450985,GPL5425,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,5 d,Heart,CMC,1.2
drug:DM370,33089-61-1,GSM1450722|GSM1450951|GSM1450952|GSM1451150|GSM1451169|GSM1451173|GSM1451375|GSM1451423|GSM1451740|GSM1451811|GSM1452338|GSM1452353,75 mg/kg,Amitraz,,GSE59927,rat,GSM1450929|GSM1450962|GSM1450984,GPL5425,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,3 d,Heart,CMC,1.2
