id,cell_type,ctrl_ids,drug_name,geo_id,organism,pert_ids,platform,version
drug:P352,Cells [Chemical/Ingredient]|Entire breast,GSM109204|GSM109220,ethanol|dexamethasone,GSE4917,human,GSM109211|GSM109219|GSM109227,GPL96,2.0
drug:P5562,Cells|Embryonic Stem Cells,GSM889496|GSM889498,,GSE36355,human,GSM889497|GSM889499,GPL6883,2.0
drug:P5560,Cells|Embryonic Stem Cells,GSM889492|GSM889494,,GSE36355,human,GSM889505|GSM889507,GPL6883,2.0
drug:P5568,Cells|Embryonic Stem Cells,GSM889500|GSM889502,,GSE36355,human,GSM889505|GSM889507,GPL6883,2.0
drug:P5569,Cells|Embryonic Stem Cells,GSM889504|GSM889506,,GSE36355,human,GSM889493|GSM889495,GPL6883,2.0
drug:P5172,Cultured Cell Line|Colon structure (body structure)|Epithelial Cells,GSM718715|GSM718716|GSM718721|GSM718722,toxin,GSE29008,human,GSM718717|GSM718718,GPL570,2.0
drug:P1539,"Cultured Cell Line|Cells|Ovarian|Tumor cells, malignant",GSM1230854|GSM1230855|GSM1230856,paclitaxel|eribulin,GSE50831,human,GSM1230752|GSM1230753|GSM1230754,GPL570,2.0
drug:P1535,"Cultured Cell Line|Cells|Ovarian|Tumor cells, malignant",GSM1230854|GSM1230855|GSM1230856,paclitaxel|eribulin,GSE50831,human,GSM1230734|GSM1230735|GSM1230736,GPL570,2.0
drug:P1534,"Cultured Cell Line|Cells|Ovarian|Tumor cells, malignant",GSM1230854|GSM1230855|GSM1230856,eribulin|paclitaxel,GSE50831,human,GSM1230731|GSM1230732|GSM1230733,GPL570,2.0
drug:P1537,"Cultured Cell Line|Cells|Ovarian|Tumor cells, malignant",GSM1230854|GSM1230855|GSM1230856,paclitaxel|eribulin,GSE50831,human,GSM1230743|GSM1230744|GSM1230745,GPL570,2.0
drug:P1531,"Cultured Cell Line|Cells|Ovarian|Tumor cells, malignant",GSM1230854|GSM1230855|GSM1230856,paclitaxel|eribulin,GSE50831,human,GSM1230716|GSM1230717|GSM1230718,GPL570,2.0
drug:P1530,"Cultured Cell Line|Cells|Ovarian|Tumor cells, malignant",GSM1230854|GSM1230855|GSM1230856,eribulin|paclitaxel,GSE50831,human,GSM1230713|GSM1230714|GSM1230715,GPL570,2.0
drug:P1532,"Cultured Cell Line|Cells|Ovarian|Tumor cells, malignant",GSM1230854|GSM1230855|GSM1230856,eribulin|paclitaxel,GSE50831,human,GSM1230722|GSM1230723|GSM1230724,GPL570,2.0
drug:P5629,Body tissue|Oral cavity|Entire small intestine|Entire gastrointestinal tract,GSM926508|GSM926509,water,GSE37732,rat,GSM926510|GSM926511,GPL4135,2.0
drug:P5628,Blood|Liver|Body tissue|Hepatic|Entire small intestine|Entire liver,GSM918171|GSM918172|GSM918173|GSM918174|GSM918175|GSM918176,phlorizin|D-glucopyranose|streptozocin,GSE37415,mouse,GSM918177|GSM918178|GSM918179|GSM918180|GSM918181|GSM918182|GSM918183|GSM918184|GSM918185|GSM918186|GSM918187|GSM918188|GSM918189|GSM918190|GSM918191|GSM918192|GSM918193|GSM918194,GPL1261,2.0
drug:P5627,Cultured Cell Line,GSM912757|GSM912759,,GSE37170,human,GSM912758|GSM912760,GPL4133,2.0
drug:P1833,Cultured Cell Line|Endoplasmic Reticulum|Hepatocyte|Entire cell|Entire liver|Malignant Epithelial Cell|Hep G2 Cells,GSM1311091|GSM1311117|GSM1311143|GSM1311169,protein polypeptide chain|antioxidant|dimethyl sulfoxide|carbamazepine|diclofenac|L-proline residue|DNA damage-inducible transcript 3 protein,GSE54254,human,GSM1311103|GSM1311129|GSM1311155|GSM1311181,GPL13158,2.0
drug:P906,"Cultured Cell Line|Cells|Tumor cells, malignant",GSM1230586|GSM1230587|GSM1230588,eribulin|paclitaxel,GSE50830,human,GSM1230580|GSM1230581|GSM1230582,GPL570,2.0
drug:P1834,Cultured Cell Line|Endoplasmic Reticulum|Hepatocyte|Entire cell|Entire liver|Malignant Epithelial Cell|Hep G2 Cells,GSM1311091|GSM1311117|GSM1311143|GSM1311169,protein polypeptide chain|antioxidant|dimethyl sulfoxide|carbamazepine|diclofenac|cis-ketoconazole|L-proline residue|DNA damage-inducible transcript 3 protein,GSE54254,human,GSM1311104|GSM1311130|GSM1311156|GSM1311182,GPL13158,2.0
drug:P5079,Epithelial Cells|Kidney|Cultured Cell Line|Cells|Cells [Chemical/Ingredient],GSM672304|GSM672305|GSM672306,biomarker,GSE27210,human,GSM672266|GSM672282|GSM672298,GPL570,2.0
drug:P5197,Ovary|Ovary|Body tissue|Ovarian,GSM723302|GSM723303|GSM723304,"acetone|7,12-dimethyltetraphene|N-benzyladenine|benzo[a]pyrene",GSE29263,mouse,GSM723308|GSM723309|GSM723310,GPL6885,2.0
drug:P1835,Cultured Cell Line|Endoplasmic Reticulum|Hepatocyte|Entire cell|Entire liver|Malignant Epithelial Cell|Hep G2 Cells,GSM1311091|GSM1311117|GSM1311143|GSM1311169,protein polypeptide chain|antioxidant|dimethyl sulfoxide|carbamazepine|diclofenac|cis-ketoconazole|L-proline residue|DNA damage-inducible transcript 3 protein,GSE54254,human,GSM1311105|GSM1311131|GSM1311157|GSM1311183,GPL13158,2.0
drug:P5199,Entire skin|Cells|Fibroblasts|keratinocyte|Skin tissue|Cells [Chemical/Ingredient],GSM725372|GSM725373|GSM725374|GSM725375|GSM725376|GSM725377,,GSE29344,human,GSM725386|GSM725387,GPL6883,2.0
drug:P5198,Entire skin|Cells|Fibroblasts|keratinocyte|Skin tissue|Cells [Chemical/Ingredient],GSM725372|GSM725373|GSM725374|GSM725375|GSM725376|GSM725377,,GSE29344,human,GSM725382|GSM725383|GSM725384|GSM725385,GPL6883,2.0
drug:P5327,Cultured Cell Line|Cells [Chemical/Ingredient],GSM823044|GSM823045|GSM823046,,GSE33264,human,GSM823035|GSM823036|GSM823037,GPL4133,2.0
drug:P821,Body tissue|Entire liver|Mouse Liver,GSM1229245|GSM1229246|GSM1229247|GSM1229248|GSM1229249|GSM1229250|GSM1229251|GSM1229252,,GSE50789,mouse,GSM1229333|GSM1229334|GSM1229335|GSM1229336|GSM1229337|GSM1229338|GSM1229339|GSM1229340,GPL1261,2.0
drug:P1837,Cultured Cell Line|Endoplasmic Reticulum|Hepatocyte|Entire cell|Entire liver|Malignant Epithelial Cell|Hep G2 Cells,GSM1311091|GSM1311117|GSM1311143|GSM1311169,protein polypeptide chain|antioxidant|dimethyl sulfoxide|carbamazepine|diclofenac|cis-ketoconazole|L-proline residue|DNA damage-inducible transcript 3 protein,GSE54254,human,GSM1311107|GSM1311133|GSM1311159|GSM1311185,GPL13158,2.0
drug:P4572,Epithelial Cells|Nose|Cells,GSM536417|GSM536423|GSM536429,formaldehyde,GSE21477,human,GSM536432|GSM536435|GSM536438,GPL570,2.0
drug:P4570,Epithelial Cells|Nose|Cells,GSM536417|GSM536423|GSM536429,formaldehyde,GSE21477,human,GSM536416|GSM536422|GSM536428,GPL570,2.0
drug:P4571,Epithelial Cells|Nose|Cells,GSM536417|GSM536423|GSM536429,formaldehyde,GSE21477,human,GSM536431|GSM536434|GSM536437,GPL570,2.0
drug:P4576,Epithelial Cells|Nose|Cells,GSM536418|GSM536424|GSM536430,formaldehyde,GSE21477,human,GSM536416|GSM536422|GSM536428,GPL570,2.0
drug:P4577,Epithelial Cells|Nose|Cells,GSM536418|GSM536424|GSM536430,formaldehyde,GSE21477,human,GSM536431|GSM536434|GSM536437,GPL570,2.0
drug:P4574,Epithelial Cells|Nose|Cells,GSM536418|GSM536424|GSM536430,formaldehyde,GSE21477,human,GSM536413|GSM536419|GSM536425,GPL570,2.0
drug:P827,Body tissue|Entire liver|Mouse Liver,GSM1229261|GSM1229262|GSM1229263|GSM1229264|GSM1229265|GSM1229266|GSM1229267|GSM1229268,,GSE50789,mouse,GSM1229333|GSM1229334|GSM1229335|GSM1229336|GSM1229337|GSM1229338|GSM1229339|GSM1229340,GPL1261,2.0
drug:P2546,Cultured Cell Line|Cells|Entire breast|Cells [Chemical/Ingredient],GSM1503030|GSM1503062,"4,4'-diaminodiphenylmethane|dimethyl sulfoxide|inhibitor|(2Z,3Z)-bis\{amino[(2-aminophenyl)sulfanyl]methylidene\}butanedinitrile",GSE61364,human,GSM1503017|GSM1503049,GPL4685,2.0
drug:P826,Body tissue|Entire liver|Mouse Liver,GSM1229261|GSM1229262|GSM1229263|GSM1229264|GSM1229265|GSM1229266|GSM1229267|GSM1229268,Congenital pure red cell aplasia,GSE50789,mouse,GSM1229317|GSM1229318|GSM1229319|GSM1229320|GSM1229321|GSM1229322|GSM1229323|GSM1229324,GPL1261,2.0
drug:P825,Body tissue|Entire liver|Mouse Liver,GSM1229261|GSM1229262|GSM1229263|GSM1229264|GSM1229265|GSM1229266|GSM1229267|GSM1229268,cobamide,GSE50789,mouse,GSM1229301|GSM1229302|GSM1229303|GSM1229304|GSM1229305|GSM1229306|GSM1229307|GSM1229308,GPL1261,2.0
drug:P348,Cultured Cell Line|Cells|Epithelial Cells|Lung,GSM1087690|GSM1087702|GSM1087707|GSM1087714,,GSE44603,mouse,GSM1087688|GSM1087692|GSM1087708|GSM1087713,GPL7202,2.0
drug:P349,Cultured Cell Line|Cells|Epithelial Cells|Lung,GSM1087690|GSM1087702|GSM1087707|GSM1087714,,GSE44603,mouse,GSM1087689|GSM1087693|GSM1087701|GSM1087712,GPL7202,2.0
drug:P1597,"Cultured Cell Line|Cells|Ovarian|Tumor cells, malignant",GSM1230863|GSM1230864|GSM1230865,paclitaxel|eribulin,GSE50831,human,GSM1230860|GSM1230861|GSM1230862,GPL570,2.0
drug:P342,Cultured Cell Line|Cells|Epithelial Cells|Lung,GSM1087690|GSM1087702|GSM1087707|GSM1087714,,GSE44603,mouse,GSM1087651|GSM1087662|GSM1087667|GSM1087673,GPL7202,2.0
drug:P343,Cultured Cell Line|Cells|Epithelial Cells|Lung,GSM1087690|GSM1087702|GSM1087707|GSM1087714,,GSE44603,mouse,GSM1087652|GSM1087663|GSM1087672|GSM1087675,GPL7202,2.0
drug:P340,Cultured Cell Line|Cells|Epithelial Cells|Lung,GSM1087684|GSM1087687|GSM1087696|GSM1087706,,GSE44603,mouse,GSM1087689|GSM1087693|GSM1087701|GSM1087712,GPL7202,2.0
drug:P341,Cultured Cell Line|Cells|Epithelial Cells|Lung,GSM1087690|GSM1087702|GSM1087707|GSM1087714,,GSE44603,mouse,GSM1087648|GSM1087654|GSM1087657|GSM1087680,GPL7202,2.0
drug:P346,Cultured Cell Line|Cells|Epithelial Cells|Lung,GSM1087690|GSM1087702|GSM1087707|GSM1087714,,GSE44603,mouse,GSM1087685|GSM1087694|GSM1087699|GSM1087703,GPL7202,2.0
drug:P347,Cultured Cell Line|Cells|Epithelial Cells|Lung,GSM1087690|GSM1087702|GSM1087707|GSM1087714,,GSE44603,mouse,GSM1087686|GSM1087691|GSM1087709|GSM1087711,GPL7202,2.0
drug:P344,Cultured Cell Line|Cells|Epithelial Cells|Lung,GSM1087690|GSM1087702|GSM1087707|GSM1087714,,GSE44603,mouse,GSM1087661|GSM1087668|GSM1087669|GSM1087671|GSM1087674,GPL7202,2.0
drug:P345,Cultured Cell Line|Cells|Epithelial Cells|Lung,GSM1087690|GSM1087702|GSM1087707|GSM1087714,,GSE44603,mouse,GSM1087683|GSM1087697|GSM1087698|GSM1087705,GPL7202,2.0
drug:P824,Body tissue|Entire liver|Mouse Liver,GSM1229261|GSM1229262|GSM1229263|GSM1229264|GSM1229265|GSM1229266|GSM1229267|GSM1229268,,GSE50789,mouse,GSM1229285|GSM1229286|GSM1229287|GSM1229288|GSM1229289|GSM1229290|GSM1229291|GSM1229292,GPL1261,2.0
drug:P1596,"Cultured Cell Line|Cells|Ovarian|Tumor cells, malignant",GSM1230863|GSM1230864|GSM1230865,eribulin|paclitaxel,GSE50831,human,GSM1230857|GSM1230858|GSM1230859,GPL570,2.0
drug:P2741,Cultured Cell Line|Cells|Entire breast|Breast Cancer Cell,GSM1915068|GSM1915069|GSM1915070,dimethyl sulfoxide|atorvastatin|Elongation factor 1-alpha 2,GSE63427,human,GSM1915059|GSM1915060|GSM1915061,GPL10558,2.0
drug:P2740,Entire breast|Cultured Cell Line|Cells|Body tissue|Breast Cancer Cell,GSM1915068|GSM1915069|GSM1915070,dimethyl sulfoxide|atorvastatin|Elongation factor 1-alpha 2,GSE63427,human,GSM1548543|GSM1548544|GSM1548545|GSM1548546|GSM1548547|GSM1548548|GSM1548549|GSM1548550|GSM1548551|GSM1548552|GSM1548553|GSM1548554|GSM1548555|GSM1548556|GSM1548557|GSM1548558|GSM1548559|GSM1548560|GSM1548561|GSM1548562|GSM1548563|GSM1548564|GSM1548565|GSM1548566|GSM1548567|GSM1548568|GSM1548569|GSM1548570|GSM1548571|GSM1548572|GSM1548573|GSM1548574|GSM1548575|GSM1548576|GSM1548577|GSM1548578|GSM1548579|GSM1548580|GSM1548581|GSM1548582|GSM1548583|GSM1548584|GSM1548585|GSM1548586|GSM1548587|GSM1548588|GSM1548589|GSM1548590|GSM1548591|GSM1548592,GPL10558,2.0
drug:P1594,"Cultured Cell Line|Cells|Ovarian|Tumor cells, malignant",GSM1230863|GSM1230864|GSM1230865,eribulin|paclitaxel,GSE50831,human,GSM1230839|GSM1230840|GSM1230841,GPL570,2.0
drug:P762,Neostriatum|CNS - Brain - Striatum (MMHCC),GSM1187338|GSM1187352|GSM1187372,psychotropic drug,GSE48951,mouse,GSM1187343|GSM1187363|GSM1187383,GPL6887,2.0
drug:P3298,Cultured Cell Line,GSM1672065|GSM1672082|GSM1672095,,GSE68453,human,GSM1672068|GSM1672099|GSM1672107,GPL10558,2.0
drug:P3299,Cultured Cell Line,GSM1672065|GSM1672082|GSM1672095,,GSE68453,human,GSM1672070|GSM1672106|GSM1672122,GPL10558,2.0
drug:P3296,Cultured Cell Line,GSM1672065|GSM1672082|GSM1672095,,GSE68453,human,GSM1672032|GSM1672047|GSM1672054,GPL10558,2.0
drug:P3297,Cultured Cell Line,GSM1672065|GSM1672082|GSM1672095,,GSE68453,human,GSM1672066|GSM1672086|GSM1672094,GPL10558,2.0
drug:P3294,Cultured Cell Line,GSM1672065|GSM1672082|GSM1672095,,GSE68453,human,GSM1672006|GSM1672043|GSM1672049,GPL10558,2.0
drug:P3295,Cultured Cell Line,GSM1672065|GSM1672082|GSM1672095,,GSE68453,human,GSM1672014|GSM1672022|GSM1672025,GPL10558,2.0
drug:P3292,Cultured Cell Line,GSM1672065|GSM1672082|GSM1672095,,GSE68453,human,GSM1671984|GSM1671993|GSM1672063,GPL10558,2.0
drug:P3293,Cultured Cell Line,GSM1672065|GSM1672082|GSM1672095,,GSE68453,human,GSM1671992|GSM1671999|GSM1672010,GPL10558,2.0
drug:P3290,Cultured Cell Line,GSM1672065|GSM1672082|GSM1672095,lapatinib,GSE68453,human,GSM1671977|GSM1671981|GSM1672030,GPL10558,2.0
drug:P3291,Cultured Cell Line,GSM1672065|GSM1672082|GSM1672095,,GSE68453,human,GSM1671980|GSM1672020|GSM1672045,GPL10558,2.0
drug:P2529,Cultured Cell Line|Cells|Entire breast|Cells [Chemical/Ingredient],GSM1503026|GSM1503058,"4,4'-diaminodiphenylmethane|dimethyl sulfoxide|inhibitor|(2Z,3Z)-bis\{amino[(2-aminophenyl)sulfanyl]methylidene\}butanedinitrile",GSE61364,human,GSM1503039|GSM1503071,GPL4685,2.0
drug:P2528,Cultured Cell Line|Cells|Entire breast|Cells [Chemical/Ingredient],GSM1503026|GSM1503058,"4,4'-diaminodiphenylmethane|dimethyl sulfoxide|inhibitor|(2Z,3Z)-bis\{amino[(2-aminophenyl)sulfanyl]methylidene\}butanedinitrile",GSE61364,human,GSM1503037|GSM1503069,GPL4685,2.0
drug:P2527,Cultured Cell Line|Cells|Entire breast|Cells [Chemical/Ingredient],GSM1503026|GSM1503058,"4,4'-diaminodiphenylmethane|dimethyl sulfoxide|inhibitor|(2Z,3Z)-bis\{amino[(2-aminophenyl)sulfanyl]methylidene\}butanedinitrile",GSE61364,human,GSM1503035|GSM1503067,GPL4685,2.0
drug:P768,Neostriatum|CNS - Brain - Striatum (MMHCC),GSM1187342|GSM1187362|GSM1187382,psychotropic drug,GSE48951,mouse,GSM1187339|GSM1187359|GSM1187379,GPL6887,2.0
