gene	GSM5632354	GSM5632355	GSM5632356	GSM5632357	GSM5632358	GSM5632359	GSM5632360	GSM5632361	GSM5632362	GSM5632363	GSM5632364	GSM5632365
Adamts20	227	74	210	139	177	125	81	110	161	168	190	212
Adamts3	6765	2608	6411	2052	2186	1567	1466	1630	2790	3902	4726	5164
Adamts4	393	163	302	152	177	151	108	137	226	197	245	257
Adamts5	251	95	219	79	108	80	85	109	168	143	201	228
Adamts6	1105	440	726	325	415	249	168	192	294	281	409	363
Adamts7	714	382	635	312	343	281	228	272	448	417	550	520
Adamts8	63	22	32	12	6	22	11	6	4	26	12	25
Adamts9	832	357	634	524	592	491	549	565	941	579	679	906
Adamtsl1	1336	432	1023	638	776	524	500	645	841	531	889	892
Adamtsl2	455	279	406	90	166	92	71	87	90	81	171	163
Adamtsl3	601	266	515	217	329	287	160	216	331	264	348	384
Adamtsl4	713	370	696	1417	1466	1147	1033	1071	1761	412	554	578
Adamtsl5	368	248	486	307	443	221	276	480	597	250	444	542
Adap1	20	8	17	1	4	0	1	5	12	6	3	9
Adap2	38	10	31	27	29	18	21	42	25	18	18	25
Adar	1468	568	1418	629	721	678	599	602	1134	924	1205	1421
Adarb1	1046	435	1161	705	867	649	979	1048	1822	1081	1352	1349
Adarb2	56	7	45	16	13	15	8	6	13	23	10	34
Adat1	239	101	257	127	170	115	153	164	225	146	234	259
Adat2	132	79	166	72	91	59	59	70	138	93	112	211
Adat3	262	134	259	101	148	113	117	153	228	170	224	273
Adck1	174	104	149	79	67	78	63	76	129	137	183	178
Adck2	628	309	566	296	260	261	262	261	475	365	457	504
Adck3	332	198	340	175	244	186	111	159	210	124	237	207
Adck4	470	247	448	224	271	209	225	318	399	305	452	512
Adck5	387	213	413	194	198	162	180	173	309	238	341	448
Adcy1	466	97	371	171	142	154	171	136	326	375	351	511
Adcy10	13	2	5	9	19	8	12	11	10	10	6	12
Adcy2	1365	675	1378	866	1195	919	765	1018	1515	745	1137	1194
Adcy3	674	334	597	243	276	243	256	278	477	456	567	572
Adcy4	146	88	133	55	60	31	72	73	95	67	106	147
Adcy5	439	160	339	162	179	138	109	154	214	146	279	277
Adcy6	3135	1490	2951	1410	1512	1296	1224	1395	2381	1996	2731	3086
Adcy7	464	174	402	231	204	175	165	199	309	240	386	466
Adcy8	10	7	12	6	2	2	4	0	4	2	15	9
Adcy9	417	188	384	207	228	238	159	206	334	295	385	387
Adcyap1	7	1	6	1	2	1	0	0	1	3	2	4
Adcyap1r1	64	29	63	32	36	47	30	39	44	35	46	44
Add1	5726	2724	4874	2454	2648	2153	1871	2340	3953	3144	4116	4438
Add2	3	2	1	1	1	3	1	1	0	3	0	1
Add3	1933	850	1423	842	1009	746	661	763	1107	888	1329	1429
Adgb	26	7	9	0	0	0	1	0	1	10	7	14
Adh1	80	54	80	203	246	143	140	222	270	66	89	85
Adh4	5	1	0	2	0	2	2	2	4	2	5	1
Adh5	1237	679	1003	525	756	523	500	582	844	674	942	984
Adh6	8	3	2	5	5	0	1	5	0	4	9	1
Adh6a	0	0	1	1	0	0	0	3	0	0	0	0
Adh7	4	3	2	1	5	1	25	22	33	14	40	25
Adhfe1	126	41	106	181	243	153	78	101	159	42	70	83
Adi1	339	156	374	153	185	139	143	143	254	206	317	295
Adig	0	0	0	0	0	0	0	0	0	0	0	0
Adipoq	111	74	48	1	14	4	0	1	0	1	0	0
Adipor1	3146	1809	3009	1440	1820	1337	1459	1759	2688	2042	2822	3102
Adipor2	1524	739	1283	757	775	719	760	868	1411	1123	1491	1627
Adk	1426	753	1169	744	847	610	575	690	1064	861	1074	1147
Adm	78	52	77	51	88	45	62	121	121	59	150	209
Adm2	257	223	264	136	102	170	68	103	192	142	176	198
Adnp	5728	2449	4987	2316	2917	2091	2142	2461	4046	3701	4817	4833
Adnp2	1015	466	898	477	497	438	460	538	892	635	891	1028
Ado	193	85	207	92	98	103	117	92	178	134	190	192
Adora1	15	6	5	2	12	8	5	9	7	7	8	9
Adora2a	70	68	46	4	11	8	18	38	34	57	71	82
Adora2b	57	31	63	16	25	16	28	43	36	20	43	48
Adora3	0	0	0	0	0	0	0	0	0	0	0	0
Adpgk	2436	1309	2268	1150	1389	1102	1155	1447	2327	1657	2421	2400
Adprh	791	476	615	276	360	312	301	341	618	510	742	869
Adprhl1	9	7	5	4	4	3	8	11	15	5	6	10
Adprhl2	956	533	757	371	407	361	354	453	644	617	825	822
Adprm	184	93	152	73	97	87	73	97	145	99	148	142
Adra1a	12	7	11	2	7	8	3	3	4	3	7	3
Adra1b	12	4	14	21	8	16	9	12	32	7	13	16
Adra1d	15	8	11	14	14	6	16	21	37	19	17	22
Adra2a	44	24	40	71	57	80	74	65	153	26	46	47
Adra2b	18	6	27	2	6	2	4	9	14	6	15	13
Adra2c	2	2	1	0	0	0	0	0	1	2	1	0
Adrb1	5	2	4	3	5	1	1	2	4	2	3	3
Adrb2	60	38	73	137	175	117	115	137	224	26	42	33
Adrb3	3	1	3	0	2	3	0	3	1	2	3	5
Adrbk1	1502	785	1315	669	686	677	537	578	1060	867	1164	1135
Adrbk2	362	160	363	128	191	108	167	246	411	385	555	650
Adrm1	1409	824	1204	599	614	573	634	598	1091	912	1222	1310
Adsl	1070	615	981	585	726	469	525	671	860	620	947	1091
Adss	1764	891	1594	784	981	746	710	918	1289	1160	1502	1550
Adssl1	20	22	18	6	12	4	12	12	10	12	15	23
Adtrp	1	0	0	0	0	0	0	0	0	1	0	0
Aebp1	7473	3902	6334	2823	2469	2683	1883	2042	3788	3964	5241	5736
Aebp2	2109	1064	1984	973	1152	870	857	1167	1719	1467	2065	2137
Aen	618	234	558	280	388	297	575	733	896	694	1100	1091
Aes	1381	794	1163	503	561	423	558	664	1024	742	1189	1281
Afap1	693	205	613	269	301	227	200	224	427	422	506	577
Afap1l1	401	165	279	49	61	34	67	87	104	244	386	424
Afap1l2	210	99	189	48	67	47	43	47	113	106	159	142
Aff1	1194	465	1106	622	621	619	560	612	1044	793	1006	1129
Aff2	626	219	554	203	255	201	147	148	255	344	393	486
Aff3	1818	727	1965	958	919	742	497	563	999	997	1229	1271
Aff4	6453	1894	5046	2596	3678	2639	2170	3052	4343	3885	5201	5540
Afg3l1	1232	656	1129	499	558	524	452	523	1016	772	1088	1059
Afg3l2	1449	768	1479	696	813	636	733	831	1383	1056	1488	1456
Afm	1	0	5	4	1	5	0	1	2	2	1	2
Afmid	101	69	149	49	46	38	42	46	68	60	87	102
Afp	0	0	0	0	0	0	0	0	0	0	0	0
Aftph	774	355	735	325	369	368	342	381	635	525	651	723
Aga	1825	1077	1813	809	1101	786	790	1030	1642	1489	1895	1980
Agap1	2208	923	1905	938	1061	993	848	1044	1693	1353	1796	1893
Agap2	12	5	7	10	8	5	10	14	16	3	17	9
Agap3	2004	1116	1939	830	871	733	768	870	1454	1218	1824	1994
Agbl1	0	0	0	0	0	0	0	0	0	0	0	0
Agbl1-2	0	0	2	0	0	0	0	0	0	0	1	0
Agbl2	18	6	17	6	4	4	5	3	3	6	6	8
Agbl3	536	257	566	297	447	207	310	393	507	410	542	681
Agbl4	0	0	0	0	0	0	0	0	0	0	0	0
Agbl5	1226	550	1188	501	703	442	397	519	856	678	1022	1105
Ager	208	141	253	106	125	83	143	109	180	168	233	300
Agfg1	1566	699	1340	730	921	687	642	806	1168	933	1250	1336
Agfg2	180	89	159	152	147	110	77	124	234	98	137	143
Aggf1	784	384	688	340	363	358	291	352	584	465	658	785
Agk	328	187	335	139	177	147	130	164	273	244	298	360
Agl	1057	382	939	813	1265	664	764	1042	1405	654	819	898
Agmat	20	14	10	4	12	7	12	9	14	17	26	24
Agmo	7	3	3	1	1	0	0	0	0	3	0	0
Ago1	1542	609	1349	577	655	536	608	619	1197	1101	1430	1685
Ago2	1508	222	1218	847	1146	765	800	983	1563	1308	1566	1729
Ago3	745	192	557	287	568	344	331	580	620	510	771	758
Ago4	81	36	48	29	26	23	23	36	49	57	63	62
Agpat1	1651	1021	1571	636	619	706	682	689	1270	1015	1326	1574
Agpat2	196	82	143	85	102	68	57	78	112	87	82	126
Agpat3	949	455	869	396	372	369	267	279	591	568	643	704
Agpat4	633	355	595	383	431	393	323	371	583	390	567	628
Agpat5	751	358	659	444	557	451	429	491	675	471	633	662
Agpat6	2259	1156	2096	852	1006	997	785	945	1689	1369	1752	1928
Agpat9	247	137	268	125	124	96	107	142	189	167	228	268
Agps	1106	337	867	465	640	416	460	553	802	643	806	972
Agr2	4	1	0	2	3	0	0	5	6	2	11	1
Agr3	0	0	0	0	0	0	0	0	1	0	0	0
Agrn	4904	2436	4440	1854	1813	1750	1646	1675	3192	3059	3944	4755
Agrp	12	11	10	12	11	6	5	7	3	7	13	7
Agt	89	41	89	59	59	49	33	53	78	33	66	84
Agtpbp1	1040	446	1011	546	762	498	667	826	1196	770	1128	1096
Agtr1a	234	120	186	220	220	184	131	168	208	135	154	174
Agtr1b	0	1	6	2	0	0	0	2	3	5	8	1
Agtr2	2388	1310	1527	1609	2240	1158	1790	1993	2306	1299	1932	1889
Agtrap	480	217	450	253	276	224	212	246	396	349	438	464
Agxt	0	0	0	0	0	0	0	0	0	0	0	0
Agxt2	0	0	0	0	0	0	1	2	0	0	0	0
Ahctf1	3827	1392	3043	1651	2133	1535	1496	1914	2597	2270	2996	3127
Ahcy	1288	651	1024	667	646	617	532	648	1094	773	907	1008
