Geneid	GSM4081445	GSM4081446	GSM4081447	GSM4081448	GSM4081449	GSM4081450	GSM4081451	GSM4081452	GSM4081453	GSM4081442	GSM4081443	GSM4081444
TNFRSF18	3	3	4	4	14	6	10	8	3	6	8	10
TNFRSF4	0	0	1	1	9	3	0	0	0	2	1	1
SDF4	2504	2636	2593	2545	2846	3501	3063	2849	2693	2609	2411	2351
B3GALT6	976	1078	1027	871	915	1348	1230	1036	1036	976	846	908
FAM132A	3	2	4	5	0	3	0	1	2	1	3	5
UBE2J2	1610	1781	1659	1932	2058	2448	2012	1907	1904	1938	1739	1684
SCNN1D	76	85	91	77	117	112	106	77	85	86	94	93
ACAP3	562	631	620	610	661	797	749	722	685	649	587	635
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0
PUSL1	716	786	752	769	985	982	821	865	883	867	743	773
CPSF3L	1292	1429	1462	1495	1656	1874	1622	1575	1452	1551	1451	1356
MIR6727	2	1	2	2	4	1	1	2	0	2	3	2
CPTP	805	894	854	880	911	1123	1017	985	916	879	810	791
TAS1R3	43	43	54	58	65	53	33	54	46	53	44	49
DVL1	3794	4307	4150	4164	4539	5353	4845	4612	4534	4649	4179	4116
MIR6808	0	0	0	0	0	1	0	0	0	0	0	0
MXRA8	1427	1547	1523	1173	1384	1813	1700	1566	1450	1364	1295	1320
AURKAIP1	2229	2432	2186	2151	2621	3038	2713	2573	2520	2377	2271	2331
CCNL2	1030	1130	1032	1005	1068	1310	1312	1174	1105	1129	966	970
LOC148413	437	489	451	398	433	585	546	485	504	421	435	414
MRPL20	1381	1645	1414	1285	1443	1820	1422	1487	1441	1263	1169	1074
ANKRD65	3	2	0	3	4	0	5	0	7	2	1	5
TMEM88B	0	0	0	0	0	1	1	0	0	0	1	0
LOC102724312	9	16	13	9	13	24	18	13	18	13	11	11
VWA1	673	729	686	525	517	859	969	804	673	677	656	755
ATAD3C	16	12	10	12	16	28	17	15	9	13	10	9
ATAD3B	402	484	433	652	718	675	587	550	569	600	543	480
ATAD3A	1314	1453	1422	1421	1625	1849	1595	1494	1412	1371	1253	1255
TMEM240	2	5	3	1	3	3	4	5	4	2	5	3
SSU72	2472	2883	2518	2328	2442	3304	2788	2685	2520	2586	2368	2334
C1orf233	102	125	117	95	106	147	124	110	104	115	88	91
MIB2	549	616	587	601	653	821	727	695	658	655	645	604
MMP23B	0	0	0	0	0	0	0	0	0	0	0	0
MMP23A	0	0	0	0	0	1	0	0	0	0	0	0
CDK11B	146	168	133	160	137	204	237	159	159	161	193	166
SLC35E2B	787	873	909	987	616	1100	917	878	732	915	807	720
CDK11A	30	45	40	35	46	55	50	32	47	39	39	26
SLC35E2	235	204	251	198	247	317	311	225	263	237	277	195
NADK	2445	2795	2719	2239	2359	3163	2784	2629	2476	2468	2314	2145
GNB1	9497	10296	9570	9131	9803	12815	11516	10829	10296	10234	8956	8898
CALML6	1	1	0	0	3	2	2	0	0	0	0	1
TMEM52	19	20	15	17	25	27	22	23	22	15	21	23
CFAP74	0	0	0	0	4	2	0	0	0	1	0	0
GABRD	0	0	0	1	3	0	0	0	0	0	0	0
PRKCZ	464	473	534	370	462	610	585	465	502	446	404	372
FAAP20	345	369	380	323	358	472	340	321	309	306	307	283
SKI	570	508	462	565	726	866	639	602	542	798	582	547
MORN1	72	72	92	90	104	128	85	69	81	92	66	88
LOC100129534	16	21	12	23	32	23	21	14	17	22	13	19
RER1	3786	4141	3820	3678	3972	5082	4488	4365	3857	3794	3488	3657
PEX10	483	512	536	407	441	552	420	434	370	341	346	327
PLCH2	3	4	4	24	28	18	14	9	4	12	10	8
PANK4	461	550	522	523	548	677	728	657	638	586	595	576
HES5	4	1	1	3	3	1	2	4	3	4	3	1
LOC115110	19	23	10	15	23	28	18	12	11	11	11	12
TNFRSF14	145	150	168	130	124	201	173	120	130	138	160	128
LOC100996583	4	3	1	3	1	4	4	4	2	11	2	2
FAM213B	533	501	515	488	546	635	609	588	507	571	480	471
MMEL1	0	0	0	3	5	2	0	0	0	1	0	0
TTC34	1	0	1	3	4	1	1	3	1	1	1	1
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0
LINC00982	0	0	0	0	0	1	0	0	0	0	1	0
PRDM16	0	0	0	4	3	6	1	0	0	1	1	1
MIR4251	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	108	126	128	110	116	151	143	142	149	118	107	113
MEGF6	217	235	267	222	305	335	620	503	478	481	412	419
MIR551A	0	0	0	0	0	0	0	0	0	1	0	0
TPRG1L	860	1035	944	771	801	1105	911	850	776	791	783	689
WRAP73	768	869	793	808	845	1015	903	789	781	795	761	728
TP73	67	69	63	58	58	84	83	75	66	81	55	64
TP73-AS1	268	263	292	243	240	329	310	267	251	262	251	233
CCDC27	0	0	0	0	2	0	0	0	0	0	0	0
SMIM1	9	10	10	7	5	5	6	6	6	9	11	7
LRRC47	1396	1500	1385	1682	1811	2144	1936	1819	1769	1742	1545	1513
CEP104	831	965	846	763	889	1192	1049	919	875	956	851	879
DFFB	205	247	248	200	217	257	242	222	236	248	188	249
C1orf174	936	1095	954	989	962	1197	1139	1139	1035	1069	965	915
LINC01134	13	8	13	14	20	15	10	10	16	22	14	13
LINC01346	0	0	0	1	0	0	0	0	0	0	0	0
LOC284661	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	0	0	0	0	0
MIR4417	0	0	0	0	0	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	276	276	267	280	284	358	307	270	291	328	220	253
KCNAB2	259	256	233	190	229	274	186	185	166	194	174	151
CHD5	2	3	6	9	10	8	4	1	1	2	4	7
RPL22	9623	7588	9810	8257	10730	6474	11350	10993	9850	9912	8657	8817
LOC102724450	14	24	11	10	11	22	15	16	12	12	12	7
RNF207	121	123	128	107	129	139	137	131	130	105	104	101
ICMT	10116	11246	10688	9987	10199	13378	13290	12956	12297	11909	11106	10984
LINC00337	20	22	24	27	30	19	30	15	34	25	25	13
HES3	0	0	0	1	0	0	0	1	0	0	0	0
GPR153	484	531	496	320	269	548	392	344	320	279	301	300
ACOT7	1853	2092	1958	1643	1791	2348	1888	1790	1702	1665	1563	1524
HES2	245	314	271	198	198	307	259	231	193	170	184	159
ESPN	8	12	19	15	22	19	15	14	11	14	12	10
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	5	10	5	2	14	10	11	6	11	4	4	13
PLEKHG5	59	60	68	58	66	99	90	99	85	68	69	67
NOL9	1431	1545	1310	1685	2002	2289	1873	1685	1678	1979	1556	1487
TAS1R1	0	2	0	3	4	5	0	4	2	1	1	1
ZBTB48	317	351	361	391	430	498	349	371	363	334	335	318
KLHL21	1403	1459	1348	1968	2255	2386	1997	1973	1965	2074	1739	1893
PHF13	498	595	571	556	568	727	688	639	592	658	547	534
THAP3	416	504	481	495	539	622	566	538	545	567	491	475
DNAJC11	1300	1487	1318	1328	1355	1773	1487	1438	1323	1328	1270	1210
LOC100505887	0	0	0	1	1	0	0	0	0	0	0	0
CAMTA1	703	813	710	630	648	888	701	702	643	598	581	618
VAMP3	5323	5966	5435	4863	4712	6638	5622	5516	5185	4943	4519	4563
PER3	83	101	69	108	119	144	239	209	179	208	158	181
UTS2	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF9	1	6	5	6	16	11	34	36	21	27	28	23
PARK7	4586	5415	4843	4335	4726	6360	5178	5081	4568	4502	4247	4123
ERRFI1	16817	20330	17504	13907	12947	23017	8409	7453	6642	6686	6893	6544
LOC102724539	0	8	4	4	10	7	3	5	1	2	3	4
SLC45A1	24	26	18	14	9	15	17	9	5	4	6	5
RERE	303	287	261	296	326	470	430	328	339	559	322	318
LOC102724552	0	1	2	0	3	2	1	4	0	3	0	0
ENO1	86115	97786	90512	85903	91356	114882	104812	100476	95622	91096	87023	85533
MIR6728	1	0	3	1	2	0	1	1	2	1	2	1
ENO1-AS1	4	4	3	4	3	5	3	0	1	2	3	2
CA6	0	0	0	1	0	1	0	1	0	0	0	0
SLC2A7	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A5	2	13	4	0	5	18	5	5	7	6	6	7
GPR157	40	47	53	39	55	74	46	64	45	48	49	46
MIR34A	0	0	0	1	0	0	0	0	0	0	0	0
H6PD	1091	1194	1139	654	681	1248	1129	956	886	816	746	768
SPSB1	517	586	545	462	478	682	758	727	713	659	662	597
LOC100506022	10	16	14	11	12	11	8	12	10	16	7	9
SLC25A33	534	626	539	553	635	792	675	644	677	582	504	444
TMEM201	396	372	344	444	579	580	518	468	517	564	437	466
PIK3CD	293	284	319	298	384	430	491	434	450	402	364	405
PIK3CD-AS1	0	0	0	0	2	3	0	0	0	0	0	0
PIK3CD-AS2	5	3	5	4	5	3	2	4	6	2	1	5
CLSTN1	2927	3123	2967	2820	3231	4181	3789	3461	3322	3649	3035	2975
CTNNBIP1	701	752	788	625	728	874	1284	1219	1051	1017	950	983
LZIC	1018	1129	1072	1073	1043	1395	1169	1034	1055	995	902	960
NMNAT1	542	682	615	658	598	785	622	652	565	578	556	515
MIR5697	0	0	0	0	1	0	1	0	0	0	0	0
RBP7	0	0	0	3	3	0	0	0	1	1	0	1
UBE4B	1169	1300	1106	1145	1279	1669	1457	1336	1196	1513	1191	1139
KIF1B	2289	2472	2199	2248	2365	3269	2706	2515	2393	2812	2221	2203
RNU6-2	16	16	11	14	15	13	23	13	20	16	12	12
PGD	3939	4702	3917	3591	3839	5587	4820	4452	4202	4052	4120	3939
APITD1-CORT	0	0	0	0	0	0	0	0	0	0	0	0
APITD1	99	121	103	90	104	140	145	145	135	122	108	114
CORT	0	4	2	1	6	0	5	3	1	6	1	2
DFFA	1595	1865	1698	1809	2086	2435	1943	1848	1773	1767	1647	1651
PEX14	329	375	352	352	417	465	411	427	412	419	354	382
CASZ1	53	60	66	84	109	100	190	174	160	124	122	120
C1orf127	0	0	0	1	1	1	0	0	0	0	0	0
TARDBP	3879	4744	3786	3786	3827	4825	5018	4623	4221	4431	4206	3971
MASP2	24	13	19	25	27	30	30	28	36	24	28	32
SRM	1118	1122	1178	1205	1381	1589	1110	1018	1008	1031	977	865
EXOSC10	3571	3917	3575	3686	3840	4870	4558	4125	4170	3982	3752	3624
MTOR	4327	4841	4524	4219	4546	6163	5417	5241	4808	4886	4491	4133
MTOR-AS1	4	0	1	2	1	1	1	3	3	1	3	1
ANGPTL7	0	1	0	3	0	2	3	2	2	7	7	0
UBIAD1	820	908	875	854	933	1197	887	845	808	920	861	830
PTCHD2	1	1	3	8	9	11	4	7	4	7	3	1
LOC101929181	0	0	0	3	10	9	2	3	1	3	2	0
FBXO2	92	131	115	65	85	145	152	109	90	94	90	113
FBXO44	145	180	168	170	162	241	204	191	191	197	177	170
FBXO6	199	227	208	210	193	271	165	148	129	168	160	164
MAD2L2	1423	1495	1447	1292	1502	1780	1728	1694	1517	1565	1368	1455
DRAXIN	0	1	1	1	3	1	1	1	1	3	2	2
AGTRAP	1291	1436	1324	1103	1135	1535	942	889	846	799	802	735
C1orf167	0	0	0	0	1	2	0	0	1	0	0	0
LOC102724659	0	1	0	0	2	0	0	0	0	1	0	0
MTHFR	787	870	789	669	579	1006	819	748	603	678	611	578
CLCN6	192	207	173	121	133	196	221	209	165	175	145	153
NPPA-AS1	2	2	4	1	4	1	4	4	4	2	4	3
NPPA	0	0	2	1	2	0	1	4	2	1	0	2
NPPB	0	0	0	3	2	0	0	3	2	3	0	0
KIAA2013	1336	1367	1324	1367	1396	1750	1591	1503	1620	1539	1425	1374
PLOD1	3334	3829	3714	3044	3334	4644	4052	3622	3414	3358	3261	3167
MFN2	4313	4677	4606	4664	5097	6017	5852	5563	5218	5520	4938	4709
MIIP	509	624	599	608	687	795	636	619	653	616	551	577
MIR6729	0	0	0	0	0	0	0	0	0	0	0	1
TNFRSF8	0	1	0	0	1	1	0	0	0	1	0	0
MIR7846	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF1B	21	31	26	18	22	24	45	42	36	27	30	16
MIR4632	0	0	0	0	0	0	0	0	0	0	0	0
VPS13D	1538	1637	1383	1164	1277	1980	1686	1467	1359	1545	1310	1280
SNORA59B	0	0	0	0	0	0	0	0	0	0	0	0
SNORA59A	0	0	0	0	0	0	0	0	0	0	0	0
DHRS3	65	62	64	34	41	97	66	52	48	43	44	44
MIR6730	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0
C1orf158	0	0	0	0	0	1	0	0	0	0	0	0
PRAMEF12	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	1	0	0	0	0	1	0	0	0
HNRNPCL4	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL1	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0	0	0	0	0
LOC101929983	0	0	0	0	0	0	0	0	0	0	0	0
LOC391003	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF22	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0	0	0	0	0
LOC649324	0	0	0	0	0	0	0	0	0	0	0	0
LOC645354	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	1	1	0	0	1	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0	0	0	0	0
LOC645382	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0	0	0	0	0
LOC400736	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF16	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0	0	0	0	0	0	0
PDPN	0	0	0	0	2	0	0	0	0	1	0	0
PRDM2	235	238	250	234	265	348	246	247	224	340	247	225
KAZN	151	101	114	110	143	178	210	179	165	204	142	163
TMEM51-AS1	0	0	1	0	3	2	2	4	3	3	5	1
TMEM51	297	253	278	291	289	380	517	454	434	449	414	390
C1orf195	0	1	1	3	0	2	2	0	0	0	3	1
FHAD1	0	3	2	3	10	12	7	1	4	5	3	1
EFHD2	1404	1464	1356	1436	1594	1912	1776	1750	1647	1773	1619	1468
CTRC	0	0	0	0	0	1	0	0	0	0	0	0
CELA2A	0	0	0	1	2	2	0	0	0	1	2	0
CELA2B	1	0	0	3	3	0	0	3	1	2	0	1
CASP9	326	313	325	320	322	464	364	352	343	325	320	294
DNAJC16	1224	1374	1213	1179	1228	1736	1318	1253	1166	1324	1141	1060
AGMAT	794	839	794	725	697	993	734	781	721	682	598	548
DDI2	195	221	169	196	182	246	204	205	187	214	195	159
RSC1A1	137	145	150	138	129	175	153	130	119	152	126	120
PLEKHM2	1856	1897	1876	1829	1993	2380	2422	2245	2183	2198	2038	1884
SLC25A34	2	2	1	7	4	2	9	5	6	4	4	7
TMEM82	0	0	0	1	4	2	0	0	0	2	0	0
FBLIM1	496	534	483	501	540	671	536	479	469	418	407	416
UQCRHL	176	231	222	196	230	308	234	218	219	221	199	180
FLJ37453	85	89	87	91	136	142	97	124	83	99	62	77
SPEN	683	619	674	655	772	1105	801	760	626	1192	777	609
MIR5096	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB17	579	716	666	652	731	855	766	758	678	698	723	603
C1orf64	0	0	0	0	0	0	0	0	0	0	0	0
HSPB7	0	1	1	4	8	3	0	0	0	0	1	1
CLCNKA	0	0	0	2	1	1	0	0	0	0	0	1
CLCNKB	1	0	1	2	2	0	0	0	0	0	0	0
FAM131C	0	0	0	0	0	0	0	0	1	1	0	0
EPHA2	6084	6749	6135	8908	10409	10334	11681	11035	10943	11297	10254	10341
ARHGEF19	125	150	143	124	144	195	134	101	116	109	113	104
RSG1	51	51	60	43	43	76	45	50	37	40	28	34
FBXO42	602	677	638	639	693	882	803	727	690	718	601	630
SZRD1	3568	3831	3258	3268	3796	4690	4213	3803	3631	3730	3633	3554
SPATA21	1	1	1	3	1	1	0	0	1	0	1	0
NECAP2	2044	2383	2263	2092	2153	2820	2509	2374	2163	2256	2148	2137
CROCCP3	19	25	25	22	26	21	41	29	21	32	18	25
FAM231B	0	0	0	0	0	0	0	0	0	0	0	0
MIR3675	0	0	0	0	0	0	0	0	0	0	0	0
NBPF1	837	959	931	1054	1151	1475	1627	1507	1501	1519	1288	1216
CROCCP2	209	211	245	182	239	292	289	237	230	263	251	216
MST1P2	4	5	7	3	2	10	5	4	2	4	4	6
FAM231A	0	0	0	0	0	0	0	0	0	0	0	0
FAM231C	0	0	0	0	0	0	0	0	0	0	0	0
ESPNP	0	0	0	0	1	0	0	0	0	0	0	0
MST1L	0	0	0	0	2	0	0	1	0	2	2	1
CROCC	139	170	177	141	158	221	189	161	184	151	143	137
MFAP2	192	209	178	125	108	152	236	273	204	157	163	174
ATP13A2	3212	3369	3081	2563	2821	3961	2424	2200	2122	2080	1970	1873
SDHB	4177	4547	4311	4300	4549	5542	4499	4525	4369	4186	4066	3588
PADI2	1	0	0	1	1	1	1	0	0	0	1	0
PADI1	58	52	57	63	68	72	119	116	131	113	107	111
PADI3	2	1	0	3	2	3	5	5	4	7	7	7
MIR3972	0	0	0	0	0	0	0	0	0	0	0	0
PADI4	4	6	1	2	3	6	5	1	1	2	3	2
PADI6	0	0	0	0	2	0	0	0	0	0	1	0
RCC2	3249	3411	3323	3498	3823	4602	4686	4383	4152	4368	3950	3817
ARHGEF10L	395	403	403	316	326	525	547	518	489	454	427	422
ACTL8	0	0	0	0	0	1	0	0	0	0	0	0
LOC101927876	0	0	0	0	0	0	0	0	0	0	0	0
IGSF21	0	0	0	0	0	0	0	0	0	0	0	0
KLHDC7A	34	38	38	29	30	39	109	93	81	80	85	78
PAX7	0	0	0	1	3	0	0	0	0	0	0	0
TAS1R2	0	0	0	0	3	1	0	0	0	0	0	1
ALDH4A1	669	804	725	530	558	775	734	671	575	582	536	533
MIR4695	0	0	0	0	0	0	0	0	0	0	0	0
MIR1290	0	0	0	0	0	0	0	0	0	0	0	0
IFFO2	733	806	768	957	1051	1155	1839	1799	1636	1715	1537	1660
UBR4	6550	6700	6505	6798	7376	9769	8722	7924	7348	10486	7460	7094
EMC1	4018	4308	3824	3955	4439	5451	4346	3950	3956	4011	3468	3555
MRTO4	2992	3235	2989	3139	3595	4185	3440	3341	3258	3090	2839	2949
AKR7L	5	4	7	5	2	7	5	3	1	5	2	4
AKR7A3	5	1	6	3	2	5	3	4	3	8	3	2
LOC100506730	28	41	32	23	31	60	52	36	54	63	45	48
AKR7A2	2255	2508	2323	1959	2176	2682	2518	2506	2233	2199	2039	1893
PQLC2	478	518	515	566	580	706	575	558	537	551	525	520
CAPZB	3219	3699	3371	2965	3248	4202	3744	3522	3126	3198	2966	2906
MINOS1	958	1228	987	937	1091	1442	1320	1207	1093	1123	1063	1039
MINOS1-NBL1	0	0	0	0	0	0	0	0	0	0	0	0
RPS14P3	10	11	28	18	15	16	10	18	6	10	4	9
NBL1	2	1	4	7	14	18	2	4	5	5	3	3
HTR6	0	3	1	3	5	2	4	0	0	1	0	1
TMCO4	508	527	514	554	574	692	743	679	668	654	606	623
RNF186	0	0	0	0	1	0	0	0	0	0	0	0
OTUD3	440	473	432	487	567	676	812	806	806	787	727	681
PLA2G2E	0	0	0	0	0	0	0	0	0	0	1	0
PLA2G2A	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G5	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G2D	0	0	0	0	2	0	0	0	0	0	0	0
PLA2G2F	0	0	0	1	1	0	0	0	0	1	0	0
PLA2G2C	0	0	0	0	0	0	0	0	0	1	0	0
UBXN10-AS1	0	0	0	0	0	0	0	0	0	0	0	0
UBXN10	0	1	0	2	0	0	2	1	1	2	0	0
VWA5B1	0	0	0	0	0	1	0	1	0	0	0	0
LINC01141	0	0	0	0	0	0	0	0	0	0	0	0
CAMK2N1	72	66	62	84	90	94	90	104	80	101	80	63
MUL1	1080	1299	1147	1205	1134	1585	1348	1204	1128	1170	1080	1128
FAM43B	0	0	0	0	1	0	0	0	0	0	0	0
CDA	934	1089	937	680	763	1253	950	834	756	748	863	784
PINK1	656	695	751	662	663	905	1008	920	885	848	856	793
MIR6084	0	0	0	0	0	0	0	0	0	0	0	0
PINK1-AS	118	110	129	98	127	136	121	125	137	117	114	100
DDOST	7581	8590	8014	7480	8091	10075	8763	8228	7799	7580	7318	7022
KIF17	18	30	33	34	53	40	21	24	22	17	23	18
SH2D5	370	406	403	442	588	580	646	715	721	620	542	542
HP1BP3	4467	5065	4339	3898	4024	5566	6382	5946	5620	5496	4982	4738
EIF4G3	2463	2623	2447	2289	2345	3521	2908	2704	2475	3009	2502	2321
MIR1256	0	0	0	0	1	0	0	0	0	0	0	0
ECE1	2700	3025	2691	2670	3059	3930	3438	2947	2902	3116	2640	2661
LOC100506801	0	0	1	3	2	1	2	4	2	2	2	2
NBPF3	571	466	501	622	470	600	682	660	948	557	593	459
ALPL	0	0	1	1	0	3	2	1	4	0	1	0
RAP1GAP	18	37	34	31	42	51	87	75	64	69	71	85
USP48	1369	1612	1425	1244	1296	1913	1753	1642	1533	1761	1545	1499
LDLRAD2	6	3	0	1	7	4	5	3	3	0	3	4
HSPG2	593	604	549	509	649	794	800	672	605	757	588	543
CELA3B	0	0	0	1	0	0	0	0	0	0	0	0
CELA3A	0	0	0	0	1	0	0	0	0	0	0	0
LOC101928043	3	4	6	7	9	5	1	5	3	1	3	6
LINC00339	408	439	455	406	407	566	464	459	404	422	365	423
CDC42	15105	14198	15786	11402	11733	19844	14928	17201	16410	14521	14777	11742
WNT4	8	13	7	11	6	15	11	8	8	8	8	7
MIR4418	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB40	944	1043	913	921	991	1292	1275	1166	1169	1231	1082	971
EPHA8	0	0	0	0	0	0	0	0	0	1	0	1
MIR6127	0	0	0	0	0	0	0	0	0	0	0	0
C1QA	0	0	0	0	0	0	0	0	0	0	0	0
C1QC	0	0	1	1	0	0	0	0	0	0	0	0
C1QB	0	0	0	0	0	0	0	0	0	0	0	0
EPHB2	3418	3617	3546	3319	3878	4914	4644	4294	4009	4168	3983	3697
MIR4684	0	0	0	0	0	0	0	0	0	0	0	1
MIR4253	1	0	0	0	0	0	0	0	0	0	0	0
LACTBL1	0	0	0	0	1	0	0	0	0	0	0	0
C1orf234	0	0	0	1	0	0	0	0	0	0	2	0
KDM1A	5040	5563	5038	4744	5083	6863	5936	5767	5351	5333	4947	4810
MIR3115	0	0	0	0	0	0	0	0	0	0	0	0
MIR4419A	0	0	0	0	0	0	1	0	0	0	0	0
LUZP1	2407	2706	2441	2274	2408	3330	2884	2591	2314	2626	2299	2100
HTR1D	64	58	70	49	85	97	116	121	123	124	110	114
LINC01355	36	34	42	47	46	67	65	60	79	56	56	55
HNRNPR	7333	8603	7571	7338	7622	9956	10463	10126	9562	9063	8909	8394
ZNF436	662	682	666	606	642	861	871	819	803	710	742	697
ZNF436-AS1	33	40	31	79	99	102	65	48	43	65	62	42
TCEA3	511	563	528	403	471	626	809	724	661	565	583	581
ASAP3	1504	1722	1584	1099	1038	1865	1186	1022	973	819	884	864
E2F2	200	221	175	151	210	274	224	202	210	230	181	196
LOC101928163	1	0	0	2	2	1	0	0	0	0	0	2
ID3	796	885	846	1573	1640	1634	1342	1234	1267	1287	1339	1333
MDS2	0	0	0	1	0	0	0	0	0	0	0	0
RPL11	16234	19052	16692	17873	20749	24969	18649	18245	17169	16998	15890	15398
TCEB3	2702	2948	2603	2915	3070	3853	2866	2740	2643	2858	2690	2668
TCEB3-AS1	5	4	3	5	4	3	4	1	2	1	3	6
PITHD1	1669	1954	1702	1734	1823	2386	1995	2052	1840	1936	1763	1562
LYPLA2	1550	1677	1548	1424	1436	1890	1505	1481	1316	1468	1360	1275
GALE	1988	2196	2234	1758	1802	2402	2328	2114	1932	1885	1837	1869
HMGCL	703	801	695	536	507	796	668	529	514	463	535	456
FUCA1	2703	3045	2737	2101	2057	3343	2448	2174	2026	1885	1905	1897
CNR2	0	1	0	0	2	0	0	0	0	1	0	0
