GENE_NAME	GSM4217259	GSM4217258	GSM4217257	GSM4217256	GSM4217251	GSM4217250	GSM4217253	GSM4217252	GSM4217255	GSM4217254	GSM4217261	GSM4217260
ITGB2L	ENSMUSG00000000157	2.54	3.22	2.54	2.51	6.56	13.35	2.16	4.89	2.99	2.17	1.52	3.30
IGSF5	ENSMUSG00000000159	0.06	0.00	0.00	0.00	0.12	0.34	0.25	0.05	0.00	0.04	0.00	0.03
PIH1D2	ENSMUSG00000000167	0.80	0.48	0.74	0.54	1.90	2.63	0.48	0.88	0.72	0.31	0.25	0.64
DLAT	ENSMUSG00000000168	17.53	23.12	19.71	21.83	19.60	22.15	16.49	27.78	21.92	24.97	19.21	23.17
SDHD	ENSMUSG00000000171	60.32	61.07	62.00	55.35	70.68	76.53	68.59	64.32	74.57	68.22	81.51	74.71
FGF23	ENSMUSG00000000182	0.06	0.05	0.00	0.06	0.13	0.05	0.22	0.07	0.06	0.08	0.15	0.10
FGF6	ENSMUSG00000000183	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CCND2	ENSMUSG00000000184	0.50	0.88	0.84	1.08	1.45	1.83	0.85	2.40	0.62	0.43	1.55	2.88
GPR107	ENSMUSG00000000194	20.93	18.13	15.93	13.94	24.01	24.31	17.58	17.74	15.57	14.65	13.37	15.52
NALCN	ENSMUSG00000000197	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
BTBD17	ENSMUSG00000000202	0.00	0.00	0.00	0.00	0.00	0.20	0.02	0.01	0.00	0.00	0.00	0.00
SLFN4	ENSMUSG00000000204	1.89	4.44	1.15	2.08	6.44	8.64	1.54	5.71	1.71	1.28	0.98	2.18
TH	ENSMUSG00000000214	0.00	0.00	0.02	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.05
INS2	ENSMUSG00000000215	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SCNN1G	ENSMUSG00000000216	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
DRP2	ENSMUSG00000000223	0.32	0.34	0.19	0.17	0.36	0.24	0.14	0.28	0.20	0.27	0.13	0.17
TSPAN32	ENSMUSG00000000244	65.86	62.24	64.34	45.69	50.94	37.06	42.52	43.03	69.70	65.28	37.67	40.71
LHX2	ENSMUSG00000000247	4.67	3.90	2.72	2.70	2.55	3.33	2.41	2.41	3.56	3.74	3.11	3.83
CLEC2G	ENSMUSG00000000248	1.09	1.01	0.83	0.40	1.53	1.72	0.39	1.03	0.20	0.19	0.06	0.02
GMPR	ENSMUSG00000000253	1.45	1.09	0.33	0.37	0.62	0.69	0.43	0.58	2.16	2.29	6.31	5.21
GLRA1	ENSMUSG00000000263	0.03	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00
MID2	ENSMUSG00000000266	0.02	0.03	0.02	0.02	0.05	0.00	0.03	0.05	0.02	0.02	0.03	0.06
TRIM25	ENSMUSG00000000275	16.60	16.07	28.06	24.85	21.47	19.88	26.32	21.54	16.86	15.73	26.12	22.68
DGKE	ENSMUSG00000000276	6.06	7.94	5.07	5.46	6.74	9.12	8.02	9.27	5.45	6.15	7.34	5.94
SCPEP1	ENSMUSG00000000278	7.76	6.84	7.73	6.83	4.46	5.50	4.48	5.86	8.92	7.22	8.13	7.40
MNT	ENSMUSG00000000282	1.90	3.14	1.80	3.64	2.47	3.40	3.02	3.23	1.32	3.36	2.10	2.43
ITGB2	ENSMUSG00000000290	106.39	143.46	88.63	88.40	82.08	98.80	79.25	90.40	94.51	142.49	50.47	66.65
HDDC2	ENSMUSG00000000295	22.74	25.10	23.46	26.46	24.60	28.70	33.97	25.64	31.77	41.43	48.04	42.08
TPD52L1	ENSMUSG00000000296	0.04	0.02	0.09	0.04	0.08	0.00	0.00	0.07	0.09	0.02	0.00	0.00
PEMT	ENSMUSG00000000301	1.56	2.53	2.68	3.07	3.82	4.86	3.27	1.97	3.87	3.94	2.85	2.64
CDH1	ENSMUSG00000000303	0.49	1.10	0.17	0.75	0.51	1.34	8.62	11.59	1.02	2.10	3.91	2.87
CDH4	ENSMUSG00000000305	0.01	0.00	0.01	0.01	0.01	0.00	0.00	0.01	0.03	0.00	0.01	0.00
CKMT1	ENSMUSG00000000308	1.79	2.49	0.08	0.00	2.11	1.89	0.00	0.03	0.39	0.70	0.00	0.00
BCL6B	ENSMUSG00000000317	0.01	0.02	0.02	0.01	0.01	0.02	0.04	0.03	0.01	0.03	0.02	0.02
CLEC10A	ENSMUSG00000000318	0.50	0.58	0.36	0.13	0.94	0.48	0.24	0.17	0.45	0.04	0.09	0.28
ALOX12	ENSMUSG00000000320	0.45	0.41	0.44	0.25	0.52	0.67	0.17	0.43	0.54	0.41	0.07	0.22
ARVCF	ENSMUSG00000000325	42.03	43.08	47.56	48.23	43.39	52.99	27.50	45.45	26.34	34.24	2.75	3.17
COMT	ENSMUSG00000000326	17.13	17.91	19.90	20.73	19.99	22.91	19.15	18.64	23.81	24.79	9.61	9.44
RTCA	ENSMUSG00000000339	18.22	17.77	19.03	17.60	19.32	21.63	22.66	18.88	23.02	24.66	20.03	19.07
DBT	ENSMUSG00000000340	8.42	8.92	7.95	8.87	7.42	9.65	9.61	7.43	6.89	7.75	8.14	9.16
DAZAP2	ENSMUSG00000000346	79.53	71.17	100.15	84.22	76.98	72.65	133.20	90.69	145.38	141.38	121.75	87.56
MCTS1	ENSMUSG00000000355	43.49	51.08	38.89	40.44	52.68	61.14	32.74	41.44	46.18	45.70	50.28	61.70
REM1	ENSMUSG00000000359	0.00	0.00	0.22	0.00	0.03	0.11	0.00	0.03	0.00	0.02	0.00	0.00
RNF17	ENSMUSG00000000365	0.05	0.04	0.04	0.02	0.10	0.03	0.01	0.07	0.03	0.00	0.00	0.00
TRAPPC10	ENSMUSG00000000374	15.15	14.93	17.31	13.57	20.19	13.39	18.98	15.22	16.60	16.54	16.63	17.28
CCM2	ENSMUSG00000000378	58.10	62.87	49.54	50.65	44.24	49.63	49.26	55.21	49.52	69.48	50.68	73.65
WAP	ENSMUSG00000000381	0.06	0.03	0.17	0.13	0.12	0.00	0.00	0.27	0.04	0.07	0.00	0.05
TBRG4	ENSMUSG00000000384	28.79	38.43	37.84	44.08	34.69	51.40	40.60	39.95	31.88	43.32	34.98	35.23
TMPRSS2	ENSMUSG00000000385	0.36	0.08	0.51	0.19	1.47	0.88	1.28	0.83	0.10	0.03	0.05	0.04
MX1	ENSMUSG00000000386	0.65	0.77	1.74	0.67	3.37	1.84	9.51	2.80	0.73	0.34	0.54	0.27
FAP	ENSMUSG00000000392	0.11	0.11	0.04	0.28	0.19	0.57	0.21	0.13	0.06	0.06	0.00	0.04
GCG	ENSMUSG00000000394	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.05	0.00	0.00	0.00	0.00
NDUFA9	ENSMUSG00000000399	42.77	45.39	50.57	47.28	51.78	55.17	43.27	46.97	60.30	55.97	52.59	54.61
EGFL6	ENSMUSG00000000402	0.05	0.04	0.09	0.06	0.03	0.03	0.05	0.17	0.01	0.08	0.11	0.12
LCK	ENSMUSG00000000409	370.37	475.94	334.83	426.31	287.01	349.83	439.25	449.45	406.84	558.69	375.22	440.89
TSSK3	ENSMUSG00000000411	0.08	0.14	0.11	0.09	0.08	0.14	0.22	0.06	0.06	0.05	0.09	0.00
CTTNBP2	ENSMUSG00000000416	0.02	0.00	0.26	0.09	0.00	0.00	0.05	0.31	0.01	0.01	0.00	0.00
GALNT1	ENSMUSG00000000420	77.88	88.72	89.55	172.81	78.28	93.54	64.57	73.83	77.12	77.97	64.42	69.15
MYF5	ENSMUSG00000000435	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MKRN2	ENSMUSG00000000439	12.84	12.69	15.16	12.90	14.28	11.63	18.21	12.74	13.91	14.73	14.62	15.03
PPARG	ENSMUSG00000000440	0.17	0.30	0.31	0.28	0.51	0.19	0.26	0.64	0.27	0.19	4.70	5.24
RAF1	ENSMUSG00000000441	47.71	51.57	47.31	47.44	46.26	44.98	59.86	51.35	48.78	50.86	55.53	55.22
SEPT1	ENSMUSG00000000486	331.19	275.90	287.33	257.97	255.44	226.86	305.89	218.86	282.71	335.16	218.97	178.77
PDGFB	ENSMUSG00000000489	0.08	0.14	0.01	0.02	0.08	0.03	0.07	0.09	0.00	0.07	0.09	0.04
ACVRL1	ENSMUSG00000000530	0.76	0.62	0.39	0.91	0.36	1.51	0.26	0.48	0.82	1.18	0.17	0.55
GRASP	ENSMUSG00000000531	3.55	3.12	10.30	11.69	1.52	2.55	0.30	0.57	3.19	3.98	0.31	0.17
ACVR1B	ENSMUSG00000000532	9.30	10.04	8.45	10.27	3.86	5.32	5.01	8.08	9.33	12.30	3.19	5.17
TOM1L2	ENSMUSG00000000538	12.55	8.64	6.33	6.13	8.54	6.48	7.51	7.92	5.88	6.93	5.81	6.84
GPA33	ENSMUSG00000000544	0.00	0.00	0.10	0.00	0.00	0.04	0.00	0.01	0.05	0.01	0.00	0.00
ZFP385A	ENSMUSG00000000552	0.18	0.19	0.52	0.22	0.49	0.26	0.12	0.29	0.15	0.05	0.18	0.18
ITGA5	ENSMUSG00000000555	0.22	0.31	0.39	0.23	0.61	0.34	0.28	0.60	0.29	0.11	0.07	0.06
GABRA2	ENSMUSG00000000560	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
WDR77	ENSMUSG00000000561	21.55	32.20	28.57	44.64	29.51	45.23	27.67	32.21	30.42	39.24	32.01	38.85
ADORA3	ENSMUSG00000000562	0.19	0.32	0.18	0.13	0.33	0.18	0.41	0.43	0.36	0.27	0.33	0.34
ATP5F1	ENSMUSG00000000563	152.84	164.25	206.25	192.46	180.38	201.10	158.85	180.79	194.04	172.50	190.14	214.79
SOX9	ENSMUSG00000000567	0.00	0.01	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
HNRNPD	ENSMUSG00000000568	133.07	136.37	123.07	112.24	152.45	166.50	144.11	127.55	149.34	136.68	110.45	93.05
DYNLT1C	ENSMUSG00000000579	69.50	55.68	65.12	48.47	59.79	44.49	47.41	65.45	59.70	45.13	73.11	72.57
C1D	ENSMUSG00000000581	47.58	39.13	48.02	29.78	53.36	43.35	64.94	37.50	59.18	47.13	40.23	33.84
GM2A	ENSMUSG00000000594	5.41	5.91	6.05	7.28	10.73	13.03	6.66	10.85	10.85	12.47	19.15	17.07
KRIT1	ENSMUSG00000000600	10.70	13.03	10.31	10.73	10.47	11.09	8.88	11.83	9.32	9.27	8.24	13.66
CLCN4-2	ENSMUSG00000000605	13.83	16.53	11.97	11.73	11.37	10.78	10.77	12.22	13.43	15.57	12.07	17.75
VMN2R88	ENSMUSG00000000606	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GRM6	ENSMUSG00000000617	0.01	0.00	0.08	0.05	0.04	0.08	0.00	0.03	0.01	0.00	0.00	0.00
SEMA4F	ENSMUSG00000000627	1.69	1.88	1.31	1.50	0.96	1.21	0.66	0.88	1.73	2.04	0.89	0.67
HK2	ENSMUSG00000000628	1.47	3.77	1.81	6.30	4.04	9.28	1.21	4.64	2.00	3.97	4.22	4.78
MYO18A	ENSMUSG00000000631	42.43	40.27	38.42	40.03	32.36	33.00	37.44	37.98	32.11	41.12	29.94	27.11
SEZ6	ENSMUSG00000000632	0.01	0.01	0.00	0.01	0.01	0.00	0.03	0.00	0.05	0.00	0.00	0.00
HAAO	ENSMUSG00000000673	0.35	0.36	0.47	0.41	0.62	0.91	0.53	0.58	0.31	0.12	1.05	0.67
CD52	ENSMUSG00000000682	62.07	85.81	68.56	54.90	54.66	90.52	31.71	58.32	70.38	88.35	51.84	62.49
ABHD15	ENSMUSG00000000686	20.09	9.53	24.59	9.25	24.19	7.01	30.12	6.29	15.34	8.76	13.39	13.38
HOXB6	ENSMUSG00000000690	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOXL3	ENSMUSG00000000693	0.17	0.29	0.27	0.44	0.44	1.00	0.27	0.42	0.44	0.28	0.12	0.34
TCL1B5	ENSMUSG00000000701	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
BTN1A1	ENSMUSG00000000706	0.01	0.00	0.01	0.00	0.05	0.09	0.00	0.05	0.04	0.03	0.00	0.00
KAT2B	ENSMUSG00000000708	29.25	36.62	17.75	25.06	18.39	22.78	19.38	27.84	19.17	20.65	35.61	45.11
RAB5B	ENSMUSG00000000711	19.89	19.21	18.15	16.61	17.53	15.41	10.00	17.97	19.13	16.91	16.46	22.59
CRYBA1	ENSMUSG00000000724	0.65	0.76	0.62	0.63	0.75	0.64	0.29	0.61	0.53	0.65	0.40	0.39
DNMT3L	ENSMUSG00000000730	0.00	0.19	0.00	0.10	0.42	0.17	0.00	0.03	0.03	0.00	0.00	0.17
AIRE	ENSMUSG00000000731	0.00	0.00	0.06	0.10	0.00	0.00	0.06	0.06	0.10	0.07	0.00	0.00
ICOSL	ENSMUSG00000000732	0.68	0.50	0.48	0.39	1.40	2.09	0.84	1.22	1.10	0.68	0.54	0.57
SPG7	ENSMUSG00000000738	18.25	24.66	26.90	28.54	22.04	22.90	20.21	24.15	24.95	28.41	21.34	24.02
SULT5A1	ENSMUSG00000000739	0.00	0.00	0.07	0.19	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
RPL13	ENSMUSG00000000740	747.61	852.27	842.57	873.55	881.75	1012.51	1065.25	789.49	1033.16	928.71	1815.31	1408.21
CHMP1A	ENSMUSG00000000743	29.15	26.10	29.66	22.37	28.57	23.30	43.19	24.73	33.09	35.15	42.31	30.26
RPA1	ENSMUSG00000000751	62.95	66.82	70.58	66.15	64.47	75.44	61.26	70.92	75.04	73.60	69.02	66.70
SERPINF1	ENSMUSG00000000753	0.59	0.51	1.23	0.28	0.71	1.54	0.38	0.60	1.16	1.00	7.24	5.29
TUBGCP3	ENSMUSG00000000759	28.47	29.97	24.91	25.22	29.58	27.56	26.70	26.99	26.52	27.92	22.21	24.20
OPRM1	ENSMUSG00000000766	0.53	0.49	0.24	0.45	0.79	0.87	0.46	0.77	0.18	0.07	0.11	0.19
POLR3D	ENSMUSG00000000776	4.30	8.44	5.92	10.26	4.56	6.70	5.48	5.15	6.94	10.55	5.04	6.89
TCF7	ENSMUSG00000000782	221.17	351.83	236.85	420.24	145.04	262.27	225.23	465.05	263.07	372.53	288.19	333.22
DDX3X	ENSMUSG00000000787	148.34	174.03	129.40	154.03	148.49	192.54	178.93	180.19	158.89	169.38	141.64	157.40
IL12RB1	ENSMUSG00000000791	15.88	21.81	15.86	20.26	14.45	19.91	16.13	19.82	19.80	24.38	11.59	12.21
SLC5A5	ENSMUSG00000000792	0.02	0.03	0.08	0.02	0.08	0.09	0.16	0.20	0.06	0.02	0.07	0.07
KCNN3	ENSMUSG00000000794	0.15	0.04	0.16	0.08	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00
USP32	ENSMUSG00000000804	10.76	9.77	7.62	8.38	8.50	9.14	7.45	10.73	6.20	5.95	6.72	10.07
CAR4	ENSMUSG00000000805	0.00	0.00	0.22	0.00	0.08	0.00	0.00	0.03	0.21	0.09	0.00	0.00
TXNRD3	ENSMUSG00000000811	0.02	0.04	0.02	0.07	0.06	0.09	0.72	0.82	0.84	1.00	0.92	1.19
FASL	ENSMUSG00000000817	0.05	0.06	0.02	0.00	0.05	0.14	0.14	0.14	0.11	0.03	0.00	0.02
ZNF512B	ENSMUSG00000000823	41.33	35.26	35.50	32.05	25.58	25.80	33.03	27.95	28.37	34.16	29.91	24.50
DNAJC5	ENSMUSG00000000826	41.60	40.80	39.53	37.69	42.63	39.62	49.78	36.40	42.27	46.24	42.00	35.72
TPD52L2	ENSMUSG00000000827	29.11	31.12	34.96	33.50	36.90	40.22	38.06	33.97	37.90	37.08	40.49	34.64
FMR1	ENSMUSG00000000838	56.48	64.80	38.77	44.29	54.01	60.58	45.26	63.83	44.69	41.14	44.88	49.90
BCL11A	ENSMUSG00000000861	0.28	0.38	0.28	0.23	1.07	1.38	0.11	3.14	0.33	0.17	0.02	0.12
IL4	ENSMUSG00000000869	0.38	0.13	0.57	0.00	0.12	0.00	0.77	0.33	0.09	0.13	0.26	0.11
PXMP4	ENSMUSG00000000876	15.77	13.59	14.20	9.72	11.07	7.29	12.85	11.52	15.56	13.60	15.65	15.59
DLG3	ENSMUSG00000000881	5.80	6.59	4.55	6.82	2.24	4.88	4.96	7.61	6.46	7.89	1.40	2.27
GNB1L	ENSMUSG00000000884	9.80	10.07	6.06	7.34	8.58	9.27	10.63	8.51	12.42	13.95	9.40	7.17
DBH	ENSMUSG00000000889	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02
MMP11	ENSMUSG00000000901	3.15	3.51	4.05	3.87	3.54	1.69	1.65	0.88	0.75	1.01	0.25	0.19
SMARCB1	ENSMUSG00000000902	31.62	31.26	37.74	39.25	35.07	35.01	29.23	34.74	35.34	32.27	34.21	33.68
VPREB3	ENSMUSG00000000903	1.23	0.91	0.21	1.06	0.77	4.05	1.73	10.57	0.57	0.34	0.00	0.61
HIP1R	ENSMUSG00000000915	5.54	4.65	7.12	7.57	7.08	5.48	7.41	8.40	5.06	4.93	8.95	6.95
NSUN5	ENSMUSG00000000916	8.63	10.79	8.49	9.69	8.01	11.93	6.87	9.95	9.63	12.88	10.25	13.35
TOP1MT	ENSMUSG00000000934	0.59	0.72	1.43	1.40	1.20	1.65	1.21	1.75	1.16	1.53	0.03	0.23
HOXA10	ENSMUSG00000000938	0.03	0.04	0.00	0.00	0.05	0.18	0.05	0.03	0.00	0.02	0.00	0.00
HOXA4	ENSMUSG00000000942	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.02	0.00	0.00	0.03	0.00
SNRPN	ENSMUSG00000000948	0.08	0.01	0.00	0.00	0.02	0.00	0.10	0.01	0.00	0.00	0.03	0.00
MMP14	ENSMUSG00000000957	0.11	0.13	0.20	0.20	0.18	0.20	0.28	0.28	0.16	0.35	1.91	1.56
SLC7A7	ENSMUSG00000000958	1.16	0.86	1.48	0.99	1.32	1.05	0.82	1.27	1.79	0.94	0.61	0.44
OXA1L	ENSMUSG00000000959	28.88	29.02	34.77	30.20	19.12	19.26	19.58	16.93	30.92	32.41	25.20	22.01
HEATR6	ENSMUSG00000000976	9.82	10.70	9.48	11.59	12.59	11.02	9.71	10.73	9.22	10.16	8.31	10.99
CCL3	ENSMUSG00000000982	0.55	0.13	0.32	0.24	0.58	0.27	0.20	1.09	0.22	0.26	0.08	0.07
WFDC18	ENSMUSG00000000983	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00
ICAM4	ENSMUSG00000001014	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.11	0.05	0.00	0.26
ILF2	ENSMUSG00000001016	56.13	63.56	62.79	68.04	60.39	70.41	46.69	61.10	68.35	70.46	48.78	60.26
CHTOP	ENSMUSG00000001017	71.18	73.70	82.80	73.44	81.92	72.36	83.08	70.56	89.92	86.07	84.58	81.20
SNAPIN	ENSMUSG00000001018	14.40	14.14	14.48	14.29	14.47	13.98	13.38	12.55	13.65	15.86	15.59	14.67
S100A4	ENSMUSG00000001020	9.07	11.85	22.08	26.82	18.69	21.05	4.22	6.11	15.77	12.52	0.88	2.06
S100A3	ENSMUSG00000001021	0.09	0.05	0.29	0.44	0.08	0.30	0.22	0.11	0.18	0.38	0.18	0.00
S100A5	ENSMUSG00000001023	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00
S100A6	ENSMUSG00000001025	10.83	12.32	7.63	7.36	19.90	21.12	3.77	8.77	11.89	9.87	3.78	6.53
SCN4A	ENSMUSG00000001027	0.12	0.16	0.05	0.03	0.03	0.04	0.15	0.21	0.13	0.02	0.03	0.18
ICAM2	ENSMUSG00000001029	32.79	46.98	29.29	34.43	22.23	24.76	19.74	32.07	22.65	30.10	16.02	25.76
MAPK7	ENSMUSG00000001034	5.23	6.65	5.08	6.69	5.08	4.94	4.58	5.37	5.21	6.77	5.30	7.47
EPN2	ENSMUSG00000001036	0.13	0.06	0.08	0.09	0.12	0.29	0.88	0.25	0.18	0.12	0.17	0.10
B9D1	ENSMUSG00000001039	1.99	1.31	2.83	2.36	2.06	1.38	3.36	2.21	1.77	0.59	0.89	2.72
SEC24B	ENSMUSG00000001052	33.71	36.48	25.72	30.18	33.55	30.42	18.50	32.25	20.48	19.55	9.48	15.08
N4BP3	ENSMUSG00000001053	2.43	3.05	4.08	5.06	2.81	5.10	3.43	4.38	3.15	4.46	15.34	11.52
RMND5B	ENSMUSG00000001054	15.63	16.50	18.15	16.76	12.91	13.28	17.79	14.31	15.73	20.30	29.30	33.50
NHP2	ENSMUSG00000001056	20.51	34.47	38.93	46.76	34.66	58.53	35.21	38.77	41.45	51.92	53.17	59.78
VPS9D1	ENSMUSG00000001062	7.35	7.73	8.38	5.78	7.38	8.10	9.54	6.66	6.84	7.37	8.14	7.05
ZFP276	ENSMUSG00000001065	9.04	7.96	9.96	9.19	9.03	9.10	7.80	8.40	9.27	10.12	7.53	8.31
C1QL4	ENSMUSG00000001076	0.13	0.00	0.00	0.14	0.00	0.11	0.00	0.05	0.05	0.04	0.00	0.00
MFSD10	ENSMUSG00000001082	17.60	14.46	10.50	9.82	16.70	16.45	9.70	10.49	18.06	24.65	12.10	12.05
LUZP1	ENSMUSG00000001089	0.72	1.13	0.48	0.58	3.41	3.13	1.24	1.00	0.95	0.88	1.92	3.36
SLC13A2	ENSMUSG00000001095	0.02	0.00	0.00	0.00	0.04	0.00	0.00	0.01	0.01	0.01	0.00	0.00
KCTD10	ENSMUSG00000001098	11.98	13.33	12.87	13.43	13.79	14.87	15.32	13.38	12.60	13.91	15.45	13.32
POLDIP2	ENSMUSG00000001100	23.56	24.23	25.32	25.45	29.41	32.14	31.14	24.85	26.90	31.69	39.04	32.67
SEBOX	ENSMUSG00000001103	0.12	0.14	0.28	0.13	0.19	0.21	0.33	0.18	0.20	0.09	0.26	0.07
IFT20	ENSMUSG00000001105	29.11	26.27	28.96	26.50	25.31	27.27	29.50	26.24	29.70	24.99	33.59	36.33
COL6A1	ENSMUSG00000001119	0.06	0.22	0.17	0.16	0.23	0.12	0.16	0.06	0.17	0.19	0.26	0.11
PCBP3	ENSMUSG00000001120	0.00	0.13	0.20	0.38	0.11	0.00	0.12	0.06	0.14	0.32	0.06	0.05
LGALS9	ENSMUSG00000001123	108.26	135.85	167.75	208.12	102.75	140.32	129.62	150.24	131.36	150.27	200.54	156.27
ARAF	ENSMUSG00000001127	35.24	35.00	31.98	31.83	32.89	34.72	28.91	29.57	30.47	35.29	30.42	28.58
CFP	ENSMUSG00000001128	3.93	4.33	4.13	3.34	6.99	7.21	4.03	5.93	4.31	3.22	1.78	2.60
TIMP1	ENSMUSG00000001131	0.21	0.08	0.14	0.14	0.13	0.11	0.00	0.07	0.15	0.07	0.22	0.00
UXT	ENSMUSG00000001134	17.79	20.91	24.86	20.58	20.16	26.72	19.10	19.11	28.63	29.88	20.00	26.36
CNNM3	ENSMUSG00000001138	8.82	7.74	11.47	14.74	11.40	9.49	9.58	8.48	8.51	10.07	8.28	7.94
LMAN2L	ENSMUSG00000001143	17.90	19.50	28.57	32.40	16.42	18.86	13.64	25.32	15.24	15.86	18.79	23.34
MCM3AP	ENSMUSG00000001150	20.09	17.65	18.66	18.05	20.23	19.80	21.36	18.88	17.89	17.77	14.25	14.56
PCNT	ENSMUSG00000001151	19.91	16.13	16.18	15.07	21.70	17.37	17.95	19.17	16.48	19.01	12.55	12.29
FTCD	ENSMUSG00000001155	0.02	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MXD1	ENSMUSG00000001156	5.29	4.24	4.27	3.79	7.03	6.61	4.19	6.78	3.97	3.25	4.49	5.22
GMCL1	ENSMUSG00000001157	12.69	13.43	10.43	12.13	10.61	11.27	7.02	14.64	9.96	9.48	15.38	18.78
SNRNP27	ENSMUSG00000001158	35.80	37.61	37.81	34.98	34.58	36.41	43.35	39.77	37.82	38.84	43.93	46.80
