!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Rattus norvegicus
!cell	Hepatocytes
!perturbation	Dexamethasone
!disease	456 uM - 0.67 d
!end_metadata
CLIP2	-0.024744
PECR	0.024730
FAM210B	0.024646
PLSCR1	0.024627
MAP3K6	0.024626
GJB1	0.024615
NFKBIA	0.024579
HIPK2	0.024568
BDH1	-0.024510
PDIA5	-0.024497
PPFIBP2	-0.024444
PNPLA3	0.024391
EPAS1	0.024350
ID2	-0.024328
COBLL1	0.024271
PROM1	0.024255
PMVK	0.024245
PDZRN3	0.024222
IL1R1	0.024211
PLIN5	0.024178
TCP11L1	0.024172
SFN	-0.024116
ISG20	-0.024031
RIPK2	-0.024025
ICA1	0.024007
GOT1	0.023988
IL6ST	0.023961
TTC39A	-0.023934
PTK2B	0.023896
FAM110B	-0.023857
MTMR11	-0.023841
AQP8	-0.023793
LAMB3	-0.023738
TNFSF13	-0.023727
EDC3	0.023685
CDH13	-0.023615
TXNIP	0.023608
STX2	-0.023542
GPT2	0.023538
ACPL2	-0.023531
ATP1B1	-0.023435
ST6GAL1	0.023412
ARHGAP18	-0.023356
USP54	-0.023301
MLXIPL	0.023281
SLC25A15	0.023276
RBM43	-0.023234
DHTKD1	0.023200
AHCTF1	0.023152
TMEM43	-0.023139
SLC37A4	0.023112
ABCA4	-0.023078
GLDC	-0.023055
LGALSL	0.023048
SDC2	0.023044
ESYT1	-0.022967
HSD3B7	-0.022946
FAM188A	0.022936
AKR1B10	-0.022926
STXBP6	-0.022908
ABCB11	0.022861
CHRD	0.022851
CBX2	-0.022840
DYSF	-0.022836
CLDN2	-0.022800
NR1D1	-0.022796
BCL2L1	0.022788
KIF12	-0.022769
CA3	-0.022757
CD48	-0.022722
TMEM41B	0.022708
PXDN	-0.022698
THNSL2	0.022696
SLC17A2	-0.022663
TAGLN	-0.022661
SH3BP5L	-0.022656
ISG15	-0.022652
CDC42EP2	0.022591
MAPK14	0.022581
ANKS4B	-0.022564
ATG10	-0.022559
KMO	-0.022525
ECHS1	0.022499
SERPINA7	-0.022400
MSMO1	0.022398
SOAT1	0.022334
ZAP70	0.022282
TBC1D24	0.022276
SKAP2	-0.022233
ARID5A	-0.022232
FXYD6	-0.022133
ARHGAP24	-0.022128
CEP152	0.022126
P2RX5	0.022109
SERINC5	-0.022107
PDE5A	-0.022080
TPBG	-0.022079
CHN2	-0.021889
ACSL4	0.021883
ARG2	0.021860
TMEM150A	0.021852
AMPD3	0.021778
EPHX2	-0.021776
CYR61	-0.021768
RAP2B	-0.021716
ITPKC	0.021690
IGFBP4	0.021685
TACC2	-0.021627
FILIP1L	-0.021608
SSBP3	-0.021584
PDLIM7	-0.021539
RGN	-0.021525
KLKB1	-0.021512
PXMP4	0.021444
TRIM47	-0.021382
PHLDA3	-0.021338
S100A6	0.021331
PHLDB2	-0.021308
CTTNBP2NL	-0.021306
TFRC	0.021224
SFXN3	-0.021201
UGT2A1	0.021138
STAT2	0.021122
AGMO	-0.021101
PI4K2A	0.021011
SGK1	0.020993
TMBIM1	0.020976
GGCX	0.020941
CD2AP	-0.020899
SORD	-0.020868
SNX24	0.020863
FABP7	-0.020859
TST	0.020857
PCYT1A	0.020824
UNC119	-0.020820
BHMT2	0.020764
SCARA5	0.020712
CLASP1	-0.020660
SCN1B	-0.020631
TFCP2L1	-0.020630
KPNA3	-0.020610
SLC38A4	0.020603
CEBPB	0.020574
CCDC96	-0.020561
MYH10	-0.020548
DGAT2	0.020538
PAQR9	-0.020516
CXCL12	-0.020501
SH3BP5	0.020490
RTP4	-0.020469
FABP2	-0.020455
ACTN1	-0.020427
STK10	0.020427
ABCC3	-0.020378
GADD45G	-0.020354
PAQR8	0.020353
PAPD7	0.020327
TPRN	-0.020310
FEM1A	0.020288
PHLDB1	-0.020282
TGIF1	-0.020272
NUDT16L1	-0.020252
CDH5	-0.020237
DRAP1	-0.020189
IL13RA1	-0.020188
PTGR2	0.020182
ARVCF	-0.020161
CPEB4	0.020136
LYPD8	0.020066
ZDHHC23	-0.020036
ACSM5	-0.019993
FST	0.019940
PALD1	0.019917
FN1	0.019908
SEMA4A	-0.019878
SPON2	-0.019853
AGT	0.019836
MYOF	-0.019769
HSD17B13	0.019726
